,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
2/8/16 18:28,2.217249393,3.143570662,8.867202759
2/8/16 18:28,2.186142683,3.16032052,8.862417221
2/8/16 18:28,2.135893345,3.191427231,8.850452423
2/8/16 18:28,2.080858469,3.189034462,8.860024452
2/8/16 18:28,2.0330019,3.210569859,8.869595528
2/8/16 18:28,1.918146491,3.234498024,8.91505909
2/8/16 18:28,1.85593307,3.260818958,8.948558807
2/8/16 18:28,1.85593307,3.260818958,8.948558807
2/8/16 18:28,1.80807662,3.270390272,8.991629601
2/8/16 18:28,1.75034976,3.284747362,9.001200676
2/8/16 18:28,1.692921996,3.299104214,9.039784431
2/8/16 18:28,1.6713866,3.318246841,9.073284149
2/8/16 18:28,1.657029629,3.32063961,9.07089138
2/8/16 18:28,1.666600943,3.330210924,9.073284149
2/8/16 18:28,1.678565025,3.339782238,9.092427254
2/8/16 18:28,1.690529227,3.330210924,9.09960556
2/8/16 18:28,1.721635938,3.318246841,9.104391098
2/8/16 18:28,1.728814363,3.275176048,9.104391098
2/8/16 18:28,1.786242127,3.258426189,9.104391098
2/8/16 18:28,1.829612017,3.244069338,9.130712509
2/8/16 18:28,1.889432549,3.239283562,9.104391098
2/8/16 18:28,1.913360834,3.212962627,9.106783867
2/8/16 18:28,1.973181367,3.177070379,9.130712509
2/8/16 18:28,2.018645048,3.169891834,9.123533249
2/8/16 18:28,2.080858469,3.167499065,9.147461891
2/8/16 18:28,2.131107569,3.157927752,9.137890816
2/8/16 18:28,2.171785593,3.145963669,9.140283585
2/8/16 18:28,2.217249393,3.133999348,9.145069122
2/8/16 18:28,2.267498493,3.126821041,9.154640198
2/8/16 18:28,2.310569286,3.122035265,9.164211273
2/8/16 18:28,2.341675997,3.112463951,9.166604042
2/8/16 18:28,2.385046005,3.100499868,9.171390533
2/8/16 18:28,2.42572403,3.107678413,9.183354378
2/8/16 18:28,2.444866419,3.081357241,9.212067604
2/8/16 18:28,2.440080881,3.088535786,9.240781784
2/8/16 18:28,2.447259426,3.093321562,9.214461327
2/8/16 18:28,2.466402054,3.083750248,9.233603477
2/8/16 18:28,2.45683074,3.069393158,9.250352859
2/8/16 18:28,2.478366137,3.057429075,9.307781219
2/8/16 18:28,2.466402054,3.031108141,9.302995682
2/8/16 18:28,2.464009047,3.016751051,9.343673706
2/8/16 18:28,2.444866419,3.002394199,9.365208626
2/8/16 18:28,2.461616278,2.983251572,9.396315575
2/8/16 18:28,2.461616278,2.966501951,9.417850494
2/8/16 18:28,2.478366137,2.942573547,9.439386368
2/8/16 18:28,2.461616278,2.944966555,9.472886086
2/8/16 18:28,2.447259426,2.933002472,9.525527954
2/8/16 18:28,2.444866419,2.93778801,9.53509903
2/8/16 18:28,2.435295343,2.906681299,9.542277336
2/8/16 18:28,2.432902336,2.885145903,9.585348129
2/8/16 18:28,2.437688112,2.882753134,9.561420441
2/8/16 18:28,2.449652195,2.877967358,9.58295536
2/8/16 18:28,2.452044964,2.844467878,9.561420441
2/8/16 18:28,2.447259426,2.880360365,9.532706261
2/8/16 18:28,2.440080881,2.844467878,9.496813774
2/8/16 18:28,2.416152716,2.825325251,9.43460083
2/8/16 18:28,2.413759947,2.786741018,9.401101112
2/8/16 18:28,2.397010088,2.746062994,9.396315575
2/8/16 18:28,2.380260229,2.753241539,9.360423088
2/8/16 18:28,2.358425856,2.746062994,9.302995682
2/8/16 18:28,2.324926376,2.734098911,9.291030884
2/8/16 18:28,2.30339098,2.746062994,9.250352859
2/8/16 18:28,2.28903389,2.786741018,9.238389015
2/8/16 18:28,2.298605204,2.803490877,9.22881794
2/8/16 18:28,2.298605204,2.827718258,9.207282066
2/8/16 18:28,2.312962294,2.851646423,9.166604042
2/8/16 18:28,2.310569286,2.877967358,9.116354942
2/8/16 18:28,2.279462576,2.913859844,9.101998329
2/8/16 18:28,2.28903389,2.93778801,9.046963692
