,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
2016-02-08 18:28:25.656222,2.21724939,3.14357066,8.86720276
2016-02-08 18:28:25.906222,2.18614268,3.16032052,8.86241722
2016-02-08 18:28:26.156222,2.13589335,3.19142723,8.85045242
2016-02-08 18:28:26.406222,2.08085847,3.18903446,8.86002445
2016-02-08 18:28:26.656222,2.0330019,3.21056986,8.86959553
2016-02-08 18:28:26.906222,1.91814649,3.23449802,8.91505909
2016-02-08 18:28:27.156222,1.85593307,3.26081896,8.94855881
2016-02-08 18:28:27.406222,1.85593307,3.26081896,8.94855881
2016-02-08 18:28:27.656222,1.80807662,3.27039027,8.9916296
2016-02-08 18:28:27.906222,1.75034976,3.28474736,9.00120068
2016-02-08 18:28:28.156222,1.692922,3.29910421,9.03978443
2016-02-08 18:28:28.406222,1.6713866,3.31824684,9.07328415
2016-02-08 18:28:28.656222,1.65702963,3.32063961,9.07089138
2016-02-08 18:28:28.906222,1.66660094,3.33021092,9.07328415
2016-02-08 18:28:29.156222,1.67856503,3.33978224,9.09242725
2016-02-08 18:28:29.406222,1.69052923,3.33021092,9.09960556
2016-02-08 18:28:29.656222,1.72163594,3.31824684,9.1043911
2016-02-08 18:28:29.906222,1.72881436,3.27517605,9.1043911
2016-02-08 18:28:30.156222,1.78624213,3.25842619,9.1043911
2016-02-08 18:28:30.406222,1.82961202,3.24406934,9.13071251
2016-02-08 18:28:30.656222,1.88943255,3.23928356,9.1043911
2016-02-08 18:28:30.906222,1.91336083,3.21296263,9.10678387
2016-02-08 18:28:31.156222,1.97318137,3.17707038,9.13071251
2016-02-08 18:28:31.406222,2.01864505,3.16989183,9.12353325
2016-02-08 18:28:31.656222,2.08085847,3.16749907,9.14746189
2016-02-08 18:28:31.906222,2.13110757,3.15792775,9.13789082
2016-02-08 18:28:32.156222,2.17178559,3.14596367,9.14028359
2016-02-08 18:28:32.406222,2.21724939,3.13399935,9.14506912
2016-02-08 18:28:32.656222,2.26749849,3.12682104,9.1546402
2016-02-08 18:28:32.906222,2.31056929,3.12203527,9.16421127
2016-02-08 18:28:33.156222,2.341676,3.11246395,9.16660404
2016-02-08 18:28:33.406222,2.38504601,3.10049987,9.17139053
2016-02-08 18:28:33.656222,2.42572403,3.10767841,9.18335438
2016-02-08 18:28:33.906222,2.44486642,3.08135724,9.2120676
2016-02-08 18:28:34.156222,2.44008088,3.08853579,9.24078178
2016-02-08 18:28:34.406222,2.44725943,3.09332156,9.21446133
2016-02-08 18:28:34.656222,2.46640205,3.08375025,9.23360348
2016-02-08 18:28:34.906222,2.45683074,3.06939316,9.25035286
2016-02-08 18:28:35.156222,2.47836614,3.05742908,9.30778122
2016-02-08 18:28:35.406222,2.46640205,3.03110814,9.30299568
2016-02-08 18:28:35.656222,2.46400905,3.01675105,9.34367371
2016-02-08 18:28:35.906222,2.44486642,3.0023942,9.36520863
2016-02-08 18:28:36.156222,2.46161628,2.98325157,9.39631558
2016-02-08 18:28:36.406222,2.46161628,2.96650195,9.41785049
2016-02-08 18:28:36.656222,2.47836614,2.94257355,9.43938637
2016-02-08 18:28:36.906222,2.46161628,2.94496656,9.47288609
2016-02-08 18:28:37.156222,2.44725943,2.93300247,9.52552795
2016-02-08 18:28:37.406222,2.44486642,2.93778801,9.53509903
2016-02-08 18:28:37.656222,2.43529534,2.9066813,9.54227734
2016-02-08 18:28:37.906222,2.43290234,2.8851459,9.58534813
2016-02-08 18:28:38.156222,2.43768811,2.88275313,9.56142044
2016-02-08 18:28:38.406222,2.4496522,2.87796736,9.58295536
2016-02-08 18:28:38.656222,2.45204496,2.84446788,9.56142044
2016-02-08 18:28:38.906222,2.44725943,2.88036037,9.53270626
2016-02-08 18:28:39.156222,2.44008088,2.84446788,9.49681377
2016-02-08 18:28:39.406222,2.41615272,2.82532525,9.43460083
2016-02-08 18:28:39.656222,2.41375995,2.78674102,9.40110111
2016-02-08 18:28:39.906222,2.39701009,2.74606299,9.39631558
2016-02-08 18:28:40.156222,2.38026023,2.75324154,9.36042309
2016-02-08 18:28:40.406222,2.35842586,2.74606299,9.30299568
2016-02-08 18:28:40.656222,2.32492638,2.73409891,9.29103088
2016-02-08 18:28:40.906222,2.30339098,2.74606299,9.25035286
2016-02-08 18:28:41.156222,2.28903389,2.78674102,9.23838902
2016-02-08 18:28:41.406222,2.2986052,2.80349088,9.22881794
2016-02-08 18:28:41.656222,2.2986052,2.82771826,9.20728207
2016-02-08 18:28:41.906222,2.31296229,2.85164642,9.16660404
2016-02-08 18:28:42.156222,2.31056929,2.87796736,9.11635494
2016-02-08 18:28:42.406222,2.27946258,2.91385984,9.10199833
2016-02-08 18:28:42.656222,2.28903389,2.93778801,9.04696369
2016-02-08 18:28:42.906222,2.25792718,2.96650195,8.99880791
2016-02-08 18:28:43.156222,2.21964216,2.96889472,8.98684406
2016-02-08 18:28:43.406222,2.21724939,2.99282289,8.96530819
2016-02-08 18:28:43.656222,2.16460729,3.02871537,8.95812988
2016-02-08 18:28:43.906222,2.14546466,3.05742908,8.94137955
2016-02-08 18:28:44.156222,2.1071794,3.08853579,8.9222374
2016-02-08 18:28:44.406222,2.10000086,3.10767841,8.90788078
2016-02-08 18:28:44.656222,2.08085847,3.14596367,8.9294157
2016-02-08 18:28:44.906222,2.03060913,3.16749907,8.90788078
2016-02-08 18:28:45.156222,2.01385927,3.2153554,8.92702293
