Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.529609700E-2,-4.929214716E-1,4.970191956E0,8.412266731E0,9.783251566E0
2.769979500E-2,-5.144568682E-1,4.970191956E0,8.414659500E0,9.786417549E0
3.010193100E-2,-5.168496966E-1,4.955834866E0,8.419445992E0,9.783378947E0
3.250489900E-2,-5.192425251E-1,4.955834866E0,8.419445992E0,9.783505651E0
3.490786800E-2,-5.192425251E-1,4.965405941E0,8.424231529E0,9.792473938E0
3.731073300E-2,-5.288137794E-1,4.977370262E0,8.431409836E0,9.805229756E0
3.971453500E-2,-5.216353536E-1,4.963013172E0,8.417053223E0,9.785212729E0
4.211667000E-2,-5.694918036E-1,4.967798710E0,8.424231529E0,9.796480072E0
4.451963900E-2,-5.886343718E-1,4.984548569E0,8.419445992E0,9.802004166E0
4.692338900E-2,-5.958128572E-1,4.963013172E0,8.393124580E0,9.768880843E0
4.932547200E-2,-6.101697683E-1,4.977370262E0,8.405088425E0,9.787340461E0
5.172849300E-2,-6.053841114E-1,4.970191956E0,8.405088425E0,9.783394576E0
5.413146200E-2,-6.221339107E-1,4.989334106E0,8.405088425E0,9.794182807E0
5.653432700E-2,-6.340979934E-1,4.984548569E0,8.395517349E0,9.784299477E0
5.893812900E-2,-6.412764788E-1,5.003691196E0,8.388339043E0,9.788380510E0
6.134021200E-2,-6.364908218E-1,4.984548569E0,8.371588707E0,9.763930688E0
6.374323300E-2,-6.317051649E-1,5.008476734E0,8.383553505E0,9.786105455E0
6.614698300E-2,-6.173482537E-1,5.020441055E0,8.381160736E0,9.789269765E0
6.854906600E-2,-6.269195080E-1,5.030012131E0,8.373981476E0,9.788647295E0
7.095208700E-2,-6.149554253E-1,5.015655518E0,8.378767967E0,9.784616655E0
7.335495200E-2,-6.269195080E-1,5.056333542E0,8.362017632E0,9.791980179E0
7.575797200E-2,-6.053841114E-1,5.058726311E0,8.352446556E0,9.783688736E0
7.816172200E-2,-6.029912829E-1,5.044369221E0,8.326125145E0,9.753646459E0
8.056380600E-2,-6.005984545E-1,5.049154758E0,8.333304405E0,9.762102468E0
8.296682700E-2,-5.934200287E-1,5.053940296E0,8.318946838E0,9.751888860E0
8.537052400E-2,-5.982056856E-1,5.049154758E0,8.314161301E0,9.745619116E0
8.777266000E-2,-6.101697683E-1,5.063810825E0,8.304590225E0,9.745804535E0
9.017562900E-2,-6.149554253E-1,5.080560684E0,8.278268814E0,9.732420131E0
9.257859700E-2,-6.029912829E-1,5.070989609E0,8.278268814E0,9.726678192E0
9.498156600E-2,-6.125625968E-1,5.087738991E0,8.263912201E0,9.723814367E0
9.738526400E-2,-6.221339107E-1,5.090131760E0,8.244769096E0,9.709413442E0
9.978739900E-2,-6.269195080E-1,5.087738991E0,8.251948357E0,9.714564725E0
1.021903680E-1,-6.293123364E-1,5.092525005E0,8.251948357E0,9.717226797E0
1.045941180E-1,-6.221339107E-1,5.075775146E0,8.249555588E0,9.705962669E0
1.069962540E-1,-6.388836503E-1,5.078167915E0,8.263912201E0,9.720504440E0
1.093992220E-1,-6.317051649E-1,5.073382378E0,8.256733894E0,9.711432169E0
1.118021910E-1,-6.412764788E-1,5.066203594E0,8.249555588E0,9.702207057E0
1.142050560E-1,-6.317051649E-1,5.078167915E0,8.263912201E0,9.720035270E0
1.166088580E-1,-6.556333899E-1,5.080560684E0,8.266304970E0,9.724903591E0
1.190109930E-1,-6.484549642E-1,5.066203594E0,8.285447121E0,9.733218722E0
1.214139620E-1,-6.460621357E-1,5.063810825E0,8.275876045E0,9.723667038E0
1.238177120E-1,-6.460621357E-1,5.058726311E0,8.311768532E0,9.751594962E0
1.262197950E-1,-6.556333899E-1,5.058726311E0,8.302197456E0,9.744077670E0
1.286228160E-1,-6.747759581E-1,5.053940296E0,8.323732376E0,9.761257899E0
1.310256810E-1,-6.723831892E-1,5.066203594E0,8.328517914E0,9.771526424E0
1.334287020E-1,-6.819544435E-1,5.058726311E0,8.299804688E0,9.743845832E0
1.358324520E-1,-6.795616150E-1,5.063810825E0,8.342875481E0,9.783023835E0
1.382345350E-1,-6.580262184E-1,5.053940296E0,8.347661018E0,9.780529408E0
1.406375560E-1,-6.675975323E-1,5.049154758E0,8.352446556E0,9.782791714E0
1.430412540E-1,-6.580262184E-1,5.037190914E0,8.335697174E0,9.761666773E0
1.454433890E-1,-6.556333899E-1,5.037190914E0,8.340482712E0,9.765592625E0
1.478464100E-1,-6.532405615E-1,5.025226593E0,8.333304405E0,9.753132207E0
1.502492740E-1,-6.029912829E-1,5.034798145E0,8.354839325E0,9.773235442E0
1.526522950E-1,-6.364908218E-1,5.037190914E0,8.362017632E0,9.782727214E0
1.550559930E-1,-6.101697683E-1,5.046761990E0,8.366803169E0,9.790071961E0
1.574581290E-1,-6.053841114E-1,5.018048286E0,8.335697174E0,9.748391965E0
1.598611490E-1,-5.910272002E-1,5.034798145E0,8.347661018E0,9.766368311E0
1.622648470E-1,-6.077769399E-1,5.044369221E0,8.326125145E0,9.753943488E0
1.646669830E-1,-5.934200287E-1,5.034798145E0,8.328517914E0,9.750156426E0
1.670699520E-1,-5.790630579E-1,5.044369221E0,8.309375763E0,9.737900206E0
1.694729200E-1,-5.718846321E-1,5.008476734E0,8.326125145E0,9.733254911E0
1.718758890E-1,-5.862415433E-1,5.015655518E0,8.333304405E0,9.743943849E0
1.742795870E-1,-5.766702294E-1,4.991727352E0,8.347661018E0,9.743373902E0
1.766817220E-1,-5.599204898E-1,5.006083965E0,8.335697174E0,9.739519239E0
1.790846910E-1,-5.670989752E-1,5.015655518E0,8.342875481E0,9.750998554E0
1.814884410E-1,-5.718846321E-1,5.010869503E0,8.357232094E0,9.761106161E0
1.838905770E-1,-5.910272002E-1,5.006083965E0,8.342875481E0,9.747500249E0
1.862935450E-1,-5.814558864E-1,5.022833824E0,8.352446556E0,9.763724394E0
1.886965140E-1,-5.814558864E-1,5.018048286E0,8.357232094E0,9.765358561E0
1.910993790E-1,-5.958128572E-1,5.030012131E0,8.330910683E0,9.749876297E0
1.935031810E-1,-6.005984545E-1,5.025226593E0,8.335697174E0,9.751793076E0
1.959053160E-1,-6.077769399E-1,5.027619362E0,8.335697174E0,9.753471004E0
1.983082850E-1,-6.197410822E-1,5.037190914E0,8.347661018E0,9.769381546E0
2.007120350E-1,-6.245267391E-1,5.046761990E0,8.330910683E0,9.760323408E0
2.031141180E-1,-6.149554253E-1,5.056333542E0,8.342875481E0,9.774878534E0
2.055171390E-1,-5.934200287E-1,5.073382378E0,8.352446556E0,9.790542352E0
2.079201080E-1,-6.101697683E-1,5.053940296E0,8.381160736E0,9.806042777E0
2.103229720E-1,-6.245267391E-1,5.075775146E0,8.357232094E0,9.797798490E0
2.127267740E-1,-6.340979934E-1,5.073382378E0,8.366803169E0,9.805339580E0
2.151288580E-1,-6.412764788E-1,5.063810825E0,8.393124580E0,9.823337306E0
2.175318790E-1,-6.293123364E-1,5.049154758E0,8.397910118E0,9.819108521E0
2.199356290E-1,-6.173482537E-1,5.087738991E0,8.397910118E0,9.838246859E0
2.223377120E-1,-6.197410822E-1,5.061418056E0,8.414659500E0,9.839132393E0
2.247407330E-1,-6.340979934E-1,5.044369221E0,8.397910118E0,9.816956527E0
2.271435970E-1,-6.269195080E-1,5.056333542E0,8.393124580E0,9.818557795E0
2.295466180E-1,-6.436693072E-1,5.056333542E0,8.424231529E0,9.846242731E0
2.319503680E-1,-6.221339107E-1,5.032404900E0,8.397910118E0,9.810048115E0
2.343524520E-1,-6.293123364E-1,5.039583683E0,8.438588142E0,9.849020639E0
2.367554720E-1,-6.269195080E-1,5.044369221E0,8.419445992E0,9.834925506E0
2.391591700E-1,-6.269195080E-1,5.025226593E0,8.412266731E0,9.818969495E0
2.415613060E-1,-6.388836503E-1,5.018048286E0,8.431409836E0,9.832479481E0
2.439643270E-1,-6.125625968E-1,5.015655518E0,8.381160736E0,9.786515646E0
2.463671910E-1,-6.101697683E-1,5.008476734E0,8.393124580E0,9.792940650E0
2.487702120E-1,-6.005984545E-1,4.986941338E0,8.390731812E0,9.779298683E0
2.511739100E-1,-5.862415433E-1,4.986941338E0,8.390731812E0,9.778427449E0
2.535760450E-1,-5.838487148E-1,4.982155800E0,8.369195938E0,9.757366263E0
2.559790660E-1,-5.886343718E-1,4.965405941E0,8.357232094E0,9.738843610E0
2.583827640E-1,-5.718846321E-1,4.951049328E0,8.347661018E0,9.722313817E0
2.607848990E-1,-5.312066078E-1,4.946263313E0,8.345268250E0,9.715513542E0
2.631879200E-1,-5.383850932E-1,4.943870544E0,8.342875481E0,9.712635366E0
2.655907850E-1,-5.503492355E-1,4.941477776E0,8.330910683E0,9.701812186E0
2.679938060E-1,-5.670989752E-1,4.941477776E0,8.311768532E0,9.686346059E0
2.703975040E-1,-5.312066078E-1,4.919942379E0,8.321339607E0,9.681565283E0
2.727996390E-1,-5.312066078E-1,4.951049328E0,8.321339607E0,9.697410106E0
2.752026080E-1,-5.479564071E-1,4.948656559E0,8.295019150E0,9.674543951E0
2.776063580E-1,-5.455635786E-1,4.929513931E0,8.292626381E0,9.662577271E0
2.800084930E-1,-5.264210105E-1,4.915156841E0,8.275876045E0,9.639813804E0
2.824114620E-1,-5.383850932E-1,4.934299469E0,8.304590225E0,9.674884421E0
2.848144310E-1,-5.503492355E-1,4.946263313E0,8.314161301E0,9.689875292E0
2.872173990E-1,-5.503492355E-1,4.922335148E0,8.302197456E0,9.667406591E0
2.896210970E-1,-5.455635786E-1,4.948656559E0,8.323732376E0,9.699039232E0
2.920232330E-1,-5.383850932E-1,4.951049328E0,8.342875481E0,9.716291435E0
2.944262020E-1,-5.718846321E-1,4.977370262E0,8.359624863E0,9.746004033E0
2.968299520E-1,-5.551348329E-1,4.989334106E0,8.362017632E0,9.753202980E0
2.992320350E-1,-5.599204898E-1,4.994120121E0,8.381160736E0,9.772338616E0
3.016350560E-1,-5.766702294E-1,5.015655518E0,8.407481194E0,9.806889866E0
3.040380240E-1,-5.670989752E-1,5.025226593E0,8.431409836E0,9.831743252E0
3.064408890E-1,-5.742774606E-1,5.032404900E0,8.421838760E0,9.827627475E0
3.088446910E-1,-5.838487148E-1,5.041976452E0,8.438588142E0,9.847445136E0
3.112467740E-1,-5.910272002E-1,5.034798145E0,8.445766449E0,9.850354127E0
3.136497950E-1,-5.766702294E-1,5.037190914E0,8.462516785E0,9.865091545E0
3.160535450E-1,-6.053841114E-1,5.025226593E0,8.479565620E0,9.875344315E0
3.184556290E-1,-6.077769399E-1,5.013262749E0,8.489136696E0,9.877633220E0
3.208586490E-1,-6.077769399E-1,4.991727352E0,8.489136696E0,9.866720661E0
3.232616180E-1,-6.005984545E-1,4.972584724E0,8.462516785E0,9.833692474E0
3.256644830E-1,-6.005984545E-1,4.982155800E0,8.452944756E0,9.830303655E0
3.280682850E-1,-6.125625968E-1,4.965405941E0,8.472386360E0,9.839299758E0
3.304703680E-1,-6.269195080E-1,4.970191956E0,8.443373680E0,9.817657320E0
3.328733890E-1,-6.125625968E-1,4.972584724E0,8.438588142E0,9.813847442E0
3.352771390E-1,-6.101697683E-1,4.977370262E0,8.429017067E0,9.807897358E0
3.376792220E-1,-5.958128572E-1,4.963013172E0,8.395517349E0,9.770936714E0
3.400822430E-1,-5.838487148E-1,4.943870544E0,8.381160736E0,9.748158317E0
3.424851080E-1,-5.814558864E-1,4.967798710E0,8.366803169E0,9.747846441E0
3.448881290E-1,-5.575276613E-1,4.934299469E0,8.347661018E0,9.712960044E0
3.472918790E-1,-5.742774606E-1,4.941477776E0,8.359624863E0,9.727863334E0
3.496939620E-1,-5.647061467E-1,4.931906700E0,8.330910683E0,9.697766214E0
3.520969830E-1,-5.527420044E-1,4.958227634E0,8.304590225E0,9.687918446E0
3.545006810E-1,-5.647061467E-1,4.936692238E0,8.314161301E0,9.685819605E0
3.569028160E-1,-5.503492355E-1,4.955834866E0,8.326125145E0,9.705026709E0
3.593058370E-1,-5.575276613E-1,4.965405941E0,8.321339607E0,9.706224091E0
3.617087020E-1,-5.575276613E-1,4.979763031E0,8.323732376E0,9.715626465E0
3.641117220E-1,-5.623133183E-1,4.986941338E0,8.314161301E0,9.711388073E0
3.665154200E-1,-5.359922647E-1,4.982155800E0,8.323732376E0,9.715641244E0
3.689175560E-1,-5.527420044E-1,5.003691196E0,8.318946838E0,9.723544920E0
3.713205770E-1,-5.383850932E-1,5.003691196E0,8.323732376E0,9.726834262E0
3.737242740E-1,-5.431707501E-1,5.010869503E0,8.333304405E0,9.738984031E0
3.761264100E-1,-5.551348329E-1,5.010869503E0,8.347661018E0,9.751945054E0
3.785293790E-1,-5.527420044E-1,5.025226593E0,8.357232094E0,9.767382162E0
3.809323470E-1,-5.790630579E-1,5.041976452E0,8.340482712E0,9.763221417E0
3.833353160E-1,-5.718846321E-1,5.046761990E0,8.347661018E0,9.771402309E0
3.857390140E-1,-6.029912829E-1,5.034798145E0,8.359624863E0,9.777326766E0
3.881411490E-1,-5.910272002E-1,5.058726311E0,8.371588707E0,9.799159276E0
3.905441700E-1,-6.221339107E-1,5.058726311E0,8.376375198E0,9.805173326E0
3.929478680E-1,-6.101697683E-1,5.070989609E0,8.359624863E0,9.796457043E0
3.953500040E-1,-6.197410822E-1,5.039583683E0,8.357232094E0,9.778793943E0
3.977529720E-1,-6.340979934E-1,5.053940296E0,8.390731812E0,9.815741088E0
4.001559410E-1,-6.197410822E-1,5.044369221E0,8.395517349E0,9.813992633E0
4.025589100E-1,-6.580262184E-1,5.049154758E0,8.388339043E0,9.812807660E0
4.049626080E-1,-6.364908218E-1,5.058726311E0,8.402695656E0,9.828587220E0
4.073647430E-1,-6.245267391E-1,5.063810825E0,8.388339043E0,9.818169158E0
4.097677120E-1,-6.293123364E-1,5.046761990E0,8.409873962E0,9.828113790E0
4.121714620E-1,-6.317051649E-1,5.058726311E0,8.402695656E0,9.828278465E0
4.145735970E-1,-6.197410822E-1,5.061418056E0,8.400302887E0,9.826857094E0
4.169765660E-1,-6.293123364E-1,5.046761990E0,8.402695656E0,9.821972046E0
4.193795350E-1,-6.173482537E-1,5.056333542E0,8.412266731E0,9.834320480E0
4.217823990E-1,-6.149554253E-1,5.063810825E0,8.383553505E0,9.813476429E0
4.241862020E-1,-6.293123364E-1,5.053940296E0,8.405088425E0,9.827708683E0
4.265883370E-1,-6.340979934E-1,5.070989609E0,8.369195938E0,9.806143815E0
4.289913060E-1,-6.388836503E-1,5.063810825E0,8.371588707E0,9.804787090E0
4.313950560E-1,-6.508477330E-1,5.044369221E0,8.373981476E0,9.797593039E0
4.337971910E-1,-6.388836503E-1,5.034798145E0,8.383553505E0,9.800068064E0
4.362001600E-1,-6.388836503E-1,5.041976452E0,8.362017632E0,9.785348115E0
4.386031290E-1,-6.197410822E-1,5.037190914E0,8.378767967E0,9.795974886E0
4.410059930E-1,-6.508477330E-1,5.030012131E0,8.385946274E0,9.800444873E0
4.434097950E-1,-6.412764788E-1,5.041976452E0,8.390731812E0,9.810053129E0
4.458119310E-1,-6.197410822E-1,5.046761990E0,8.402695656E0,9.821363443E0
4.482148990E-1,-6.245267391E-1,5.046761990E0,8.412266731E0,9.829856143E0
4.506186490E-1,-6.197410822E-1,5.051547527E0,8.417053223E0,9.836106770E0
4.530207330E-1,-6.077769399E-1,5.049154758E0,8.455337524E0,9.866918933E0
4.554237540E-1,-5.934200287E-1,5.049154758E0,8.431409836E0,9.845546350E0
4.578267220E-1,-5.838487148E-1,5.034798145E0,8.455337524E0,9.858133918E0
4.602295870E-1,-5.958128572E-1,5.034798145E0,8.450551987E0,9.854745771E0
4.626333890E-1,-5.958128572E-1,5.049154758E0,8.450551987E0,9.862088299E0
4.650355240E-1,-6.029912829E-1,5.044369221E0,8.457730293E0,9.866228309E0
4.674384930E-1,-6.005984545E-1,5.046761990E0,8.472386360E0,9.879871240E0
4.698422430E-1,-5.910272002E-1,5.030012131E0,8.472386360E0,9.870747987E0
4.722443270E-1,-6.125625968E-1,5.027619362E0,8.455337524E0,9.856212357E0
4.746473470E-1,-5.910272002E-1,5.025226593E0,8.481958389E0,9.876529430E0
4.770503160E-1,-5.958128572E-1,5.013262749E0,8.467600822E0,9.858400481E0
4.794531810E-1,-5.934200287E-1,5.032404900E0,8.450551987E0,9.853378876E0
4.818569830E-1,-5.718846321E-1,5.013262749E0,8.455337524E0,9.846450532E0
4.842590660E-1,-5.862415433E-1,5.001298428E0,8.457730293E0,9.843265049E0
4.866620870E-1,-5.838487148E-1,5.006083965E0,8.445766449E0,9.835279706E0
4.890658370E-1,-5.862415433E-1,5.015655518E0,8.452944756E0,9.846458981E0
4.914679200E-1,-5.503492355E-1,4.991727352E0,8.464909554E0,9.842505778E0
4.938709410E-1,-5.623133183E-1,5.008476734E0,8.443373680E0,9.833188423E0
4.962739100E-1,-5.718846321E-1,5.008476734E0,8.440980911E0,9.831686019E0
4.986767740E-1,-5.359922647E-1,5.006083965E0,8.452944756E0,9.838721432E0
5.010805770E-1,-5.240281820E-1,5.010869503E0,8.431409836E0,9.822020695E0
5.034826600E-1,-5.288137794E-1,5.006083965E0,8.419445992E0,9.809566325E0
5.058856810E-1,-5.024927258E-1,5.027619362E0,8.455337524E0,9.849984164E0
5.082894310E-1,-4.977070987E-1,4.986941338E0,8.431409836E0,9.808464104E0
5.106915140E-1,-4.977070987E-1,5.003691196E0,8.417053223E0,9.804663324E0
5.130945350E-1,-4.833501875E-1,4.998905659E0,8.419445992E0,9.803558333E0
5.154975040E-1,-4.689932466E-1,5.003691196E0,8.421838760E0,9.807356849E0
5.179003680E-1,-4.833501875E-1,4.989334106E0,8.409873962E0,9.790457716E0
5.203041700E-1,-4.881358147E-1,4.996512890E0,8.409873962E0,9.794355400E0
5.227062540E-1,-4.761717021E-1,4.970191956E0,8.402695656E0,9.774192644E0
5.251092740E-1,-4.809573591E-1,4.963013172E0,8.400302887E0,9.768720915E0
5.275130240E-1,-4.929214716E-1,4.953442097E0,8.366803169E0,9.735653828E0
5.299151080E-1,-5.096712112E-1,4.960620403E0,8.359624863E0,9.734004694E0
5.323181290E-1,-5.000999570E-1,4.963013172E0,8.376375198E0,9.749115918E0
5.347209930E-1,-4.977070987E-1,4.958227634E0,8.373981476E0,9.744500982E0
5.371240140E-1,-5.048855543E-1,4.955834866E0,8.366803169E0,9.737484476E0
5.395277640E-1,-4.929214716E-1,4.955834866E0,8.371588707E0,9.740983948E0
5.419298470E-1,-5.000999570E-1,4.943870544E0,8.359624863E0,9.724982456E0
5.443328680E-1,-4.929214716E-1,4.951049328E0,8.376375198E0,9.742665061E0
5.467366180E-1,-4.977070987E-1,4.965405941E0,8.347661018E0,9.725554637E0
5.491387020E-1,-5.192425251E-1,4.979763031E0,8.376375198E0,9.758653294E0
5.515417220E-1,-4.833501875E-1,4.977370262E0,8.362017632E0,9.743263365E0
5.539445870E-1,-4.857429862E-1,4.967798710E0,8.354839325E0,9.732333246E0
5.563476080E-1,-5.359922647E-1,4.986941338E0,8.352446556E0,9.742701632E0
5.587513580E-1,-5.120640397E-1,5.006083965E0,8.347661018E0,9.747129358E0
5.611534410E-1,-5.072783828E-1,4.991727352E0,8.330910683E0,9.725160467E0
5.635564620E-1,-5.216353536E-1,5.008476734E0,8.323732376E0,9.728384414E0
5.659602120E-1,-5.264210105E-1,5.010869503E0,8.321339607E0,9.727827358E0
5.683622950E-1,-5.407779217E-1,5.001298428E0,8.321339607E0,9.723688579E0
5.707653160E-1,-5.694918036E-1,4.994120121E0,8.316554070E0,9.717542297E0
5.731681810E-1,-5.431707501E-1,4.972584724E0,8.314161301E0,9.702933136E0
5.755712020E-1,-5.814558864E-1,4.996512890E0,8.299804688E0,9.705152748E0
5.779749520E-1,-5.575276613E-1,4.998905659E0,8.309375763E0,9.713167375E0
5.803770350E-1,-5.694918036E-1,5.008476734E0,8.306982994E0,9.716744649E0
5.827800560E-1,-5.838487148E-1,5.015655518E0,8.297411919E0,9.713121236E0
5.851837540E-1,-5.742774606E-1,4.989334106E0,8.295019150E0,9.696937255E0
5.875858890E-1,-5.718846321E-1,5.022833824E0,8.290233612E0,9.709988929E0
5.899889100E-1,-5.766702294E-1,5.001298428E0,8.275876045E0,9.686880759E0
5.923917740E-1,-5.479564071E-1,5.015655518E0,8.266304970E0,9.684464588E0
5.947947950E-1,-5.670989752E-1,5.018048286E0,8.259126663E0,9.680680921E0
5.971985450E-1,-5.455635786E-1,5.015655518E0,8.254341125E0,9.674119459E0
5.996006290E-1,-5.503492355E-1,5.020441055E0,8.256733894E0,9.678913538E0
6.020036490E-1,-5.288137794E-1,5.027619362E0,8.237590790E0,9.665117820E0
6.044073470E-1,-5.359922647E-1,5.015655518E0,8.249555588E0,9.669501299E0
6.068094830E-1,-5.335994363E-1,5.015655518E0,8.244769096E0,9.665285618E0
6.092125040E-1,-5.144568682E-1,5.018048286E0,8.230412483E0,9.653246299E0
6.116153680E-1,-4.881358147E-1,5.010869503E0,8.230412483E0,9.648149014E0
6.140183890E-1,-4.857429862E-1,5.010869503E0,8.244769096E0,9.660278302E0
6.164221390E-1,-4.905286431E-1,5.020441055E0,8.256733894E0,9.675696427E0
6.188242220E-1,-4.785645306E-1,5.010869503E0,8.266304970E0,9.678307447E0
6.212272430E-1,-4.498506486E-1,5.013262749E0,8.256733894E0,9.669996049E0
6.236309410E-1,-4.881358147E-1,5.022833824E0,8.268697739E0,9.687027330E0
6.260330770E-1,-4.929214716E-1,5.030012131E0,8.268697739E0,9.690993546E0
6.284360970E-1,-4.881358147E-1,5.006083965E0,8.268697739E0,9.678352935E0
6.308389620E-1,-4.833501875E-1,4.986941338E0,8.283054352E0,9.680506221E0
6.332419830E-1,-4.881358147E-1,5.010869503E0,8.278268814E0,9.689005331E0
6.356457330E-1,-5.000999570E-1,4.986941338E0,8.283054352E0,9.681356995E0
6.380478160E-1,-4.905286431E-1,5.003691196E0,8.316554070E0,9.718159061E0
6.404508370E-1,-5.240281820E-1,5.003691196E0,8.326125145E0,9.728098018E0
6.428545350E-1,-5.383850932E-1,4.994120121E0,8.330910683E0,9.728060809E0
6.452566700E-1,-5.192425251E-1,5.006083965E0,8.347661018E0,9.747509115E0
6.476596910E-1,-5.479564071E-1,4.994120121E0,8.352446556E0,9.747043422E0
6.500625560E-1,-5.407779217E-1,4.972584724E0,8.347661018E0,9.731520132E0
6.524655770E-1,-5.359922647E-1,4.982155800E0,8.354839325E0,9.742304875E0
6.548693270E-1,-5.455635786E-1,4.979763031E0,8.378767967E0,9.762142803E0
6.572714100E-1,-5.503492355E-1,4.984548569E0,8.371588707E0,9.758693877E0
6.596744310E-1,-5.431707501E-1,4.989334106E0,8.376375198E0,9.764842587E0
6.620781290E-1,-5.383850932E-1,4.994120121E0,8.390731812E0,9.779339171E0
6.644802640E-1,-5.599204898E-1,4.955834866E0,8.390731812E0,9.761054784E0
6.668832850E-1,-5.670989752E-1,4.994120121E0,8.407481194E0,9.795334453E0
6.692861490E-1,-5.766702294E-1,4.979763031E0,8.419445992E0,9.798860097E0
6.716891700E-1,-5.647061467E-1,4.974977493E0,8.409873962E0,9.787506023E0
6.740929200E-1,-5.431707501E-1,4.974977493E0,8.417053223E0,9.792457326E0
6.764950040E-1,-5.479564071E-1,4.996512890E0,8.412266731E0,9.799572891E0
6.788980240E-1,-5.383850932E-1,4.991727352E0,8.417053223E0,9.800713516E0
6.813017740E-1,-5.455635786E-1,5.006083965E0,8.402695656E0,9.796112013E0
6.837038580E-1,-5.527420044E-1,5.006083965E0,8.412266731E0,9.804724981E0
6.861068790E-1,-5.479564071E-1,5.001298428E0,8.417053223E0,9.806121921E0
6.885097430E-1,-5.407779217E-1,5.003691196E0,8.414659500E0,9.804889640E0
