Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
1.070284060E-1,-1.099525020E-2,2.128802687E-1,-2.748812735E-1,3.478485574E-1
1.094310620E-1,-3.665083647E-2,1.994416267E-1,-2.895416021E-1,3.534891591E-1
1.118330410E-1,-6.108472496E-2,1.908897758E-1,-3.042019308E-1,3.642925538E-1
1.142357500E-1,-8.307522535E-2,1.860029846E-1,-3.213056624E-1,3.804417591E-1
1.166392910E-1,-1.087308154E-1,1.811162084E-1,-3.408527672E-1,4.010063342E-1
1.190420000E-1,-1.307213157E-1,1.798945218E-1,-3.591781855E-1,4.224441623E-1
1.214439270E-1,-1.514901221E-1,1.823379099E-1,-3.836120665E-1,4.509485426E-1
1.238466350E-1,-1.685938388E-1,1.811162084E-1,-4.068242610E-1,4.761648273E-1
1.262502290E-1,-1.856975704E-1,1.823379099E-1,-4.324798584E-1,5.047469950E-1
1.286528850E-1,-1.991362125E-1,1.896680743E-1,-4.593571424E-1,5.353860232E-1
1.310548640E-1,-2.101314515E-1,2.018850148E-1,-4.837910235E-1,5.647712285E-1
1.334575720E-1,-2.223484069E-1,2.165453583E-1,-5.143333673E-1,6.007241622E-1
1.358611140E-1,-2.321219593E-1,2.397575527E-1,-5.448757410E-1,6.389474636E-1
1.382638220E-1,-2.431172132E-1,2.654131353E-1,-5.741963983E-1,6.776810574E-1
1.406657500E-1,-2.504473627E-1,2.983988822E-1,-6.059604883E-1,7.203845416E-1
1.430685620E-1,-2.577775419E-1,3.350497186E-1,-6.365028620E-1,7.640965046E-1
1.454720520E-1,-2.626643181E-1,3.741439581E-1,-6.646018028E-1,8.066423010E-1
1.478747080E-1,-2.675510943E-1,4.205683470E-1,-6.951441765E-1,8.553869000E-1
1.502766870E-1,-2.687727809E-1,4.694361091E-1,-7.256865501E-1,9.051132732E-1
1.526793950E-1,-2.699944973E-1,5.195255876E-1,-7.537854910E-1,9.544613303E-1
1.550829890E-1,-2.687727809E-1,5.696150661E-1,-7.818844914E-1,1.004013690E0
1.574856450E-1,-2.651077211E-1,6.233696342E-1,-8.063184023E-1,1.053100741E0
1.598875720E-1,-2.626643181E-1,6.722373962E-1,-8.331956863E-1,1.102320603E0
1.622903850E-1,-2.553341687E-1,7.174401283E-1,-8.576295376E-1,1.146928201E0
1.646938750E-1,-2.492256761E-1,7.601994276E-1,-8.771766424E-1,1.187204898E0
1.670965310E-1,-2.394521236E-1,7.968502641E-1,-8.942803741E-1,1.221492960E0
1.694985100E-1,-2.321219593E-1,8.249492049E-1,-9.113841057E-1,1.251016700E0
1.719012180E-1,-2.247917950E-1,8.457180262E-1,-9.248227477E-1,1.273211469E0
1.743048120E-1,-2.199050188E-1,8.530482054E-1,-9.382613897E-1,1.287005786E0
1.767074680E-1,-2.150182426E-1,8.542698622E-1,-9.480349422E-1,1.294132951E0
1.791093950E-1,-2.162399292E-1,8.444963098E-1,-9.553651214E-1,1.293312120E0
1.815122080E-1,-2.174616307E-1,8.237275481E-1,-9.626953006E-1,1.285534471E0
1.839156970E-1,-2.211267054E-1,8.017370105E-1,-9.639169574E-1,1.273112389E0
1.863183540E-1,-2.333436459E-1,7.773031592E-1,-9.626953006E-1,1.259139270E0
1.887203330E-1,-2.443388999E-1,7.479824424E-1,-9.626953006E-1,1.243366991E0
1.911230410E-1,-2.602209449E-1,7.198835015E-1,-9.578084946E-1,1.226109419E0
1.935266350E-1,-2.761029601E-1,6.868977547E-1,-9.541434050E-1,1.207663449E0
1.959292910E-1,-2.944283783E-1,6.526902914E-1,-9.504783154E-1,1.190000720E0
1.983312180E-1,-3.139754832E-1,6.160394549E-1,-9.480349422E-1,1.173394846E0
2.007340310E-1,-3.335226178E-1,5.781669021E-1,-9.455915689E-1,1.157435838E0
2.031375200E-1,-3.530697227E-1,5.378510356E-1,-9.468132257E-1,1.144725841E0
2.055402290E-1,-3.701734245E-1,4.950917065E-1,-9.480349422E-1,1.131774895E0
2.079421560E-1,-3.909422457E-1,4.523324072E-1,-9.517000318E-1,1.123909870E0
2.103448640E-1,-4.080459774E-1,4.107947946E-1,-9.578084946E-1,1.119218922E0
2.127484580E-1,-4.251496792E-1,3.741439581E-1,-9.651386738E-1,1.119030210E0
2.151511140E-1,-4.398100376E-1,3.374931216E-1,-9.736905098E-1,1.120449769E0
2.175530410E-1,-4.556920528E-1,3.081724346E-1,-9.859074950E-1,1.128999152E0
2.199558540E-1,-4.654656053E-1,2.812951505E-1,-9.993461370E-1,1.137751244E0
2.223593430E-1,-4.752391577E-1,2.617480457E-1,-1.014006495E0,1.150031943E0
2.247620520E-1,-4.850127101E-1,2.483094037E-1,-1.032331824E0,1.167306251E0
2.271639790E-1,-4.898995161E-1,2.409792393E-1,-1.049435616E0,1.182957159E0
2.295666870E-1,-4.947862923E-1,2.409792393E-1,-1.071426034E0,1.204507457E0
2.319702810E-1,-4.972296655E-1,2.458660156E-1,-1.094638348E0,1.227159545E0
2.343729370E-1,-4.972296655E-1,2.556395829E-1,-1.116628766E0,1.248778899E0
2.367749160E-1,-4.960079789E-1,2.727433145E-1,-1.138619304E0,1.271560753E0
2.391776250E-1,-4.886777997E-1,2.947337925E-1,-1.163053155E0,1.295517905E0
2.415811660E-1,-4.789042473E-1,3.167243004E-1,-1.187487125E0,1.319010703E0
2.439838750E-1,-4.691306949E-1,3.436015844E-1,-1.211920977E0,1.344209103E0
2.463858020E-1,-4.532486796E-1,3.717005551E-1,-1.235133171E0,1.367168468E0
2.487885100E-1,-4.324798584E-1,4.010212123E-1,-1.257123709E0,1.388602484E0
2.511921040E-1,-4.104893506E-1,4.278984964E-1,-1.279114127E0,1.409869349E0
2.535947600E-1,-3.884988427E-1,4.535540938E-1,-1.298661232E0,1.429392760E0
2.559967390E-1,-3.628432751E-1,4.755446017E-1,-1.320651770E0,1.449799644E0
2.583994470E-1,-3.335226178E-1,4.926483035E-1,-1.340198874E0,1.466312624E0
2.608029890E-1,-3.042019308E-1,5.085303187E-1,-1.357302666E0,1.481017362E0
2.632056970E-1,-2.748812735E-1,5.146388412E-1,-1.373184681E0,1.491994980E0
2.656076250E-1,-2.480039895E-1,5.158604980E-1,-1.389066696E0,1.502372896E0
2.680104370E-1,-2.223484069E-1,5.146388412E-1,-1.402505279E0,1.510401605E0
2.704139270E-1,-1.979145110E-1,5.146388412E-1,-1.413500547E0,1.517236662E0
2.728165830E-1,-1.747023165E-1,5.183038712E-1,-1.420830727E0,1.522471594E0
2.752185620E-1,-1.575985998E-1,5.244123936E-1,-1.424495816E0,1.526117298E0
2.776212700E-1,-1.429382563E-1,5.317425132E-1,-1.428160906E0,1.530628962E0
2.800248120E-1,-1.307213157E-1,5.390726924E-1,-1.429382563E0,1.533239036E0
2.824275200E-1,-1.246128380E-1,5.476245880E-1,-1.429382563E0,1.535758952E0
2.848294470E-1,-1.209477559E-1,5.549547076E-1,-1.428160906E0,1.536960201E0
2.872322600E-1,-1.160609797E-1,5.586197972E-1,-1.425717473E0,1.535642062E0
2.896357500E-1,-1.148392856E-1,5.598415136E-1,-1.422052383E0,1.532593737E0
2.920384060E-1,-1.185043678E-1,5.573981404E-1,-1.417165637E0,1.527447025E0
2.944403850E-1,-1.209477559E-1,5.537330508E-1,-1.411057115E0,1.520635009E0
2.968430930E-1,-1.294996142E-1,5.488462448E-1,-1.404948711E0,1.513896705E0
2.992466350E-1,-1.356080920E-1,5.402944088E-1,-1.395175099E0,1.502272000E0
3.016493430E-1,-1.478250325E-1,5.329642296E-1,-1.387844920E0,1.493993518E0
3.040512700E-1,-1.612636745E-1,5.244123936E-1,-1.379293084E0,1.484406866E0
3.064540830E-1,-1.734806150E-1,5.146388412E-1,-1.371962905E0,1.475544263E0
