Time (s),Illuminance (lx)
1.622622035037e+18,228.6000061
1.6226220350813535e+18,195.1999969
1.6226220352813107e+18,185.0
1.6226220354813094e+18,166.1999969
1.6226220356813292e+18,188.6999969
1.6226220358813366e+18,221.6999969
1.6226220360813302e+18,240.3999939
1.6226220362813094e+18,265.1000061
1.622622036481331e+18,271.8999939
1.622622036681336e+18,252.3000031
1.6226220368813304e+18,227.1999969
1.622622037081317e+18,225.3000031
1.6226220372813115e+18,230.3999939
1.6226220374813294e+18,235.6000061
1.622622037681334e+18,234.6999969
1.622622037881313e+18,232.0
1.6226220380813292e+18,234.1999969
1.6226220382813102e+18,239.0
1.6226220384813338e+18,241.6000061
1.62262203868131e+18,243.6000061
1.6226220388813302e+18,246.5
1.6226220390813348e+18,241.3999939
1.6226220392813297e+18,238.0
1.6226220394813153e+18,255.1999969
1.6226220396813294e+18,287.5
1.622622039881329e+18,291.3999939
1.622622040081333e+18,196.6999969
1.6226220402813097e+18,112.5999985
1.6226220404813302e+18,166.8999939
1.6226220406813343e+18,230.6999969
1.622622040881333e+18,219.3999939
1.6226220410813107e+18,199.3999939
1.6226220412813304e+18,197.1999969
1.6226220414813302e+18,212.5
1.6226220416813343e+18,213.0
1.6226220418813102e+18,206.1000061
1.6226220420813304e+18,198.6000061
1.6226220422813297e+18,196.5
1.6226220424813353e+18,194.0
1.6226220426813105e+18,191.5
1.6226220428813297e+18,186.1999969
1.6226220430813322e+18,189.3000031
1.6226220432813304e+18,187.8000031
1.6226220434813094e+18,191.8999939
1.6226220436813302e+18,197.1999969
1.622622043881331e+18,197.6999969
1.6226220440813335e+18,202.8999939
1.62262204428131e+18,207.3000031
1.6226220444813322e+18,209.3000031
1.6226220446813327e+18,213.8999939
1.6226220448813332e+18,213.6999969
1.6226220450813092e+18,213.3999939
1.6226220452813304e+18,213.1999969
1.6226220454813335e+18,215.5
1.6226220456813353e+18,218.6999969
1.6226220458813087e+18,222.5
1.6226220460813304e+18,197.3000031
1.6226220462813292e+18,128.6000061
1.622622046481331e+18,124.1999969
1.6226220466813112e+18,151.6000061
1.6226220468813315e+18,160.8999939
1.6226220470813317e+18,136.3000031
1.622622047281331e+18,88.59999847
1.6226220474813038e+18,64.59999847
1.6226220476813302e+18,57.5
1.6226220478813332e+18,71.0
1.6226220480813338e+18,124.5999985
1.6226220482813102e+18,232.0
1.6226220484813297e+18,231.8999939
1.6226220486813302e+18,217.8000031
1.6226220488813327e+18,212.1999969
1.6226220490813094e+18,213.3999939
1.622622049281329e+18,229.1000061
1.6226220494813312e+18,248.8000031
1.6226220496813335e+18,264.1000061
1.6226220498813194e+18,268.7999878
1.6226220500813294e+18,272.0
1.6226220502813294e+18,273.5
1.622622050481332e+18,277.5
1.6226220506813174e+18,277.7999878
1.622622050881331e+18,276.0
1.6226220510813345e+18,260.2000122
1.6226220512813294e+18,236.8000031
1.622622051481309e+18,220.0
1.6226220516813315e+18,213.1000061
1.6226220518813286e+18,190.3999939
1.622622052081333e+18,175.8999939
1.622622052281321e+18,177.3000031
1.62262205248133e+18,183.0
1.6226220526813327e+18,184.3000031
1.6226220528813332e+18,183.8999939
1.6226220530813204e+18,180.1000061
1.6226220532813307e+18,180.8000031
1.622622053481332e+18,180.8999939
1.622622053681333e+18,180.3000031
1.6226220538813094e+18,179.8999939
