Time (s),Illuminance (lx)
0.000000000E0,8.199999809E0
1.859674520E-1,9.000000000E0
3.859918790E-1,1.300000000E1
5.860817740E-1,1.510000038E1
7.859703160E-1,1.650000000E1
9.859695350E-1,1.779999924E1
1.185969847E0,2.029999924E1
1.385958754E0,2.639999962E1
1.586096827E0,3.129999924E1
1.785969327E0,3.450000000E1
1.985970264E0,3.679999924E1
2.185969222E0,4.709999847E1
2.385969847E0,6.190000153E1
2.585969535E0,7.740000153E1
2.785969222E0,7.969999695E1
2.985968962E0,5.620000076E1
3.185970056E0,2.789999962E1
3.385969587E0,1.770000076E1
3.585970785E0,1.360000038E1
3.786099274E0,1.050000000E1
3.985968962E0,7.000000000E0
4.185969743E0,5.599999905E0
4.385969795E0,5.099999905E0
4.585949483E0,4.699999809E0
4.785969535E0,4.599999905E0
4.985970056E0,4.699999809E0
5.185969535E0,4.599999905E0
5.385969535E0,4.599999905E0
5.585969327E0,4.300000191E0
5.786040785E0,3.299999952E0
5.985969274E0,3.099999905E0
6.185969014E0,2.700000048E0
6.385969483E0,3.500000000E0
6.585969274E0,3.700000048E0
6.785971149E0,3.299999952E0
6.986085368E0,2.700000048E0
7.185969587E0,2.500000000E0
7.385969795E0,2.500000000E0
7.585970056E0,2.599999905E0
7.785948285E0,2.700000048E0
7.986072035E0,2.799999952E0
8.185969118E0,2.700000048E0
8.385969327E0,2.599999905E0
8.585969795E0,2.500000000E0
8.785949379E0,2.500000000E0
8.986086254E0,2.099999905E0
9.185969274E0,2.200000048E0
9.385969535E0,2.200000048E0
9.585968754E0,2.099999905E0
9.685969222E0,2.200000048E0
9.885969847E0,2.200000048E0
1.008596933E1,2.200000048E0
1.028596927E1,2.099999905E0
1.048597052E1,2.200000048E0
1.068609667E1,2.299999952E0
1.088596959E1,2.099999905E0
1.108596980E1,2.299999952E0
1.128596943E1,2.299999952E0
1.148594844E1,2.299999952E0
1.168608099E1,2.099999905E0
1.188596927E1,2.400000095E0
1.208596927E1,2.000000000E0
1.228596954E1,2.200000048E0
1.248597006E1,2.299999952E0
1.268609933E1,2.200000048E0
1.288596927E1,2.299999952E0
1.308597006E1,2.099999905E0
1.328596927E1,2.400000095E0
1.348596927E1,2.400000095E0
1.368597110E1,2.400000095E0
1.388596954E1,2.299999952E0
1.408596901E1,2.400000095E0
1.428597037E1,2.400000095E0
1.448596933E1,2.299999952E0
1.468597011E1,2.200000048E0
1.488609917E1,2.400000095E0
1.508597000E1,2.299999952E0
1.528597006E1,2.299999952E0
1.548597000E1,2.299999952E0
1.568594839E1,2.299999952E0
1.588608459E1,2.099999905E0
1.608597006E1,2.099999905E0
1.628597016E1,2.299999952E0
1.648597011E1,2.500000000E0
1.668596954E1,2.299999952E0
1.688598084E1,2.299999952E0
1.708596912E1,2.299999952E0
1.728597037E1,2.200000048E0
1.748596948E1,2.599999905E0
1.768596980E1,2.599999905E0
1.788596964E1,2.700000048E0
1.808608667E1,3.200000048E0
1.828596954E1,4.199999809E0
1.848596943E1,5.199999809E0
1.868596907E1,6.800000191E0
1.888594954E1,8.899999619E0
1.908607151E1,1.169999981E1
1.928596990E1,1.450000000E1
1.948596985E1,2.039999962E1
1.968597011E1,2.850000000E1
1.988596980E1,3.920000076E1
2.008609006E1,5.200000000E1
2.028596980E1,6.480000305E1
2.048596954E1,8.059999847E1
2.068596901E1,1.011999969E2
2.088596896E1,1.155999985E2
2.108597063E1,1.233000031E2
2.128607365E1,1.276999969E2
2.148596990E1,1.291999969E2
2.168596985E1,1.235999985E2
2.188596938E1,1.074000015E2
2.208597000E1,8.659999847E1
2.228608959E1,6.259999847E1
2.248597006E1,4.150000000E1
2.268596985E1,2.879999924E1
2.288597006E1,2.139999962E1
2.308594151E1,1.360000038E1
2.328607334E1,4.599999905E0
2.348596954E1,3.799999952E0
2.368596954E1,2.900000095E0
2.388596948E1,2.900000095E0
2.408596933E1,2.799999952E0
2.428600256E1,2.900000095E0
2.448596927E1,3.000000000E0
2.468596792E1,2.900000095E0
