"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.144914218E0,2.869234712E1,1.158794637E2,8.612117099E0,4.134155273E0,7.099999785E-1,0.000000000E0,7.564494580E-4,6.849216938E0,1.386689854E1,0.000000000E0
3.679041874E0,2.869234793E1,1.158794714E2,8.606663945E0,4.128723145E0,7.099999785E-1,0.000000000E0,5.578930070E-3,8.975011826E0,1.386689854E1,0.000000000E0
4.693880311E0,2.869233018E1,1.158795165E2,2.202029657E1,1.754254150E1,0.000000000E0,0.000000000E0,1.099722003E-2,4.670400620E0,7.918065548E0,1.100000000E1
5.694642342E0,2.869232226E1,1.158795713E2,3.721243062E1,3.273486328E1,0.000000000E0,0.000000000E0,1.474366890E-2,1.038640785E1,1.893312073E1,2.000000000E1
6.695284737E0,2.869230657E1,1.158795373E2,2.589309276E1,2.141546631E1,0.000000000E0,0.000000000E0,1.609104196E-2,4.160515785E0,5.262125015E0,2.600000000E1
7.706249060E0,2.869231837E1,1.158795342E2,2.458625031E1,2.010858154E1,0.000000000E0,0.000000000E0,1.778534199E-2,4.008767605E0,6.883502960E0,1.200000000E1
8.450920362E0,2.869232214E1,1.158795173E2,2.409674869E1,1.961901855E1,0.000000000E0,0.000000000E0,1.831929643E-2,3.790092468E0,5.604921818E0,3.100000000E1
9.451802132E0,2.869231767E1,1.158795153E2,2.255865636E1,1.808093262E1,0.000000000E0,0.000000000E0,1.869043735E-2,3.790092468E0,4.906652451E0,3.500000000E1
1.045658526E1,2.869232062E1,1.158795171E2,2.251575147E1,1.803802490E1,2.000000030E-1,2.560000038E1,2.033715904E-2,3.790092468E0,4.233523846E0,3.500000000E1
1.145343458E1,2.869232312E1,1.158795005E2,2.070507875E1,1.622729492E1,0.000000000E0,0.000000000E0,2.107418984E-2,3.790092468E0,4.523711681E0,3.500000000E1
1.245328588E1,2.869232821E1,1.158794956E2,1.949160656E1,1.501379395E1,0.000000000E0,0.000000000E0,2.121394582E-2,3.790092468E0,4.304940224E0,3.500000000E1
1.345418041E1,2.869232751E1,1.158794968E2,2.027260687E1,1.579479980E1,0.000000000E0,0.000000000E0,2.203151788E-2,3.790092468E0,3.776335001E0,3.600000000E1
1.445318385E1,2.869232712E1,1.158795052E2,2.182995353E1,1.735217285E1,0.000000000E0,0.000000000E0,2.275109042E-2,3.790092468E0,3.405303955E0,3.500000000E1
1.545084843E1,2.869233284E1,1.158795086E2,2.207007132E1,1.759228516E1,2.099999934E-1,1.779999924E1,2.311476000E-2,3.790092468E0,2.913738728E0,3.500000000E1
1.645333333E1,2.869233484E1,1.158795116E2,2.137939413E1,1.690161133E1,3.600000143E-1,2.839999962E1,2.382712958E-2,3.790092468E0,2.788760662E0,3.500000000E1
1.745631864E1,2.869234005E1,1.158795158E2,2.275219851E1,1.827441406E1,5.299999714E-1,2.879999924E1,2.545082193E-2,3.790092468E0,2.562665462E0,3.500000000E1
1.845599208E1,2.869235465E1,1.158795161E2,2.179337593E1,1.731555176E1,7.799999714E-1,2.870000076E1,2.592681923E-2,3.790092468E0,2.500000000E0,3.500000000E1
1.945358666E1,2.869235754E1,1.158795197E2,2.124814604E1,1.677032471E1,2.599999905E-1,3.070000076E1,2.615124591E-2,3.790092468E0,2.500000000E0,3.400000000E1
