"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.655456650E-1,2.870672280E1,1.159058547E2,2.443805730E1,0.000000000E0,0.000000000E0,4.250000000E1,5.456315517E0
4.537817915E0,2.870672040E1,1.159058616E2,5.230240970E1,4.399999976E-1,1.104000015E2,2.220373535E1,4.123510361E1
4.919586509E0,2.870672904E1,1.159058283E2,3.588004900E1,1.899999976E-1,2.425000000E2,8.179191589E0,9.166032791E0
5.920622342E0,2.870679966E1,1.159058064E2,5.961016959E1,0.000000000E0,0.000000000E0,1.071863747E1,1.331023216E1
6.921364477E0,2.870679854E1,1.159058095E2,6.130424895E1,0.000000000E0,0.000000000E0,9.830276489E0,1.159781647E1
7.920317914E0,2.870678707E1,1.159058252E2,6.500509722E1,0.000000000E0,0.000000000E0,8.343667984E0,9.174780846E0
8.922280414E0,2.870676163E1,1.159058471E2,7.023652780E1,0.000000000E0,0.000000000E0,7.756330490E0,7.916380405E0
9.920101663E0,2.870676532E1,1.159058435E2,7.015940065E1,0.000000000E0,0.000000000E0,7.960260868E0,7.526606560E0
1.092173088E1,2.870675611E1,1.159058610E2,7.142513027E1,0.000000000E0,0.000000000E0,9.258153915E0,7.970524311E0
1.191922411E1,2.870675785E1,1.159058610E2,7.164028402E1,0.000000000E0,0.000000000E0,8.115491867E0,7.460059643E0
1.292457098E1,2.870674937E1,1.159058654E2,7.254063768E1,0.000000000E0,0.000000000E0,7.706256866E0,7.231703281E0
1.392499729E1,2.870673995E1,1.159058760E2,7.401714190E1,0.000000000E0,0.000000000E0,7.221952915E0,6.700885773E0
1.492490052E1,2.870673423E1,1.159058849E2,7.515363489E1,0.000000000E0,0.000000000E0,6.860067844E0,6.394386768E0
1.591941817E1,2.870673295E1,1.159058878E2,7.537536307E1,0.000000000E0,0.000000000E0,6.622014523E0,6.082772255E0
1.692698630E1,2.870672721E1,1.159058957E2,7.594929793E1,0.000000000E0,0.000000000E0,6.273652077E0,5.741497993E0
1.792221265E1,2.870672579E1,1.159058943E2,7.593947172E1,0.000000000E0,0.000000000E0,6.099604130E0,5.691413403E0
1.892751041E1,2.870672517E1,1.159058961E2,7.601948146E1,0.000000000E0,0.000000000E0,6.062363625E0,5.819920540E0
1.992506499E1,2.870672445E1,1.159058961E2,7.661445017E1,0.000000000E0,0.000000000E0,6.046207905E0,5.923650742E0
2.092524119E1,2.870672497E1,1.159058929E2,7.669240325E1,0.000000000E0,0.000000000E0,5.724184990E0,5.630027294E0
2.192477780E1,2.870672713E1,1.159058951E2,7.691743921E1,0.000000000E0,0.000000000E0,5.537275314E0,5.479147911E0
2.292427473E1,2.870673037E1,1.159058957E2,7.731435803E1,0.000000000E0,0.000000000E0,5.240841389E0,5.131556988E0
2.392014088E1,2.870673129E1,1.159058927E2,7.736679877E1,0.000000000E0,0.000000000E0,5.325497627E0,5.314102173E0
