Time (s),Magnetic field x,Magnetic field y,Magnetic field z
1.62E+18,3.952800035,-55.88819885,-25.98600006
1.62E+18,3.952800035,-55.88819885,-25.98600006
1.62E+18,4.013800144,-55.98579788,-26.01039886
1.62E+18,3.977200031,-56.0102005,-26.01039886
1.62E+18,3.92840004,-56.0102005,-26.13239861
1.62E+18,3.867399931,-56.0102005,-26.29100037
1.62E+18,3.794199944,-55.96139908,-26.46179962
1.62E+18,3.733199835,-55.93700027,-26.65699959
1.62E+18,3.647799969,-55.87599945,-26.90099907
1.62E+18,3.562399864,-55.91259766,-27.25479889
1.62E+18,3.342799902,-55.97359848,-27.55979919
1.62E+18,3.245199919,-56.0345993,-27.88920021
1.62E+18,3.159800053,-56.05899811,-28.19419861
1.62E+18,3.074399948,-56.11999893,-28.47480011
1.62E+18,3.037799835,-56.24200058,-28.7553997
1.62E+18,3.013399839,-56.29079819,-28.85299873
1.62E+18,2.952399969,-56.43719864,-28.97500038
1.62E+18,2.964599848,-56.48600006,-28.95059967
1.62E+18,3.086599827,-56.47380066,-28.96279907
1.62E+18,3.074399948,-56.48600006,-29.0237999
1.62E+18,3.110999823,-56.54699707,-29.09700012
1.62E+18,3.184200048,-56.58359909,-29.06040001
1.62E+18,3.23300004,-56.60799789,-28.99939919
1.62E+18,3.29399991,-56.65679932,-29.0481987
1.62E+18,3.428200006,-56.68119812,-29.06040001
1.62E+18,3.513599873,-56.71780014,-29.0359993
1.62E+18,3.550199986,-56.70560074,-29.08479881
1.62E+18,3.659999847,-56.68119812,-29.06040001
1.62E+18,3.647799969,-56.63240051,-29.07259941
1.62E+18,3.659999847,-56.6201973,-29.07259941
1.62E+18,3.684399843,-56.55920029,-29.01159859
1.62E+18,3.684399843,-56.51039886,-28.96279907
1.62E+18,3.647799969,-56.43719864,-28.96279907
1.62E+18,3.562399864,-56.33959961,-29.06040001
1.62E+18,3.574599981,-56.27859879,-29.10919952
1.62E+18,3.52579999,-56.20539856,-29.12139893
1.62E+18,3.574599981,-56.14439774,-29.0237999
1.62E+18,3.550199986,-55.94919968,-29.09700012
1.62E+18,3.550199986,-55.79059982,-29.09700012
1.62E+18,3.550199986,-55.64419937,-29.01159859
1.62E+18,3.574599981,-55.4489975,-28.99939919
1.62E+18,3.647799969,-55.19279861,-28.85299873
1.62E+18,3.684399843,-54.99760056,-28.65779877
1.62E+18,3.781999826,-54.76580048,-28.51140022
1.62E+18,3.842999935,-54.59499741,-28.30399895
1.62E+18,3.903999805,-54.44860077,-27.84039879
1.62E+18,3.940599918,-54.31439972,-27.43779945
1.62E+18,3.977200031,-54.14360046,-27.10840034
1.62E+18,4.026000023,-54.05820084,-26.6814003
1.62E+18,4.013800144,-54.11919785,-26.26659966
1.62E+18,4.001599789,-53.99720001,-25.85179901
1.62E+18,3.964999914,-53.89959717,-25.43700027
1.62E+18,3.964999914,-53.72879791,-25.11979866
1.62E+18,4.013800144,-53.60680008,-24.90019989
1.62E+18,3.98939991,-53.3993988,-24.68059921
1.62E+18,4.001599789,-53.25299835,-24.47319984
1.62E+18,3.977200031,-53.05780029,-24.29019928
1.62E+18,3.977200031,-52.8015976,-24.0461998
1.62E+18,3.98939991,-52.64299774,-23.89979935
1.62E+18,3.940599918,-52.48439789,-23.69239998
1.62E+18,3.842999935,-52.35020065,-23.42399979
1.62E+18,3.745399952,-52.27700043,-23.25319862
1.62E+18,3.720999956,-52.2159996,-23.05799866
1.62E+18,3.647799969,-52.15499878,-22.91160011
1.62E+18,3.659999847,-52.13059998,-22.65539932
1.62E+18,3.672199965,-52.03299713,-22.50899887
1.62E+18,3.647799969,-51.9475975,-22.2894001
1.62E+18,3.672199965,-51.9475975,-22.04539871
1.62E+18,3.708799839,-51.95980072,-21.77700043
1.62E+18,3.757599831,-51.8987999,-21.56959915
1.62E+18,3.745399952,-51.9353981,-21.4231987
1.62E+18,3.757599831,-51.9475975,-21.1182003
1.62E+18,3.720999956,-51.9475975,-20.84980011
1.62E+18,3.635599852,-52.05739975,-20.63019943
1.62E+18,3.513599873,-52.15499878,-20.33740044
1.62E+18,3.452600002,-52.1916008,-20.08119965
1.62E+18,3.391599894,-52.28919983,-19.81279945
1.62E+18,3.281800032,-52.38679886,-19.59319878
1.62E+18,3.257400036,-52.43560028,-19.37360001
1.62E+18,3.196399927,-52.54539871,-19.11739922
1.62E+18,3.074399948,-52.63079834,-18.88559914
1.62E+18,2.988999844,-52.69179916,-18.69039917
1.62E+18,2.964599848,-52.77719879,-18.59280014
1.62E+18,2.879199982,-52.89920044,-18.45859909
1.62E+18,2.781599998,-52.83819962,-18.4708004
1.62E+18,2.635200024,-52.88699722,-18.29999924
1.62E+18,2.525399923,-53.00899887,-18.06819916
1.62E+18,2.42779994,-53.06999969,-17.97060013
1.62E+18,2.342400074,-53.13100052,-17.8973999
1.62E+18,2.244799852,-53.20420074,-17.73880005
1.62E+18,2.110599995,-53.26519775,-17.56799889
1.62E+18,1.976400018,-53.33839798,-17.55579948
1.62E+18,1.915399909,-53.50919724,-17.37279892
1.62E+18,1.866599917,-53.60680008,-17.22640038
1.62E+18,1.744599938,-53.65559769,-17.15320015
1.62E+18,1.646999955,-53.66779709,-17.15320015
1.62E+18,1.549399972,-53.70439911,-17.06780052
1.62E+18,1.366400003,-53.72879791,-17.05559921
1.62E+18,1.305400014,-53.74099731,-17.06780052
1.62E+18,1.26880002,-53.70439911,-17.04339981
1.62E+18,1.122399926,-53.64339828,-17.14099884
1.62E+18,1.036999941,-53.61899948,-17.37279892
1.62E+18,0.963799954,-53.58239746,-17.50699997
1.62E+18,0.829599977,-53.57019806,-17.56799889
1.62E+18,0.744199991,-53.53359985,-17.75099945
1.62E+18,0.731999993,-53.53359985,-17.95839882
1.62E+18,0.622200012,-53.49699783,-18.14139938
1.62E+18,0.536799967,-53.47259903,-18.33659935
1.62E+18,0.475799978,-53.47259903,-18.45859909
1.62E+18,0.40259999,-53.49699783,-18.4951992
1.62E+18,0.329400003,-53.52140045,-18.62940025
1.62E+18,0.268399984,-53.55799866,-18.7757988
1.62E+18,0.207399994,-53.57019806,-18.86120033
1.62E+18,0.158600003,-53.57019806,-18.82460022
1.62E+18,0.146400005,-53.60680008,-18.72699928
1.62E+18,0.097599998,-53.65559769,-18.58059883
1.62E+18,0.121999994,-53.75320053,-18.44639969
1.62E+18,0.121999994,-53.74099731,-18.29999924
1.62E+18,0.207399994,-53.76539993,-18.12919998
1.62E+18,0.23179999,-53.76539993,-17.97060013
1.62E+18,0.280599982,-53.76539993,-17.8852005
1.62E+18,0.329400003,-53.83860016,-17.87299919
1.62E+18,0.365999997,-53.85079956,-17.8852005
1.62E+18,0.40259999,-53.87519836,-17.86079979
1.62E+18,0.426999986,-53.89959717,-17.82419968
1.62E+18,0.439199984,-53.97279739,-17.82419968
1.62E+18,0.439199984,-54.09479904,-17.78759956
1.62E+18,0.536799967,-54.19239807,-17.69000053
1.62E+18,0.63440001,-54.42419815,-17.604599
1.62E+18,0.731999993,-54.50959778,-17.50699997
1.62E+18,0.829599977,-54.65599823,-17.43379974
1.62E+18,0.975999951,-54.79019928,-17.34840012
1.62E+18,1.085799932,-54.91219711,-17.27519989
1.62E+18,1.207800031,-55.04639816,-17.17759895
1.62E+18,1.402999997,-55.11959839,-17.0067997
1.62E+18,1.524999976,-55.26599884,-16.83600044
1.62E+18,1.707999945,-55.33919907,-16.67740059
1.62E+18,1.915399909,-55.4489975,-16.4090004
1.62E+18,2.195999861,-55.61980057,-16.17720032
1.62E+18,2.476599932,-55.7661972,-15.85999966
1.62E+18,2.793799877,-55.93700027,-15.49399948
1.62E+18,3.135400057,-56.0345993,-15.12799931
1.62E+18,3.452600002,-56.24200058,-14.79859924
1.62E+18,3.781999826,-56.37619781,-14.48139954
1.62E+18,4.099199772,-56.55920029,-14.04220009
1.62E+18,4.453000069,-56.71780014,-13.74940014
1.62E+18,4.782400131,-56.9007988,-13.38339996
1.62E+18,5.075200081,-57.08379745,-13.09060001
1.62E+18,5.380199909,-57.24239731,-12.87099934
1.62E+18,5.66079998,-57.49860001,-12.59039974
1.62E+18,5.929199696,-57.66939926,-12.41959953
1.62E+18,6.197599888,-57.91339874,-12.15119934
1.62E+18,6.46600008,-58.13299942,-11.83399963
1.62E+18,6.685599804,-58.31599808,-11.56559944
1.62E+18,6.917399883,-58.49900055,-11.27279949
1.62E+18,7.137000084,-58.68199921,-10.96780014
1.62E+18,7.368799686,-58.93819809,-10.56519985
1.62E+18,7.588399887,-59.14559937,-10.2723999
1.62E+18,7.832399845,-59.41399765,-9.833199501
1.62E+18,8.03979969,-59.5725975,-9.576999664
1.62E+18,8.259399414,-59.79219818,-9.381799698
1.62E+18,8.418000221,-60.04839706,-9.088999748
1.62E+18,8.503399849,-60.23139954,-8.930399895
1.62E+18,8.576600075,-60.54859924,-8.808400154
1.62E+18,8.552199364,-60.79259872,-8.845000267
1.62E+18,8.564399719,-61.06099701,-8.869400024
1.62E+18,8.479000092,-61.23180008,-9.040200233
1.62E+18,8.442399979,-61.47579956,-9.2354002
1.62E+18,8.344799995,-61.62220001,-9.491600037
1.62E+18,8.234999657,-61.78079987,-9.796599388
1.62E+18,8.186200142,-62.04919815,-10.08939934
1.62E+18,8.015399933,-62.08580017,-10.43099976
1.62E+18,7.905600071,-62.21999741,-10.68719959
1.62E+18,7.68599987,-62.24440002,-11.00440025
1.62E+18,7.515199661,-62.35419846,-11.21179962
1.62E+18,7.307799816,-62.45179749,-11.38259983
1.62E+18,7.051599979,-62.53719711,-11.59000015
1.62E+18,6.88079977,-62.61039734,-11.69979954
1.62E+18,6.673399925,-62.61039734,-11.83399963
1.62E+18,6.502599716,-62.58599854,-11.8949995
1.62E+18,6.356199741,-62.57379913,-12.0291996
1.62E+18,6.295199871,-62.63479996,-12.0291996
1.62E+18,6.185400009,-62.57379913,-12.17560005
1.62E+18,6.039000034,-62.50059891,-12.33419991
1.62E+18,5.916999817,-62.43959808,-12.43179989
1.62E+18,5.843800068,-62.42739868,-12.59039974
1.62E+18,5.770599842,-62.39080048,-12.83440018
1.62E+18,5.746200085,-62.40299988,-13.10279942
1.62E+18,5.636399746,-62.31760025,-13.35900021
1.62E+18,5.551000118,-62.21999741,-13.70059967
1.62E+18,5.44119978,-62.1590004,-13.93239975
1.62E+18,5.428999901,-62.04919815,-14.16419983
1.62E+18,5.331399918,-61.96379852,-14.40819931
1.62E+18,5.221600056,-61.80519867,-14.73759937
1.62E+18,5.050799847,-61.68319702,-14.98159981
1.62E+18,4.916599751,-61.52459717,-15.14019966
1.62E+18,4.806799889,-61.35379791,-15.37199974
1.62E+18,4.697000027,-61.21960068,-15.50619984
1.62E+18,4.63599968,-61.07320023,-15.72579956
1.62E+18,4.526199818,-60.96339798,-15.87220001
1.62E+18,4.489599705,-60.81699753,-15.9819994
1.62E+18,4.453000069,-60.69499969,-15.89659977
1.62E+18,4.465199947,-60.54859924,-15.82339954
1.62E+18,4.477399826,-60.47539902,-15.77460003
1.62E+18,4.50180006,-60.40219879,-15.68919945
1.62E+18,4.562799931,-60.31679916,-15.53059959
1.62E+18,4.599400043,-60.17039871,-15.33539963
1.62E+18,4.697000027,-60.03619766,-15.15240002
1.62E+18,4.770199776,-59.95079803,-15.03039932
1.62E+18,4.818999767,-59.85319901,-15.00599957
1.62E+18,4.843400002,-59.73119736,-14.99380016
1.62E+18,4.940999985,-59.5603981,-14.98159981
1.62E+18,5.001999855,-59.42619705,-14.99380016
1.62E+18,5.038599968,-59.27980042,-15.09140015
1.62E+18,5.099599838,-59.18219757,-15.16459942
1.62E+18,5.14839983,-59.08459854,-15.23779964
1.62E+18,5.2093997,-58.99919891,-15.27439976
1.62E+18,5.270400047,-58.96260071,-15.20119953
1.62E+18,5.404599667,-58.87719727,-15.20119953
1.62E+18,5.477799892,-58.85279846,-15.23779964
1.62E+18,5.538799763,-58.79179764,-15.23779964
1.62E+18,5.611999989,-58.71859741,-15.18900013
1.62E+18,5.636399746,-58.71859741,-15.15240002
1.62E+18,5.66079998,-58.64539719,-15.14019966
1.62E+18,5.672999859,-58.55999756,-15.20119953
1.62E+18,5.672999859,-58.45019913,-15.27439976
1.62E+18,5.624199867,-58.43799973,-15.29879951
1.62E+18,5.624199867,-58.3891983,-15.32319927
1.62E+18,5.611999989,-58.3404007,-15.28660011
1.62E+18,5.624199867,-58.3404007,-15.22559929
1.62E+18,5.587599754,-58.27939987,-15.22559929
1.62E+18,5.575399876,-58.30379868,-15.21339989
1.62E+18,5.59980011,-58.32819748,-15.12799931
1.62E+18,5.59980011,-58.3404007,-15.04259968
1.62E+18,5.587599754,-58.3526001,-14.96939945
1.62E+18,5.551000118,-58.3769989,-14.84739971
1.62E+18,5.575399876,-58.3647995,-14.74979973
1.62E+18,5.587599754,-58.3769989,-14.79859924
1.62E+18,5.59980011,-58.3891983,-14.77419949
1.62E+18,5.587599754,-58.45019913,-14.72539997
1.62E+18,5.551000118,-58.45019913,-14.61559963
1.62E+18,5.551000118,-58.47459793,-14.56680012
1.62E+18,5.575399876,-58.45019913,-14.45699978
1.62E+18,5.538799763,-58.48679733,-14.34719944
1.62E+18,5.514400005,-58.54779816,-14.24959946
1.62E+18,5.465600014,-58.55999756,-14.0909996
1.62E+18,5.465600014,-58.59659958,-13.92019939
1.62E+18,5.416800022,-58.63319778,-13.81040001
1.62E+18,5.392399788,-58.6576004,-13.61520004
1.62E+18,5.380199909,-58.73080063,-13.46879959
1.62E+18,5.343599796,-58.81620026,-13.27359962
1.62E+18,5.258199692,-58.85279846,-13.12720013
1.62E+18,5.221600056,-58.81620026,-12.96859932
1.62E+18,5.221600056,-58.90159988,-12.90759945
1.62E+18,5.160599709,-58.86499786,-12.83440018
1.62E+18,5.160599709,-58.77959824,-12.79780006
1.62E+18,5.111799717,-58.81620026,-12.80999947
1.62E+18,5.08739996,-58.71859741,-12.82219982
1.62E+18,5.014199734,-58.62099838,-12.83440018
1.62E+18,5.050799847,-58.59659958,-12.79780006
1.62E+18,5.075200081,-58.57220078,-12.82219982
1.62E+18,5.026400089,-58.47459793,-12.71239948
1.62E+18,5.026400089,-58.47459793,-12.68799973
1.62E+18,5.001999855,-58.51119995,-12.56599998
1.62E+18,5.001999855,-58.53559875,-12.59039974
1.62E+18,4.953199863,-58.51119995,-12.54160023
1.62E+18,4.965399742,-58.51119995,-12.54160023
1.62E+18,4.965399742,-58.49900055,-12.56599998
1.62E+18,4.904399872,-58.57220078,-12.57819939
1.62E+18,4.892199993,-58.62099838,-12.59039974
1.62E+18,4.892199993,-58.58440018,-12.59039974
1.62E+18,4.880000114,-58.49900055,-12.54160023
1.62E+18,4.940999985,-58.41359711,-12.40740013
1.62E+18,4.989799976,-58.3404007,-12.39519978
1.62E+18,4.989799976,-58.25499725,-12.41959953
1.62E+18,5.038599968,-58.14519882,-12.38299942
1.62E+18,5.062999725,-58.0719986,-12.33419991
1.62E+18,5.038599968,-57.98659897,-12.32199955
1.62E+18,5.026400089,-57.96220016,-12.27320004
1.62E+18,5.062999725,-57.92559814,-12.28539944
1.62E+18,4.977600098,-57.92559814,-12.37080002
1.62E+18,4.928800106,-57.96220016,-12.30980015
1.62E+18,4.953199863,-58.03540039,-12.32199955
1.62E+18,4.940999985,-58.0719986,-12.26099968
1.62E+18,4.989799976,-58.0719986,-12.28539944
1.62E+18,5.026400089,-58.10860062,-12.28539944
1.62E+18,5.050799847,-58.0963974,-12.30980015
1.62E+18,5.062999725,-58.0963974,-12.29759979
1.62E+18,5.136199951,-58.0719986,-12.27320004
1.62E+18,5.2093997,-58.084198,-12.29759979
1.62E+18,5.221600056,-58.01099777,-12.24879932
1.62E+18,5.221600056,-58.02319717,-12.28539944
1.62E+18,5.245999813,-57.95000076,-12.29759979
1.62E+18,5.270400047,-57.88899994,-12.33419991
1.62E+18,5.331399918,-57.81579971,-12.34639931
1.62E+18,5.368000031,-57.80360031,-12.4684
1.62E+18,5.380199909,-57.75479889,-12.49279976
1.62E+18,5.392399788,-57.69379807,-12.57819939
1.62E+18,5.44119978,-57.63279724,-12.66359997
1.62E+18,5.453399658,-57.49860001,-12.80999947
1.62E+18,5.453399658,-57.46199799,-12.96859932
1.62E+18,5.502200127,-57.37659836,-13.02960014
1.62E+18,5.538799763,-57.40099716,-13.16379929
1.62E+18,5.59980011,-57.35219955,-13.26139927
1.62E+18,5.636399746,-57.32780075,-13.38339996
1.62E+18,5.685199738,-57.29119873,-13.49319935
1.62E+18,5.685199738,-57.30339813,-13.62739944
1.62E+18,5.758399963,-57.29119873,-13.61520004
1.62E+18,5.795000076,-57.25460052,-13.66399956
1.62E+18,5.819399834,-57.25460052,-13.74940014
1.62E+18,5.831599712,-57.2057991,-13.76159954
1.62E+18,5.843800068,-57.15699768,-13.7859993
1.62E+18,5.904799938,-57.03499985,-13.82259941
1.62E+18,5.916999817,-56.937397,-13.85919952
1.62E+18,5.977999687,-56.87639999,-13.87139988
1.62E+18,5.990200043,-56.81539917,-14.00559998
1.62E+18,6.026799679,-56.79100037,-13.96899986
1.62E+18,6.063399792,-56.72999954,-13.96899986
1.62E+18,6.051199913,-56.69339752,-14.0909996
1.62E+18,6.07559967,-56.68119812,-14.05439949
1.62E+18,6.063399792,-56.74219894,-14.04220009
1.62E+18,6.099999905,-56.75439835,-14.05439949
1.62E+18,6.148799896,-56.77879715,-13.98119926
1.62E+18,6.185400009,-56.80319977,-13.87139988
1.62E+18,6.221999645,-56.79100037,-13.82259941
1.62E+18,6.246399879,-56.83979797,-13.82259941
1.62E+18,6.295199871,-56.85199738,-13.7737999
1.62E+18,6.331799984,-56.85199738,-13.84700012
1.62E+18,6.368400097,-56.80319977,-13.93239975
1.62E+18,6.356199741,-56.77879715,-13.95679951
1.62E+18,6.343999863,-56.72999954,-14.04220009
1.62E+18,6.319600105,-56.74219894,-14.13980007
1.62E+18,6.258599758,-56.76659775,-14.24959946
1.62E+18,6.185400009,-56.74219894,-14.23740005
1.62E+18,6.148799896,-56.72999954,-14.23740005
1.62E+18,6.099999905,-56.70560074,-14.23740005
1.62E+18,6.07559967,-56.71780014,-14.18859959
1.62E+18,6.039000034,-56.76659775,-14.24959946
1.62E+18,6.002399921,-56.76659775,-14.28619957
1.62E+18,5.965799809,-56.79100037,-14.37160015
1.62E+18,5.929199696,-56.76659775,-14.37160015
1.62E+18,5.916999817,-56.76659775,-14.49359989
