"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.445187800E-2,3.952800035E0,-5.588819885E1,-2.598600006E1
8.030422200E-2,3.952800035E0,-5.588819885E1,-2.598600006E1
9.030422200E-2,4.013800144E0,-5.598579788E1,-2.601039886E1
1.003042220E-1,3.977200031E0,-5.601020050E1,-2.601039886E1
1.103042220E-1,3.928400040E0,-5.601020050E1,-2.613239861E1
1.203042220E-1,3.867399931E0,-5.601020050E1,-2.629100037E1
1.303042220E-1,3.794199944E0,-5.596139908E1,-2.646179962E1
1.403042220E-1,3.733199835E0,-5.593700027E1,-2.665699959E1
1.503042220E-1,3.647799969E0,-5.587599945E1,-2.690099907E1
1.603042220E-1,3.562399864E0,-5.591259766E1,-2.725479889E1
1.703042220E-1,3.342799902E0,-5.597359848E1,-2.755979919E1
1.803042220E-1,3.245199919E0,-5.603459930E1,-2.788920021E1
1.903042220E-1,3.159800053E0,-5.605899811E1,-2.819419861E1
2.003042220E-1,3.074399948E0,-5.611999893E1,-2.847480011E1
2.103042220E-1,3.037799835E0,-5.624200058E1,-2.875539970E1
2.203042220E-1,3.013399839E0,-5.629079819E1,-2.885299873E1
2.303042220E-1,2.952399969E0,-5.643719864E1,-2.897500038E1
2.403042220E-1,2.964599848E0,-5.648600006E1,-2.895059967E1
2.503042220E-1,3.086599827E0,-5.647380066E1,-2.896279907E1
2.603042220E-1,3.074399948E0,-5.648600006E1,-2.902379990E1
2.703042220E-1,3.110999823E0,-5.654699707E1,-2.909700012E1
2.803042220E-1,3.184200048E0,-5.658359909E1,-2.906040001E1
2.903042220E-1,3.233000040E0,-5.660799789E1,-2.899939919E1
3.003042220E-1,3.293999910E0,-5.665679932E1,-2.904819870E1
3.103042220E-1,3.428200006E0,-5.668119812E1,-2.906040001E1
3.203042220E-1,3.513599873E0,-5.671780014E1,-2.903599930E1
3.303042220E-1,3.550199986E0,-5.670560074E1,-2.908479881E1
3.403042220E-1,3.659999847E0,-5.668119812E1,-2.906040001E1
3.503042220E-1,3.647799969E0,-5.663240051E1,-2.907259941E1
3.603042220E-1,3.659999847E0,-5.662019730E1,-2.907259941E1
3.703042220E-1,3.684399843E0,-5.655920029E1,-2.901159859E1
3.803042220E-1,3.684399843E0,-5.651039886E1,-2.896279907E1
3.903042220E-1,3.647799969E0,-5.643719864E1,-2.896279907E1
4.003042220E-1,3.562399864E0,-5.633959961E1,-2.906040001E1
4.103042220E-1,3.574599981E0,-5.627859879E1,-2.910919952E1
