"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.086219400E-2,2.791951418E0,1.383229733E0,-1.636586040E-1
7.594094400E-2,2.845214605E0,1.415720224E0,-1.471470147E-1
8.099563200E-2,2.997014523E0,1.535562396E0,-1.301027983E-1
8.602380900E-2,3.170652628E0,1.608000398E0,-1.215806827E-1
9.108464200E-2,3.291559935E0,1.572314024E0,-1.311680675E-1
9.616386100E-2,3.384770632E0,1.501474023E0,-1.540712267E-1
1.012003190E-1,3.463599920E0,1.457798123E0,-1.679196507E-1
1.063010480E-1,3.522722006E0,1.439156055E0,-1.796375513E-1
1.113130800E-1,3.573322296E0,1.413589716E0,-1.791049242E-1
1.163700070E-1,3.625520229E0,1.341151834E0,-1.689849198E-1
1.214442780E-1,3.670261145E0,1.194678068E0,-1.668543816E-1
1.264948510E-1,3.699555874E0,9.853537679E-1,-1.934859753E-1
1.315521420E-1,3.702751637E0,7.371473908E-1,-2.456838787E-1
1.366225070E-1,3.684642315E0,4.979957044E-1,-3.229154944E-1
1.416806840E-1,3.667598009E0,3.499240875E-1,-4.123976231E-1
1.467818300E-1,3.651086330E0,3.429998457E-1,-4.896292388E-1
1.517653190E-1,3.620726585E0,4.074482918E-1,-5.269135237E-1
1.568982880E-1,3.565332651E0,4.426019788E-1,-5.221198201E-1
1.619042260E-1,3.505145550E0,4.287535846E-1,-4.922924042E-1
1.669724030E-1,3.445490599E0,3.925346136E-1,-4.480839670E-1
1.720281320E-1,3.392760038E0,3.424672186E-1,-3.990818560E-1
1.771038090E-1,3.340029478E0,3.003893197E-1,-3.410249650E-1
1.821267260E-1,3.291559935E0,2.726924717E-1,-2.771091759E-1
1.872241210E-1,3.253210545E0,2.284840494E-1,-2.115954608E-1
1.922664650E-1,3.237764359E0,1.677640229E-1,-1.604628116E-1
1.972963090E-1,3.253210545E0,1.081092656E-1,-1.301027983E-1
2.023618300E-1,3.301147461E0,6.443345547E-2,-1.119933128E-1
2.074439130E-1,3.373052597E0,5.963977799E-2,-9.441646934E-2
