"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.106975500E-2,6.257507205E-2,-4.567367136E-1,-5.226032808E-2
6.609157800E-2,4.925928265E-2,-4.567367136E-1,-4.853190854E-2
7.115241100E-2,2.529085428E-2,-4.572693706E-1,-3.521611169E-2
7.622246300E-2,-1.039547380E-2,-4.940209389E-1,7.927059196E-3
8.130553600E-2,-4.608180001E-2,-5.467514992E-1,4.254812375E-2
8.632840000E-2,-7.697445154E-2,-5.973514915E-1,7.024497539E-2
9.137709800E-2,-1.030734032E-1,-6.287767291E-1,8.728919923E-2
9.645282800E-2,-1.169218272E-1,-6.154609323E-1,9.261551499E-2
1.014980360E-1,-1.217155084E-1,-5.451535583E-1,8.995234966E-2
1.065465780E-1,-1.158565655E-1,-4.183872342E-1,8.409340680E-2
1.116152750E-1,-1.052039340E-1,-2.516734898E-1,6.651655585E-2
1.166697550E-1,-8.815971762E-2,-7.377449423E-2,3.935233504E-2
1.217317860E-1,-8.070287108E-2,8.015608042E-2,5.796531681E-3
1.268351190E-1,-8.283339441E-2,1.813561171E-1,-2.722663805E-2
1.318613690E-1,-1.068018302E-1,2.143792808E-1,-5.385822430E-2
1.369160050E-1,-1.536734104E-1,1.685729623E-1,-7.196769863E-2
1.419712650E-1,-2.298397571E-1,5.565501750E-2,-8.048980683E-2
1.470447030E-1,-3.235829473E-1,-1.025366113E-1,-8.155506849E-2
1.521101710E-1,-4.365008771E-1,-2.878924310E-1,-7.303296030E-2
1.571665250E-1,-5.558103323E-1,-4.812377691E-1,-5.918454006E-2
1.622048070E-1,-6.719240546E-1,-6.649957299E-1,-4.427085444E-2
1.673657960E-1,-7.843093872E-1,-8.253178596E-1,-3.628137708E-2
1.723197030E-1,-8.876399398E-1,-9.456926584E-1,-3.148769215E-2
1.774869940E-1,-9.781873226E-1,-1.028783202E0,-2.775926888E-2
1.824162130E-1,-1.050092578E0,-1.106014848E0,-2.882453240E-2
1.874853800E-1,-1.115073681E0,-1.170995831E0,-3.734663874E-2
1.925491300E-1,-1.176326394E0,-1.190703273E0,-5.066243187E-2
1.975982960E-1,-1.225328445E0,-1.168865323E0,-6.717400998E-2
2.026649110E-1,-1.244503140E0,-1.143298984E0,-9.167507291E-2
2.078118380E-1,-1.241840005E0,-1.104949474E0,-1.188392937E-1
2.127697550E-1,-1.221067309E0,-1.038370490E0,-1.523950994E-1
2.178552750E-1,-1.184848428E0,-9.643347859E-1,-1.896793246E-1
2.228856400E-1,-1.164075732E0,-8.562105298E-1,-2.093867064E-1
2.280305360E-1,-1.164075732E0,-7.219873071E-1,-2.088540643E-1
2.329984530E-1,-1.172065258E0,-6.090694070E-1,-2.056582868E-1
2.381489730E-1,-1.171000004E0,-5.600672960E-1,-2.056582868E-1
2.431282960E-1,-1.161412716E0,-5.904272795E-1,-2.093867064E-1
2.482267340E-1,-1.137976885E0,-6.905620694E-1,-2.147130072E-1
2.532530880E-1,-1.105486274E0,-8.663305044E-1,-2.232351303E-1
2.583078280E-1,-1.093768358E0,-1.050621152E0,-2.168435305E-1
