"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.178740000E-2,6.895516533E-3,1.636878005E-5,-2.150191227E-3
6.687859800E-2,7.960779592E-3,-1.581526478E-3,2.643494401E-3
7.191318100E-2,-5.613282556E-4,1.636878005E-5,3.176126163E-3
7.696854600E-2,-1.093959552E-3,1.614264096E-3,1.045599231E-3
8.202510800E-2,2.634462435E-3,5.490005715E-4,2.110862639E-3
8.715292100E-2,1.569198794E-3,1.081632334E-3,5.129674682E-4
9.213198300E-2,5.039352691E-4,1.636878005E-5,1.578230876E-3
9.719812900E-2,2.634462435E-3,2.679527504E-3,-1.966441050E-5
1.022718790E-1,-1.093959552E-3,1.614264096E-3,1.578230876E-3
1.073059410E-1,-1.093959552E-3,1.081632334E-3,5.129674682E-4
1.123716180E-1,2.634462435E-3,5.490005715E-4,-1.966441050E-5
1.174167230E-1,1.036567031E-3,1.614264096E-3,1.045599231E-3
1.225054730E-1,-2.869649325E-5,3.212158335E-3,5.129674682E-4
1.275787020E-1,1.036567031E-3,3.212158335E-3,1.045599231E-3
1.326006810E-1,3.167094197E-3,1.614264096E-3,5.129674682E-4
1.376829210E-1,1.036567031E-3,1.081632334E-3,5.129674682E-4
1.427059930E-1,1.569198794E-3,1.081632334E-3,2.110862639E-3
1.477909410E-1,1.569198794E-3,2.679527504E-3,5.129674682E-4
1.528640660E-1,1.036567031E-3,2.146895742E-3,1.045599231E-3
1.579087540E-1,-2.869649325E-5,3.212158335E-3,-5.522961728E-4
1.629431290E-1,-5.613282556E-4,2.679527504E-3,5.129674682E-4
1.680318270E-1,1.569198794E-3,5.490005715E-4,1.045599231E-3
1.730955770E-1,5.039352691E-4,-1.048894715E-3,5.129674682E-4
1.781418790E-1,-2.869649325E-5,1.636878005E-5,1.045599231E-3
1.831895870E-1,1.036567031E-3,-5.162634188E-4,2.643494401E-3
1.882595350E-1,1.569198794E-3,2.146895742E-3,2.643494401E-3
1.933121390E-1,-2.869649325E-5,2.146895742E-3,5.129674682E-4
1.984420350E-1,-2.691855188E-3,1.636878005E-5,5.129674682E-4
2.034331290E-1,-1.626591780E-3,5.490005715E-4,-1.966441050E-5
2.084912020E-1,1.569198794E-3,1.636878005E-5,-1.084927935E-3
2.135325560E-1,1.569198794E-3,5.490005715E-4,-1.966441050E-5
2.185908370E-1,-5.613282556E-4,1.614264096E-3,4.241389688E-3
2.236379730E-1,2.634462435E-3,5.490005715E-4,1.045599231E-3
2.287498480E-1,3.167094197E-3,1.081632334E-3,2.110862639E-3
