"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.132069800E-2,-1.881463528E-1,1.252017543E-2,-2.336589061E-2
6.641647900E-2,-1.908095032E-1,-1.198088564E-2,-4.723777995E-3
7.150856200E-2,-2.019947618E-1,1.038964838E-2,-2.123536170E-2
7.653325000E-2,-2.094516158E-1,2.530333772E-2,-2.762694471E-2
8.157804100E-2,-2.041253000E-1,4.021703079E-2,-2.922483906E-2
8.663075000E-2,-1.950705647E-1,5.353282019E-2,-3.188800067E-2
9.170090600E-2,-1.774937212E-1,6.152229384E-2,-3.082273528E-2
9.675627100E-2,-1.583189666E-1,6.578334421E-2,-3.188800067E-2
1.018249160E-1,-1.370137036E-1,6.951177120E-2,-3.082273528E-2
1.068613750E-1,-1.151757985E-1,6.631597877E-2,-2.602904849E-2
1.119303850E-1,-9.227263182E-2,5.726124719E-2,-2.496378496E-2
1.169997080E-1,-7.469578832E-2,4.820650443E-2,-2.017010003E-2
1.220487710E-1,-5.285787582E-2,3.276018426E-2,-1.644167677E-2
1.271168960E-1,-3.261787072E-2,1.518333517E-2,-1.324588619E-2
1.321743430E-1,-1.291049272E-2,-4.524040967E-3,-6.321672350E-3
1.372313230E-1,5.198985338E-3,-2.316615172E-2,-1.527987421E-3
1.421917390E-1,2.384109795E-2,-3.807983920E-2,1.667803153E-3
1.472525210E-1,4.354847223E-2,-4.819984362E-2,2.733066678E-3
1.524071040E-1,5.952742323E-2,-5.139563605E-2,5.396225490E-3
1.574525210E-1,7.071268559E-2,-5.086300150E-2,8.059384301E-3
1.625056460E-1,8.349584788E-2,-4.447142407E-2,8.592016064E-3
1.675688750E-1,9.681164473E-2,-3.701457754E-2,1.018991135E-2
1.726076770E-1,1.058663875E-1,-2.742720582E-2,1.178780664E-2
1.776940830E-1,1.165190190E-1,-1.357878093E-2,1.232043747E-2
1.827195000E-1,1.271716505E-1,-2.393513918E-3,1.072254311E-2
1.878301770E-1,1.362264007E-1,6.661225110E-3,1.072254311E-2
1.928856460E-1,1.415527016E-1,1.411807165E-2,9.657279588E-3
1.979099680E-1,1.452811211E-1,1.358543709E-2,1.125517488E-2
2.029943430E-1,1.511400789E-1,1.252017543E-2,1.391833369E-2
