"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.334303500E-2,6.660469174E-1,6.862909794E-1,1.948807985E-1
7.838329500E-2,6.655142307E-1,6.591268182E-1,2.279039770E-1
8.344267000E-2,6.692426801E-1,6.996067762E-1,2.241755575E-1
8.850261800E-2,6.649816632E-1,7.406194806E-1,2.252408117E-1
9.356001400E-2,6.575248241E-1,7.741752863E-1,2.300345004E-1
9.861454500E-2,6.463395357E-1,8.109268546E-1,2.289692312E-1
1.036872020E-1,6.372847557E-1,8.487436771E-1,2.268387079E-1
1.087390770E-1,6.330237389E-1,8.625921607E-1,2.268387079E-1
1.137797020E-1,6.346216202E-1,8.444826603E-1,2.369587123E-1
1.188404310E-1,6.260995269E-1,8.071984053E-1,2.465460747E-1
1.239053790E-1,6.063921452E-1,7.693815827E-1,2.566660941E-1
1.289560040E-1,5.888152719E-1,7.773710489E-1,2.673186958E-1
1.340124100E-1,5.808258057E-1,7.938826084E-1,2.816997766E-1
1.389949100E-1,5.808258057E-1,7.976110578E-1,2.960808277E-1
1.440548060E-1,5.866847634E-1,7.901542187E-1,3.051355779E-1
1.491923580E-1,5.888152719E-1,7.800342441E-1,3.141903281E-1
1.542200660E-1,5.813584328E-1,7.795015574E-1,3.243103027E-1
1.593126700E-1,5.781626701E-1,7.810994983E-1,3.307018876E-1
1.643681910E-1,5.733689666E-1,7.672510743E-1,3.376260996E-1
1.694249100E-1,5.584552884E-1,7.400868535E-1,3.450829685E-1
1.744652750E-1,5.387479067E-1,7.102594376E-1,3.493440151E-1
1.795703270E-1,5.121163130E-1,6.772363186E-1,3.440176845E-1
1.845838680E-1,4.753646851E-1,6.463436484E-1,3.269734681E-1
1.896998060E-1,4.423414767E-1,6.159836054E-1,3.056682050E-1
1.947114200E-1,4.029267430E-1,5.818951726E-1,2.838303149E-1
1.997607430E-1,3.576530516E-1,5.494046211E-1,2.609271407E-1
2.048124100E-1,3.113140762E-1,5.280994177E-1,2.332302779E-1
2.099134520E-1,2.665730417E-1,5.163815022E-1,2.071313262E-1
2.149425140E-1,2.191688120E-1,5.115877986E-1,1.804997325E-1
2.200646500E-1,1.770909131E-1,5.243709683E-1,1.517376304E-1
2.250379310E-1,1.467308998E-1,5.541983247E-1,1.149860471E-1
2.301673580E-1,1.195666641E-1,5.920152068E-1,7.077760994E-2
2.351704310E-1,9.453297406E-2,6.245056987E-1,1.591653563E-2
2.402556910E-1,5.565086752E-2,6.399520636E-1,-4.586874694E-2
2.452761080E-1,7.897929754E-4,6.282341480E-1,-1.060561314E-1
2.503360040E-1,-6.898497045E-2,5.813626051E-1,-1.609172076E-1
2.553704310E-1,-1.584670991E-1,4.998699725E-1,-2.035277635E-1
2.604470970E-1,-2.633955777E-1,3.869519830E-1,-2.354856580E-1
2.655178270E-1,-3.885640204E-1,2.511308789E-1,-2.647804022E-1
2.706147020E-1,-5.329071879E-1,1.227666214E-1,-3.020646274E-1
2.756149620E-1,-6.831093431E-1,1.091395691E-2,-3.398814797E-1
2.807167850E-1,-8.349093795E-1,-9.241660684E-2,-3.824920356E-1
2.857694930E-1,-9.829809666E-1,-1.834966242E-1,-4.298962653E-1
2.908227750E-1,-1.103888392E0,-2.351619154E-1,-4.757025540E-1
2.958882950E-1,-1.174728513E0,-2.074650526E-1,-5.273678303E-1
3.009798060E-1,-1.197098970E0,-9.348186851E-2,-5.699783564E-1
3.059987120E-1,-1.208816886E0,5.299185961E-2,-6.067299843E-1
3.110601180E-1,-1.270069599E0,1.403434724E-1,-6.205784082E-1
3.161169930E-1,-1.403227568E0,1.318213642E-1,-6.003383994E-1
3.211717330E-1,-1.597638011E0,5.885080993E-2,-5.571952462E-1
3.262331910E-1,-1.812288642E0,-2.317447402E-2,-4.884857237E-1
3.312915250E-1,-2.007232189E0,-6.738290936E-2,-4.069930911E-1
3.363154830E-1,-2.163825989E0,-7.057870179E-2,-3.334898949E-1
3.414029310E-1,-2.290592194E0,-4.661027342E-2,-2.786288261E-1
3.464266290E-1,-2.391792297E0,4.522376694E-3,-2.429425120E-1
3.515052220E-1,-2.476480722E0,6.417713314E-2,-2.328224927E-1
3.565655350E-1,-2.544657469E0,1.355497837E-1,-2.306919694E-1
3.616170450E-1,-2.596855402E0,2.111835033E-1,-2.147130072E-1
3.666823060E-1,-2.644792557E0,2.868172228E-1,-1.827551126E-1
3.717819410E-1,-2.687935591E0,3.592551351E-1,-1.342856139E-1
3.768107950E-1,-2.723088980E0,4.338235557E-1,-7.729401439E-2
3.818880870E-1,-2.749720573E0,5.020004511E-1,-1.231294870E-2
3.869031390E-1,-2.764101744E0,5.094572306E-1,4.627654329E-2
3.919844930E-1,-2.764101744E0,4.338235557E-1,9.794183075E-2
3.970378790E-1,-2.750786066E0,3.288951218E-1,1.410849839E-1
