"Time (s)","Illuminance (lx)"
0.000000000E0,0.000000000E0
2.766310016E2,0.000000000E0
2.766863023E2,0.000000000E0
2.767416064E2,1.000000000E0
2.767969085E2,1.000000000E0
2.769075148E2,2.000000000E0
2.770181211E2,3.000000000E0
2.771840344E2,3.400000000E1
2.772393366E2,5.800000000E1
2.772946418E2,6.500000000E1
2.773499458E2,7.100000000E1
2.774052471E2,6.600000000E2
2.776368484E2,7.219000000E3
2.776973471E2,8.062000000E3
2.778632523E2,6.749000000E3
2.779185560E2,6.085000000E3
2.779738590E2,5.532000000E3
2.781950768E2,4.812000000E3
2.783609834E2,4.474000000E3
2.785268929E2,5.136000000E3
2.787481051E2,5.772000000E3
2.788587057E2,4.988000000E3
2.789140089E2,4.071000000E3
2.789693121E2,3.376000000E3
2.790246130E2,2.411000000E3
2.790799138E2,6.830000000E2
2.792458196E2,5.700000000E1
2.794169223E2,0.000000000E0
2.797539393E2,0.000000000E0
2.798092436E2,1.000000000E1
2.798645506E2,3.000000000E1
2.799751607E2,2.400000000E1
2.800304663E2,2.000000000E1
2.800857725E2,1.500000000E1
2.801410772E2,5.000000000E0
2.801963830E2,3.000000000E0
2.803069964E2,0.000000000E0
2.803623013E2,0.000000000E0
2.804176082E2,1.000000000E0
2.804729145E2,5.000000000E0
2.805282221E2,3.000000000E0
2.805835253E2,2.000000000E0
2.806388303E2,4.000000000E0
2.806941331E2,5.000000000E0
2.807494353E2,4.000000000E0
2.808047392E2,1.000000000E0
2.808600427E2,0.000000000E0
2.809153439E2,0.000000000E0
