"Time (s)","Illuminance (lx)"
0.000000000E0,0.000000000E0
1.488129245E2,0.000000000E0
1.488682178E2,0.000000000E0
1.489235143E2,1.000000000E0
1.491446881E2,6.000000000E0
1.491999825E2,1.000000000E1
1.492912038E2,1.300000000E1
1.493526549E2,1.600000000E1
1.499608718E2,1.900000000E1
1.502431172E2,1.900000000E1
1.505195884E2,2.000000000E1
1.514595693E2,2.100000000E1
1.515204564E2,1.300000000E1
1.516310454E2,3.000000000E0
1.516948020E2,1.000000000E0
1.518053862E2,0.000000000E0
1.524188139E2,0.000000000E0
1.526399835E2,0.000000000E0
2.638399308E2,0.000000000E0
2.638952252E2,5.000000000E0
2.640058137E2,5.000000000E0
2.640611053E2,3.000000000E0
2.641163991E2,3.000000000E0
2.642269901E2,3.000000000E0
2.643375849E2,2.000000000E0
2.645587677E2,1.000000000E0
2.646693633E2,6.000000000E0
2.647246617E2,9.000000000E0
2.647799593E2,1.200000000E1
2.654435138E2,1.600000000E1
2.657251923E2,1.600000000E1
2.660016811E2,1.700000000E1
2.671076293E2,2.100000000E1
2.671629248E2,1.700000000E1
2.672182223E2,1.500000000E1
2.672735183E2,1.100000000E1
2.673288156E2,8.000000000E0
2.674947090E2,8.000000000E0
2.675500041E2,1.100000000E1
2.676052995E2,1.400000000E1
2.679923766E2,0.000000000E0
2.680534180E2,0.000000000E0
2.681087141E2,1.000000000E0
2.681640087E2,1.000000000E0
2.682193046E2,0.000000000E0
2.682745995E2,0.000000000E0
2.684404920E2,0.000000000E0
2.687169799E2,0.000000000E0
2.714636583E2,0.000000000E0
