"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
-5.498253333E0,5.233459100E1,4.865306900E0,1.871726772E0,0.000000000E0,0.000000000E0,2.009600067E1,1.728140831E0
4.777585101E0,5.233397925E1,4.865118660E0,4.087555371E1,1.470000029E0,2.146000061E2,2.680000114E1,3.200000000E1
5.777583850E0,5.233401814E1,4.865083740E0,3.094742681E1,1.299999952E0,2.191000061E2,1.500800037E1,2.400000000E1
6.777584528E0,5.233402536E1,4.865074220E0,3.033775134E1,1.519999981E0,2.141000061E2,1.393600082E1,2.400000000E1
7.777584736E0,5.233400936E1,4.865069590E0,3.726826818E1,3.009999990E0,1.966000061E2,1.286400032E1,2.400000000E1
8.777584476E0,5.233398718E1,4.865076210E0,3.638780864E1,2.720000029E0,1.896999969E2,1.286400032E1,2.400000000E1
9.777584423E0,5.233396207E1,4.865085900E0,4.272023736E1,2.079999924E0,1.861999969E2,1.286400032E1,2.400000000E1
1.077758474E1,5.233395149E1,4.865087250E0,3.769971544E1,1.610000014E0,1.971999969E2,1.179199982E1,2.400000000E1
1.177758458E1,5.233394319E1,4.865073100E0,3.396538171E1,2.160000086E0,2.103000031E2,1.286400032E1,2.400000000E1
1.277758369E1,5.233393619E1,4.865058030E0,3.438497994E1,1.500000000E0,2.203000031E2,1.393600082E1,2.400000000E1
1.377758406E1,5.233391187E1,4.865057720E0,4.014855640E1,2.079999924E0,2.041000061E2,1.179199982E1,1.600000000E1
1.477758427E1,5.233388617E1,4.865050830E0,3.354994453E1,2.250000000E0,1.886999969E2,1.072000027E1,1.600000000E1
1.577758500E1,5.233385321E1,4.865045940E0,3.179959020E1,2.910000086E0,1.788999939E2,1.072000027E1,1.600000000E1
1.677758416E1,5.233381775E1,4.865041370E0,3.316751867E1,2.980000019E0,1.795000000E2,1.179199982E1,1.600000000E1
1.777758474E1,5.233378219E1,4.865036020E0,3.406327859E1,2.980000019E0,1.833000031E2,1.179199982E1,1.600000000E1
1.877758494E1,5.233375610E1,4.865024930E0,3.110168769E1,2.609999895E0,2.085000000E2,1.179199982E1,1.600000000E1
1.977758479E1,5.233373485E1,4.865015460E0,3.263412309E1,1.519999981E0,1.813000031E2,1.072000027E1,1.600000000E1
2.077758474E1,5.233371359E1,4.865000380E0,2.971306406E1,2.539999962E0,1.978000031E2,1.179199982E1,1.600000000E1
2.177758479E1,5.233368986E1,4.864979140E0,2.875568210E1,2.529999971E0,1.993999939E2,1.179199982E1,1.200000000E1
2.277758437E1,5.233367474E1,4.864950690E0,2.710464359E1,2.460000038E0,2.186000061E2,1.179199982E1,1.200000000E1
2.377758453E1,5.233366754E1,4.864903190E0,2.631908383E1,2.440000057E0,2.702000122E2,1.072000027E1,1.200000000E1
2.477758458E1,5.233366591E1,4.864845570E0,2.596541088E1,2.509999990E0,2.637000122E2,1.072000027E1,1.200000000E1
2.577758396E1,5.233366827E1,4.864784200E0,2.618888983E1,2.599999905E0,2.713999939E2,1.072000027E1,1.200000000E1
2.677758401E1,5.233367311E1,4.864722390E0,2.599995747E1,2.650000095E0,2.657000122E2,1.072000027E1,1.200000000E1
2.777758395E1,5.233367573E1,4.864669390E0,2.508141277E1,2.539999962E0,2.612999878E2,1.072000027E1,1.200000000E1
2.877758380E1,5.233367502E1,4.864622980E0,2.552163180E1,2.539999962E0,2.548000031E2,9.648000717E0,1.200000000E1
2.977758453E1,5.233367024E1,4.864577610E0,2.529662354E1,2.569999933E0,2.470000000E2,8.576000214E0,1.200000000E1
3.077758375E1,5.233366265E1,4.864534730E0,2.566804829E1,2.569999933E0,2.446000061E2,9.648000717E0,1.200000000E1
3.177758380E1,5.233364953E1,4.864493460E0,2.471579676E1,2.609999895E0,2.401000061E2,9.648000717E0,1.200000000E1
3.277758416E1,5.233364052E1,4.864448910E0,2.424346857E1,2.500000000E0,2.496999969E2,8.576000214E0,1.200000000E1
3.377758354E1,5.233363551E1,4.864402250E0,2.307583229E1,2.440000057E0,2.600000000E2,8.576000214E0,1.200000000E1
3.477758458E1,5.233363278E1,4.864358180E0,2.243078371E1,2.200000048E0,2.677999878E2,8.576000214E0,8.000000000E0
3.577758427E1,5.233363422E1,4.864314050E0,2.133243285E1,2.190000057E0,2.692999878E2,9.648000717E0,8.000000000E0
3.677758406E1,5.233363484E1,4.864270660E0,2.044929122E1,2.190000057E0,2.705000000E2,9.648000717E0,8.000000000E0
3.777758453E1,5.233363805E1,4.864226310E0,2.010277379E1,2.329999924E0,2.782000122E2,8.576000214E0,8.000000000E0
3.877758474E1,5.233364368E1,4.864181620E0,1.968161356E1,2.450000048E0,2.805000000E2,8.576000214E0,8.000000000E0
3.977758401E1,5.233365068E1,4.864133780E0,1.990699887E1,2.559999943E0,2.820000000E2,8.576000214E0,8.000000000E0
4.077758442E1,5.233366064E1,4.864083340E0,1.988855140E1,2.660000086E0,2.852999878E2,8.576000214E0,8.000000000E0
4.177758453E1,5.233367199E1,4.864030070E0,1.897697683E1,2.769999981E0,2.868999939E2,8.576000214E0,8.000000000E0
4.277758396E1,5.233368605E1,4.863975790E0,1.866196311E1,2.859999895E0,2.901000061E2,9.648000717E0,8.000000000E0
4.377758474E1,5.233370008E1,4.863919160E0,1.811428199E1,2.960000038E0,2.882000122E2,1.072000027E1,8.000000000E0
4.477758453E1,5.233371228E1,4.863862430E0,1.745557528E1,3.009999990E0,2.858999939E2,1.179199982E1,8.000000000E0
4.577758442E1,5.233372381E1,4.863799870E0,1.734184721E1,3.170000076E0,2.840000000E2,1.286400032E1,8.000000000E0
4.677758468E1,5.233373378E1,4.863739770E0,1.776003974E1,3.019999981E0,2.837999878E2,1.286400032E1,1.200000000E1
4.777758453E1,5.233373995E1,4.863681690E0,1.724622124E1,3.009999990E0,2.816000061E2,1.286400032E1,1.200000000E1
4.877758453E1,5.233374325E1,4.863618890E0,1.667941750E1,3.079999924E0,2.797000122E2,1.286400032E1,1.200000000E1
4.977758484E1,5.233374392E1,4.863554270E0,1.656628332E1,3.190000057E0,2.746000061E2,1.393600082E1,1.200000000E1
5.077758489E1,5.233374218E1,4.863487100E0,1.682655739E1,3.309999943E0,2.713999939E2,1.393600082E1,1.200000000E1
5.177758406E1,5.233374077E1,4.863418230E0,1.813016591E1,3.369999886E0,2.707999878E2,1.393600082E1,1.200000000E1
5.277758442E1,5.233373655E1,4.863347000E0,1.757372275E1,3.460000038E0,2.692000122E2,1.607999992E1,1.200000000E1
5.377758458E1,5.233373355E1,4.863274620E0,1.827997595E1,3.519999981E0,2.687999878E2,1.715200043E1,1.200000000E1
5.477758401E1,5.233373095E1,4.863204930E0,1.814309160E1,3.509999990E0,2.680000000E2,1.607999992E1,1.200000000E1
5.577758468E1,5.233372839E1,4.863132930E0,1.887913080E1,3.589999914E0,2.695000000E2,1.500800037E1,1.200000000E1
5.677758468E1,5.233372711E1,4.863057020E0,2.012206653E1,3.720000029E0,2.747000122E2,1.500800037E1,1.200000000E1
5.777758463E1,5.233372917E1,4.862983860E0,2.046046751E1,3.710000038E0,2.783999939E2,1.607999992E1,1.200000000E1
5.877758453E1,5.233373675E1,4.862914280E0,2.041331922E1,3.700000048E0,2.802000122E2,1.393600082E1,1.200000000E1
5.977758458E1,5.233374516E1,4.862852150E0,2.080257773E1,3.619999886E0,2.780000000E2,1.393600082E1,1.200000000E1
6.077758494E1,5.233375351E1,4.862795410E0,1.977582361E1,3.569999933E0,2.726000061E2,1.393600082E1,1.200000000E1
6.177758411E1,5.233376399E1,4.862739520E0,1.961577220E1,3.569999933E0,2.718999939E2,1.393600082E1,1.200000000E1
6.277758453E1,5.233377548E1,4.862686430E0,2.074216179E1,3.549999952E0,2.720000000E2,1.393600082E1,1.200000000E1
6.377758474E1,5.233378357E1,4.862639730E0,2.061366744E1,3.460000038E0,2.696000061E2,1.393600082E1,1.200000000E1
6.477758448E1,5.233378902E1,4.862592550E0,2.187603825E1,3.480000019E0,2.695000000E2,1.393600082E1,1.200000000E1
6.577758458E1,5.233379652E1,4.862544160E0,2.331297179E1,3.480000019E0,2.772999878E2,1.393600082E1,1.200000000E1
6.677758474E1,5.233380142E1,4.862496700E0,2.312862536E1,3.470000029E0,2.691000061E2,1.393600082E1,1.200000000E1
6.777758453E1,5.233380674E1,4.862446530E0,2.335571595E1,3.500000000E0,2.691000061E2,1.393600082E1,1.200000000E1
6.877758505E1,5.233380928E1,4.862393860E0,2.424350677E1,3.529999971E0,2.667999878E2,1.286400032E1,1.200000000E1
6.977758432E1,5.233380701E1,4.862339960E0,2.401288193E1,3.549999952E0,2.650000000E2,1.393600082E1,1.200000000E1
7.077758406E1,5.233380684E1,4.862281190E0,2.375473039E1,3.609999895E0,2.668999939E2,1.500800037E1,1.200000000E1
7.177758390E1,5.233381103E1,4.862217020E0,2.443084703E1,3.670000076E0,2.717999878E2,1.500800037E1,1.200000000E1
7.277758437E1,5.233381292E1,4.862153410E0,2.469393585E1,3.680000067E0,2.692000122E2,1.393600082E1,1.200000000E1
7.377758448E1,5.233381215E1,4.862093200E0,2.582189105E1,3.650000095E0,2.678999939E2,1.393600082E1,1.200000000E1
7.477758463E1,5.233381430E1,4.862031360E0,2.669496660E1,3.670000076E0,2.942000122E2,1.393600082E1,1.200000000E1
7.577758448E1,5.233382093E1,4.861990660E0,2.744415918E1,1.269999981E0,3.116000061E2,1.393600082E1,1.200000000E1
7.677758416E1,5.233382900E1,4.861971260E0,2.629090015E1,1.000000000E0,3.175000000E2,1.393600082E1,1.200000000E1
7.777758442E1,5.233383830E1,4.861934750E0,2.630120728E1,3.599999905E0,3.053999939E2,1.500800037E1,1.200000000E1
7.877758453E1,5.233384975E1,4.861889090E0,2.670842382E1,3.079999924E0,3.092999878E2,1.500800037E1,1.200000000E1
7.977758427E1,5.233385063E1,4.861859840E0,2.675845715E1,1.549999952E0,3.086000061E2,1.393600082E1,1.200000000E1
8.077758458E1,5.233383805E1,4.861839000E0,2.526300518E1,1.129999995E0,3.101000061E2,1.393600082E1,1.200000000E1
8.177758442E1,5.233381361E1,4.861817270E0,2.394679628E1,1.039999962E0,2.843999939E2,1.393600082E1,1.200000000E1
8.277758458E1,5.233377806E1,4.861800030E0,2.408192931E1,1.549999952E0,2.366000061E2,1.286400032E1,1.200000000E1
8.377758385E1,5.233372884E1,4.861788710E0,2.261316467E1,3.000000000E0,1.943999939E2,1.286400032E1,1.200000000E1
8.477758463E1,5.233367220E1,4.861793680E0,2.340001416E1,3.450000048E0,1.790000000E2,1.393600082E1,1.200000000E1
8.577758448E1,5.233361867E1,4.861813710E0,2.319157634E1,3.410000086E0,1.668000031E2,1.286400032E1,1.200000000E1
8.677758437E1,5.233356941E1,4.861839760E0,2.252959573E1,3.400000095E0,1.603999939E2,1.286400032E1,1.200000000E1
8.777758479E1,5.233352392E1,4.861866000E0,2.286823087E1,3.420000076E0,1.588999939E2,1.286400032E1,1.200000000E1
8.877758396E1,5.233347891E1,4.861890080E0,2.359852805E1,3.519999981E0,1.625000000E2,1.286400032E1,1.200000000E1
8.977758380E1,5.233343517E1,4.861911040E0,2.342983841E1,3.549999952E0,1.653999939E2,1.286400032E1,1.200000000E1
9.077758442E1,5.233339253E1,4.861924870E0,2.271713989E1,3.559999943E0,1.678999939E2,1.286400032E1,8.000000000E0
9.177758448E1,5.233335161E1,4.861929730E0,2.259873798E1,3.579999924E0,1.758999939E2,1.286400032E1,8.000000000E0
9.277758458E1,5.233331091E1,4.861927350E0,2.249614033E1,3.569999933E0,1.813000031E2,1.286400032E1,8.000000000E0
9.377758458E1,5.233327199E1,4.861923340E0,2.212547786E1,3.599999905E0,1.833000031E2,1.179199982E1,8.000000000E0
9.477758484E1,5.233323513E1,4.861926180E0,2.230664104E1,3.569999933E0,1.791999969E2,1.286400032E1,8.000000000E0
9.577758396E1,5.233320184E1,4.861932190E0,2.252565285E1,3.500000000E0,1.781999969E2,1.286400032E1,8.000000000E0
9.677758411E1,5.233316952E1,4.861931390E0,2.187131009E1,3.490000010E0,1.816000061E2,1.286400032E1,8.000000000E0
9.777758390E1,5.233313730E1,4.861928640E0,2.157518167E1,3.490000010E0,1.843000031E2,1.286400032E1,8.000000000E0
9.877758463E1,5.233310712E1,4.861927640E0,2.133331738E1,3.430000067E0,1.793999939E2,1.286400032E1,8.000000000E0
9.977758437E1,5.233307866E1,4.861927380E0,2.209029627E1,3.380000114E0,1.751999969E2,1.286400032E1,6.000000000E0
