"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.178827370E-1,5.232509140E1,4.868114200E0,6.599656626E-1,0.000000000E0,0.000000000E0,1.954599953E1,1.333333373E0
3.875720441E0,5.232490018E1,4.867527590E0,-2.508603741E1,0.000000000E0,0.000000000E0,2.036800003E1,2.400000000E1
4.875720650E0,5.232504044E1,4.867619160E0,-7.745089601E0,0.000000000E0,0.000000000E0,1.286400032E1,1.200000000E1
5.875720754E0,5.232510164E1,4.867692480E0,-4.079922615E0,0.000000000E0,0.000000000E0,9.648000717E0,1.200000000E1
6.875720337E0,5.232517357E1,4.867702370E0,3.581805326E0,0.000000000E0,0.000000000E0,7.504000187E0,8.000000000E0
7.875720546E0,5.232520257E1,4.867736400E0,3.253801573E0,0.000000000E0,0.000000000E0,6.432000160E0,6.000000000E0
8.875719713E0,5.232520016E1,4.867785410E0,2.460613244E0,0.000000000E0,0.000000000E0,6.432000160E0,8.000000000E0
9.875720754E0,5.232521540E1,4.867790000E0,2.169621680E0,0.000000000E0,0.000000000E0,6.432000160E0,8.000000000E0
1.087572054E1,5.232523385E1,4.867799600E0,3.784887490E0,0.000000000E0,0.000000000E0,6.432000160E0,8.000000000E0
1.187572023E1,5.232523562E1,4.867806120E0,3.470196433E0,0.000000000E0,0.000000000E0,7.504000187E0,8.000000000E0
1.287572065E1,5.232523900E1,4.867811260E0,4.090687519E0,0.000000000E0,0.000000000E0,7.504000187E0,8.000000000E0
1.387572055E1,5.232523880E1,4.867811780E0,4.146107456E0,0.000000000E0,0.000000000E0,7.504000187E0,8.000000000E0
1.487572091E1,5.232524075E1,4.867812110E0,4.501029822E0,0.000000000E0,0.000000000E0,7.504000187E0,8.000000000E0
1.587572081E1,5.232524361E1,4.867809340E0,5.188105020E0,0.000000000E0,0.000000000E0,7.504000187E0,8.000000000E0
1.687572018E1,5.232525070E1,4.867818920E0,6.366098975E0,0.000000000E0,0.000000000E0,7.504000187E0,8.000000000E0
1.787572065E1,5.232528275E1,4.867808060E0,5.333239927E0,2.720000029E0,3.210000000E2,7.504000187E0,8.000000000E0
1.887572070E1,5.232530880E1,4.867833950E0,6.396279629E0,2.019999981E0,3.493999939E2,7.504000187E0,8.000000000E0
1.987572018E1,5.232532147E1,4.867836410E0,4.864865753E0,1.899999976E0,2.921000061E2,7.504000187E0,8.000000000E0
2.087571961E1,5.232535904E1,4.867846550E0,4.198664634E0,1.909999967E0,9.800000191E0,7.504000187E0,8.000000000E0
2.187571956E1,5.232537168E1,4.867821050E0,4.418577542E0,1.389999986E0,3.596000061E2,7.504000187E0,8.000000000E0
2.287572034E1,5.232538677E1,4.867842940E0,5.277986260E0,1.340000033E0,3.309999847E1,7.504000187E0,8.000000000E0
2.387572018E1,5.232540110E1,4.867864600E0,6.339786355E0,1.169999957E0,4.690000153E1,7.504000187E0,8.000000000E0
2.487572070E1,5.232541433E1,4.867895400E0,8.363687285E0,1.490000010E0,4.209999847E1,7.504000187E0,8.000000000E0
2.587572091E1,5.232543182E1,4.867926560E0,9.333700370E0,1.700000048E0,4.340000153E1,6.432000160E0,6.000000000E0
2.687572101E1,5.232544754E1,4.867971150E0,1.286035925E1,1.740000010E0,5.409999847E1,6.432000160E0,6.000000000E0
