"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.547558800E-2,-1.908094025E1,4.574537277E1,-1.042899323E1
6.547558800E-2,-1.846817780E1,4.564436340E1,-7.936347961E0
7.547558800E-2,-1.800476456E1,4.475764465E1,-8.533622742E0
8.547558800E-2,-1.938793182E1,4.399495697E1,-8.868721008E0
9.547558800E-2,-1.769677162E1,4.490277481E1,-8.991935730E0
1.054755880E-1,-1.892827606E1,4.460549164E1,-7.935768127E0
1.154755880E-1,-1.969959831E1,4.491180420E1,-6.410858154E0
1.254755880E-1,-1.877131653E1,4.369789505E1,-9.623771667E0
1.354755880E-1,-1.846489143E1,4.386386871E1,-8.689476013E0
1.454755880E-1,-2.046401787E1,4.266583252E1,-7.951499939E0
1.554755880E-1,-2.123494720E1,4.455889130E1,-8.766426086E0
1.654755880E-1,-2.046663666E1,4.458214569E1,-7.973762512E0
1.754755880E-1,-1.877467728E1,4.403208923E1,-6.996719360E0
1.854755880E-1,-2.016094017E1,4.403424072E1,-5.483581543E0
1.954755880E-1,-2.016295433E1,4.550833130E1,-5.500701904E0
2.054755880E-1,-2.016041756E1,4.402729034E1,-5.947784424E0
2.154755880E-1,-2.077766800E1,4.491167450E1,-5.354324341E0
2.254755880E-1,-1.939170456E1,4.375572968E1,-5.151695251E0
2.354755880E-1,-2.016337585E1,4.406666565E1,-3.317314148E0
2.454755880E-1,-2.000935745E1,4.493492889E1,-4.561660767E0
2.554755880E-1,-2.231797791E1,4.419065857E1,-2.753288269E0
2.654755880E-1,-2.139493561E1,4.405957031E1,-2.574043274E0
2.754755880E-1,-2.062956429E1,4.585868835E1,-1.337730408E0
2.854755880E-1,-2.201251221E1,4.393525696E1,-4.212646484E-1
2.954755880E-1,-2.063159561E1,4.559629440E1,8.319549561E-1
3.054755880E-1,-2.047773170E1,4.545353699E1,9.922027588E-1
3.154755880E-1,-1.925011063E1,4.609196472E1,3.027290344E0
3.254755880E-1,-1.894425964E1,4.655507278E1,4.112876892E0
3.354755880E-1,-1.802281761E1,4.572168732E1,6.621681213E0
3.454755880E-1,-1.802281761E1,4.572168732E1,6.621681213E0
3.554755880E-1,-1.587331676E1,4.595505524E1,1.023202515E1
3.654755880E-1,-1.587331676E1,4.595505524E1,1.023202515E1
3.754755880E-1,-1.617648506E1,4.415367889E1,8.388175964E0
3.854755880E-1,-1.694951057E1,4.520629883E1,1.052346039E1
3.954755880E-1,-1.771820450E1,4.446453094E1,1.097721863E1
4.054755880E-1,-1.694997787E1,4.492306519E1,1.130055237E1
4.154755880E-1,-1.479780197E1,4.569974136E1,1.180937958E1
4.254755880E-1,-1.402723026E1,4.569288635E1,1.059051514E1
4.354755880E-1,-1.587552357E1,4.569498062E1,1.255644989E1
4.454755880E-1,-1.433716297E1,4.571832657E1,1.259444427E1
4.554755880E-1,-1.433716297E1,4.571832657E1,1.259444427E1
4.654755880E-1,-1.495086765E1,4.438462067E1,1.274938965E1
4.754755880E-1,-1.187604141E1,4.619327545E1,1.234063721E1
4.854755880E-1,-1.264621067E1,4.590531158E1,1.356292725E1
4.954755880E-1,-1.402918053E1,4.499521637E1,1.322953796E1
5.054755880E-1,-1.110484695E1,4.473085785E1,1.237675476E1
5.154755880E-1,-1.310684967E1,4.588672638E1,1.277786255E1
5.254755880E-1,-1.172096062E1,4.603430176E1,1.141774750E1
5.354755880E-1,-1.356786346E1,4.601786804E1,1.214582062E1
5.454755880E-1,-1.156783009E1,4.517765808E1,1.313388824E1
5.554755880E-1,-1.325596142E1,4.567676163E1,8.752708435E0
5.654755880E-1,-1.233231354E1,4.510344696E1,8.937088013E0
5.754755880E-1,-1.372059155E1,4.657968903E1,1.043310547E1
5.854755880E-1,-1.341312981E1,4.586352539E1,1.153240204E1
5.954755880E-1,-1.371562099E1,4.506622314E1,7.819763184E0
6.054755880E-1,-1.356657219E1,4.744795227E1,9.188766479E0
6.154755880E-1,-1.417940807E1,4.610266876E1,8.570045471E0
6.254755880E-1,-1.510373402E1,4.567190933E1,1.025444794E1
6.354755880E-1,-1.417905998E1,4.609803391E1,8.260574341E0
6.454755880E-1,-1.325500870E1,4.522990417E1,8.448379517E0
6.554755880E-1,-1.187032032E1,4.438035583E1,9.421249390E0
6.654755880E-1,-1.371529102E1,4.607492828E1,6.260444641E0
6.754755880E-1,-1.279377556E1,4.668783569E1,6.895324707E0
6.854755880E-1,-1.325427628E1,4.594378662E1,6.892486572E0
6.954755880E-1,-1.525431061E1,4.678399277E1,5.904418945E0
7.054755880E-1,-1.509810257E1,4.617584229E1,4.522468567E0
7.154755880E-1,-1.433024120E1,4.765234375E1,3.905418396E0
7.254755880E-1,-1.479009247E1,4.805745316E1,1.877342224E0
7.354755880E-1,-1.371386242E1,4.677954102E1,4.085617065E0
7.454755880E-1,-1.371146393E1,4.602396774E1,2.856307983E0
7.554755880E-1,-1.555725861E1,4.657168961E1,1.875465393E0
7.654755880E-1,-1.617239189E1,4.728318405E1,7.685852051E-1
7.754755880E-1,-1.601578140E1,4.638021469E1,-6.099548340E-1
7.854755880E-1,-1.493797684E1,4.594969940E1,-8.876800537E-1
7.954755880E-1,-1.493823338E1,4.638729095E1,-1.202285767E0
8.054755880E-1,-1.355321503E1,4.654644775E1,-1.788734436E0
8.154755880E-1,-1.447492218E1,4.694918823E1,-3.518737793E0
8.254755880E-1,-1.432305431E1,4.726718903E1,-2.125762939E0
8.354755880E-1,-1.478604603E1,4.684575272E1,-2.752227783E-1
8.454755880E-1,-1.447761345E1,4.741921234E1,-1.667068481E0
8.554755880E-1,-1.232926464E1,4.824684906E1,2.245895386E0
8.654755880E-1,-1.370916557E1,4.671700287E1,-9.217834473E-2
8.754755880E-1,-1.478355598E1,4.652313995E1,-2.128601074E0
8.854755880E-1,-1.447472954E1,4.593354034E1,-2.423614502E0
8.954755880E-1,-1.555087757E1,4.677617264E1,-4.162551880E0
9.054755880E-1,-1.585719395E1,4.602982330E1,-4.471061707E0
9.154755880E-1,-1.493461704E1,4.561550140E1,-3.514724731E0
9.254755880E-1,-1.509131908E1,4.608551025E1,-1.512123108E0
9.354755880E-1,-1.509467030E1,4.728794479E1,2.151489258E-2
9.454755880E-1,-1.401296616E1,4.550294876E1,-2.097618103E0
9.554755880E-1,-1.663059425E1,4.723217010E1,-2.182754517E0
9.654755880E-1,-1.508975315E1,4.606465912E1,-2.904731750E0
9.754755880E-1,-1.493710709E1,4.593811798E1,-1.661346436E0
9.854755880E-1,-1.585767937E1,4.675992203E1,-4.943817139E0
9.954755880E-1,-1.662374687E1,4.497007751E1,-5.561203003E0
1.005475588E0,-1.601133347E1,4.762351227E1,-6.195755005E0
1.015475588E0,-1.523921299E1,4.585932922E1,-6.620414734E0
1.025475588E0,-1.523724556E1,4.554366302E1,-8.009590149E0
1.035475588E0,-1.662301445E1,4.568395996E1,-7.117095947E0
1.045475588E0,-1.754614067E1,4.625032043E1,-7.765678406E0
1.055475588E0,-1.477899647E1,4.718606567E1,-7.088623047E0
1.065475588E0,-1.723946762E1,4.511046600E1,-5.423377991E0
1.075475588E0,-1.570063019E1,4.628528595E1,-7.255882263E0
1.085475588E0,-1.523825264E1,4.628070831E1,-8.018150330E0
1.095475588E0,-1.523569775E1,4.653614807E1,-1.065204620E1
1.105475588E0,-1.415839672E1,4.509925079E1,-9.215721130E0
1.115475588E0,-1.354045200E1,4.420560074E1,-1.042812347E1
1.125475588E0,-1.523362923E1,4.477187347E1,-1.032202911E1
1.135475588E0,-1.615762520E1,4.534981537E1,-1.019693756E1
1.145475588E0,-1.354232883E1,4.495422745E1,-9.663017273E0
1.155475588E0,-1.523442554E1,4.622974777E1,-1.142227936E1
1.165475588E0,-1.400444221E1,4.538945007E1,-9.679542542E0
1.175475588E0,-1.415517426E1,4.549051666E1,-1.262499237E1
1.185475588E0,-1.477275276E1,4.536619568E1,-1.047220612E1
1.195475588E0,-1.554024887E1,4.562154770E1,-1.235143280E1
1.205475588E0,-1.492274284E1,4.429957199E1,-1.263030243E1
1.215475588E0,-1.492274284E1,4.429957199E1,-1.263030243E1
1.225475588E0,-1.477395248E1,4.711889267E1,-1.157588959E1
1.235475588E0,-1.477395248E1,4.711889267E1,-1.157588959E1
1.245475588E0,-1.354199886E1,4.596292877E1,-1.122232819E1
1.255475588E0,-1.354199886E1,4.596292877E1,-1.122232819E1
1.265475588E0,-1.338678074E1,4.507849121E1,-1.136299896E1
1.275475588E0,-1.554106331E1,4.534294128E1,-1.126486969E1
1.285475588E0,-1.308234119E1,4.657346725E1,-1.028937531E1
1.295475588E0,-1.416053009E1,4.628546906E1,-8.765220642E0
1.305475588E0,-1.446444893E1,4.478354645E1,-1.030303192E1
1.315475588E0,-1.554784679E1,4.818309021E1,-8.666938782E0
1.325475588E0,-1.447055531E1,4.587795258E1,-6.137214661E0
1.335475588E0,-1.447055531E1,4.587795258E1,-6.137214661E0
1.345475588E0,-1.647284126E1,4.761650848E1,-6.207153320E0
1.355475588E0,-1.693378067E1,4.644412994E1,-5.276458740E0
1.365475588E0,-1.800965500E1,4.583583832E1,-5.450935364E0
1.375475588E0,-1.570715714E1,4.593802643E1,-9.066772461E-1
1.385475588E0,-1.970698547E1,4.544436646E1,-3.813934326E-1
1.395475588E0,-1.663463211E1,4.656229782E1,2.313079834E0
1.405475588E0,-1.755479431E1,4.520771027E1,1.377288818E0
1.415475588E0,-1.648002625E1,4.525184631E1,3.260681152E0
1.425475588E0,-1.725678825E1,4.678838730E1,8.176025391E0
