"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.516807700E-2,-4.292766953E1,-3.001535797E1,-5.425269318E1
6.516807700E-2,-4.216111755E1,-2.895561981E1,-5.316254425E1
7.516807700E-2,-4.246751785E1,-2.926667786E1,-5.394039154E1
8.516807700E-2,-4.185084915E1,-2.985391998E1,-5.438254547E1
9.516807700E-2,-4.215857315E1,-2.956841278E1,-5.470304108E1
1.051680770E-1,-4.215708160E1,-3.103555298E1,-5.422171783E1
1.151680770E-1,-4.308584595E1,-2.909154510E1,-5.148155975E1
1.251680770E-1,-4.292855835E1,-2.899045563E1,-5.472887421E1
1.351680770E-1,-4.231295776E1,-2.941870117E1,-5.439907074E1
1.451680770E-1,-4.169545364E1,-3.074067688E1,-5.467794037E1
1.551680770E-1,-4.154439163E1,-2.983303833E1,-5.329180145E1
1.651680770E-1,-4.139045334E1,-2.852950287E1,-5.500548553E1
1.751680770E-1,-4.246790314E1,-2.998519135E1,-5.269396210E1
1.851680770E-1,-4.185220337E1,-2.911224365E1,-5.408162689E1
1.951680770E-1,-4.231457901E1,-2.910766602E1,-5.331935883E1
2.051680770E-1,-4.400587845E1,-2.929002380E1,-5.397838593E1
2.151680770E-1,-4.292867661E1,-2.927831268E1,-5.426125336E1
2.251680770E-1,-4.246844482E1,-2.896492004E1,-5.347962189E1
2.351680770E-1,-4.308368683E1,-2.767304230E1,-5.521228790E1
2.451680770E-1,-4.323716736E1,-2.956159210E1,-5.318230438E1
2.551680770E-1,-4.231229782E1,-3.015111542E1,-5.408104706E1
2.651680770E-1,-4.184917450E1,-3.045514679E1,-5.514936066E1
2.751680770E-1,-4.385227966E1,-2.986342621E1,-5.303932953E1
2.851680770E-1,-4.262097931E1,-2.941873932E1,-5.409720612E1
2.951680770E-1,-4.092881012E1,-2.924796295E1,-5.421186066E1
3.051680770E-1,-4.215735626E1,-2.958462524E1,-5.578617096E1
3.151680770E-1,-4.185039139E1,-3.043893433E1,-5.406623077E1
3.251680770E-1,-4.231229782E1,-3.015111542E1,-5.408104706E1
3.351680770E-1,-3.985758591E1,-2.698574066E1,-5.188994598E1
3.451680770E-1,-4.231382751E1,-2.940711975E1,-5.362540436E1
3.551680770E-1,-4.231382751E1,-2.940711975E1,-5.362540436E1
3.651680770E-1,-4.154466629E1,-2.838211060E1,-5.485625458E1
3.751680770E-1,-4.154466629E1,-2.838211060E1,-5.485625458E1
3.851680770E-1,-4.231183243E1,-2.986787415E1,-5.485813141E1
3.951680770E-1,-4.292942810E1,-2.897887421E1,-5.395520782E1
4.051680770E-1,-4.215808868E1,-3.029850769E1,-5.423027802E1
4.151680770E-1,-4.246637344E1,-3.072918701E1,-5.314960480E1
4.251680770E-1,-4.231183243E1,-2.986787415E1,-5.485813141E1
4.351680770E-1,-4.185032654E1,-2.986087036E1,-5.484673309E1
4.451680770E-1,-4.338840485E1,-3.046691132E1,-5.441368866E1
4.551680770E-1,-4.262016678E1,-2.914012909E1,-5.518376923E1
4.651680770E-1,-4.169785309E1,-2.998509979E1,-5.344863129E1
4.751680770E-1,-4.185091400E1,-3.043198395E1,-5.360202789E1
4.851680770E-1,-4.154377747E1,-2.940702820E1,-5.438007355E1
4.951680770E-1,-4.246611023E1,-3.029854584E1,-5.392841339E1
5.051680770E-1,-4.262089920E1,-2.985401154E1,-5.362787628E1
5.151680770E-1,-4.077165985E1,-3.117121887E1,-5.480474091E1
5.251680770E-1,-4.262138367E1,-2.912391663E1,-5.410062408E1
5.351680770E-1,-4.354301453E1,-3.002469635E1,-5.426789093E1
5.451680770E-1,-4.154331207E1,-2.912378693E1,-5.515717316E1
5.551680770E-1,-4.246711731E1,-2.956150055E1,-5.393697357E1
5.651680770E-1,-4.215822601E1,-2.957304382E1,-5.501250458E1
5.751680770E-1,-4.108261871E1,-2.939539337E1,-5.405921173E1
5.851680770E-1,-4.292989349E1,-2.926210022E1,-5.317812347E1
5.951680770E-1,-4.246663284E1,-3.029159546E1,-5.346421051E1
6.051680770E-1,-4.308188248E1,-2.986796570E1,-5.410346222E1
6.151680770E-1,-4.262413025E1,-2.836370850E1,-5.256185150E1
6.251680770E-1,-4.185084915E1,-2.985391998E1,-5.438254547E1
6.351680770E-1,-4.246630096E1,-2.928289032E1,-5.502352142E1
6.451680770E-1,-4.215761948E1,-3.001526642E1,-5.500736237E1
6.551680770E-1,-4.138965607E1,-2.998738098E1,-5.390523529E1
6.651680770E-1,-4.293003082E1,-2.853663635E1,-5.396035004E1
6.751680770E-1,-4.323534393E1,-3.002002716E1,-5.426029205E1
6.851680770E-1,-4.308161545E1,-2.943732452E1,-5.488227081E1
6.951680770E-1,-4.077480698E1,-3.011618805E1,-5.326938629E1
7.051680770E-1,-4.339143372E1,-2.912400818E1,-5.334595490E1
7.151680770E-1,-4.323682022E1,-2.956622314E1,-5.349176788E1
7.251680770E-1,-4.323635101E1,-2.928298187E1,-5.426885223E1
7.351680770E-1,-4.077621841E1,-2.908432007E1,-5.328136444E1
7.451680770E-1,-4.292674637E1,-3.031713104E1,-5.471347809E1
7.551680770E-1,-4.154464722E1,-2.939544678E1,-5.360640717E1
7.651680770E-1,-4.169712067E1,-2.927121735E1,-5.500452423E1
7.751680770E-1,-4.231195068E1,-3.015574646E1,-5.439051056E1
7.851680770E-1,-4.185346603E1,-2.793760681E1,-5.440479279E1
7.951680770E-1,-4.292954636E1,-2.926673126E1,-5.348758698E1
8.051680770E-1,-4.292740631E1,-2.958471680E1,-5.503150177E1
8.151680770E-1,-4.169787216E1,-2.897177887E1,-5.469847870E1
8.251680770E-1,-4.338955688E1,-2.987263489E1,-5.411106110E1
8.351680770E-1,-4.092967987E1,-2.923638153E1,-5.343819427E1
8.451680770E-1,-4.215984344E1,-2.926200867E1,-5.393279266E1
8.551680770E-1,-4.154634857E1,-2.864913940E1,-5.299604034E1
8.651680770E-1,-4.216185760E1,-2.778791809E1,-5.394991302E1
8.751680770E-1,-4.231423187E1,-2.911229706E1,-5.362883759E1
8.851680770E-1,-4.138965607E1,-2.998738098E1,-5.390523529E1
8.951680770E-1,-4.308074570E1,-2.944890594E1,-5.565593719E1
9.051680770E-1,-4.169887924E1,-2.823473358E1,-5.470703888E1
9.151680770E-1,-4.185232162E1,-2.940011597E1,-5.361400604E1
9.251680770E-1,-4.307824707E1,-3.165309143E1,-5.516605377E1
9.351680770E-1,-4.246468353E1,-2.959392548E1,-5.610321808E1
9.451680770E-1,-4.323513412E1,-2.929919434E1,-5.535198212E1
9.551680770E-1,-4.308704758E1,-2.733885193E1,-5.258524323E1
