"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.057720200E-2,1.428808308E1,4.281227875E1,6.840011597E0
8.057720200E-2,1.428580284E1,4.385572052E1,7.601692200E0
9.057720200E-2,1.413151836E1,4.255681610E1,9.624832153E0
1.005772020E-1,1.398075867E1,4.280297852E1,6.522941589E0
1.105772020E-1,1.490392208E1,4.295976257E1,6.234565735E0
1.205772020E-1,1.413286400E1,4.369671631E1,6.980674744E0
1.305772020E-1,1.382720566E1,4.221795654E1,6.990196228E0
1.405772020E-1,1.552024364E1,4.237714386E1,6.101875305E0
1.505772020E-1,1.506061268E1,4.162151337E1,5.325370789E0
1.605772020E-1,1.428854942E1,4.309551239E1,6.062919617E0
1.705772020E-1,1.382668400E1,4.222490311E1,7.454391479E0
1.805772020E-1,1.551972294E1,4.238409424E1,6.566070557E0
1.905772020E-1,1.475268555E1,4.205444336E1,5.003166199E0
2.005772020E-1,1.490609074E1,4.249668503E1,4.847091675E0
2.105772020E-1,1.367510128E1,4.132421875E1,6.532463074E0
2.205772020E-1,1.552333927E1,4.161230469E1,4.253631592E0
2.305772020E-1,1.659711647E1,4.138015747E1,7.378318787E0
2.405772020E-1,1.536744404E1,4.149267578E1,6.263084412E0
2.505772020E-1,1.813437843E1,4.170758438E1,8.031822205E0
2.605772020E-1,1.552012539E1,4.208927917E1,6.569496155E0
2.705772020E-1,1.413637066E1,4.075548172E1,7.479110718E0
2.805772020E-1,1.613575554E1,4.151593018E1,7.055747986E0
2.905772020E-1,1.582652569E1,4.240034485E1,7.347335815E0
3.005772020E-1,1.428882408E1,4.164458466E1,7.627372742E0
3.105772020E-1,1.474866581E1,4.312104797E1,7.312179565E0
3.205772020E-1,1.505835247E1,4.165162659E1,7.336898804E0
3.305772020E-1,1.567022800E1,4.257553101E1,9.353363037E0
3.405772020E-1,1.413463116E1,4.077864456E1,9.026443481E0
3.505772020E-1,1.213397503E1,4.032459641E1,1.022004700E1
3.605772020E-1,1.566941357E1,4.229692841E1,1.043991852E1
3.705772020E-1,1.566941357E1,4.229692841E1,1.043991852E1
3.805772020E-1,1.536201572E1,4.084133148E1,1.199677277E1
3.905772020E-1,1.536201572E1,4.084133148E1,1.199677277E1
4.005772020E-1,1.336207294E1,3.936468506E1,1.382129669E1
4.105772020E-1,1.536060429E1,3.912337875E1,1.542144775E1
4.205772020E-1,1.428513432E1,3.822026825E1,1.525038910E1
4.305772020E-1,1.366751099E1,3.925437546E1,1.599687195E1
4.405772020E-1,1.397773647E1,3.676467133E1,1.680724335E1
4.505772020E-1,1.474415207E1,3.854988861E1,1.711516571E1
