"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.972412500E-2,8.199955940E0,2.923165512E1,-2.547814941E1
6.972412500E-2,7.741662025E0,2.874768066E1,-2.780540466E1
7.972412500E-2,8.818138123E0,2.891374969E1,-2.762579346E1
8.972412500E-2,9.896281242E0,2.761035538E1,-2.711959839E1
9.972412500E-2,9.896401405E0,2.789822769E1,-2.758721924E1
1.097241250E-1,1.143241787E1,2.838695908E1,-2.600701904E1
1.197241250E-1,1.143576908E1,2.718452835E1,-2.754066467E1
1.297241250E-1,1.174278164E1,2.792161179E1,-2.785108948E1
1.397241250E-1,1.205183697E1,2.703950882E1,-2.798794556E1
1.497241250E-1,1.159032822E1,2.703250504E1,-2.799934387E1
1.597241250E-1,1.220293522E1,2.867029190E1,-2.753878784E1
1.697241250E-1,1.143377209E1,2.764528275E1,-2.630793762E1
1.797241250E-1,1.174182987E1,2.836846542E1,-2.754675293E1
1.897241250E-1,1.158533859E1,2.955930328E1,-2.663586426E1
1.997241250E-1,1.158481693E1,2.956625366E1,-2.617164612E1
2.097241250E-1,1.173645592E1,3.017675781E1,-2.493682861E1
2.197241250E-1,9.270079613E0,3.179796219E1,-2.254072571E1
2.297241250E-1,8.036076546E0,3.370486450E1,-2.197444153E1
2.397241250E-1,7.572746277E0,3.415630341E1,-2.090783691E1
2.497241250E-1,7.571071625E0,3.475752258E1,-2.014102173E1
2.597241250E-1,7.414864540E0,3.536566925E1,-1.875907898E1
2.697241250E-1,6.029232025E0,3.478050232E1,-1.708435059E1
2.797241250E-1,7.411421776E0,3.613514328E1,-1.660136414E1
2.897241250E-1,6.638744354E0,3.718312836E1,-1.477554321E1
2.997241250E-1,6.483544350E0,3.705423737E1,-1.338504028E1
3.097241250E-1,7.096169472E0,3.767868805E1,-1.167462158E1
3.197241250E-1,6.016716957E0,3.856533051E1,-1.047363281E1
3.297241250E-1,5.554796219E0,3.798490143E1,-9.395050049E0
3.397241250E-1,5.088316917E0,3.949136734E1,-6.793098450E0
3.497241250E-1,5.088316917E0,3.949136734E1,-6.793098450E0
3.597241250E-1,4.777476788E0,3.880524445E1,-3.078536987E0
3.697241250E-1,4.777476788E0,3.880524445E1,-3.078536987E0
3.797241250E-1,4.158470631E0,4.072612000E1,-2.187591553E0
3.897241250E-1,3.849581003E0,4.073766708E1,-1.112052917E0
3.997241250E-1,2.771501541E0,3.986929321E1,1.037887573E0
4.097241250E-1,3.232194901E0,3.959769440E1,2.135833740E0
4.197241250E-1,3.090991378E-1,3.883250809E1,3.155342102E0
4.297241250E-1,3.090991378E-1,3.883250809E1,3.155342102E0
4.397241250E-1,3.073286772E0,3.980762482E1,6.462860107E0
4.497241250E-1,3.073286772E0,3.980762482E1,6.462860107E0
4.597241250E-1,1.536070585E0,3.832176971E1,7.215652466E0
4.697241250E-1,4.460576057E0,3.805509949E1,6.208129883E0
4.797241250E-1,1.229204178E0,3.772746277E1,7.214904785E0
4.897241250E-1,3.994801760E0,4.042053604E1,7.097740173E0
4.997241250E-1,3.070869923E0,3.882672119E1,9.878974915E0
5.097241250E-1,3.842210770E0,4.025689697E1,6.167251587E0
5.197241250E-1,3.533550024E0,3.997593689E1,7.400947571E0
5.297241250E-1,3.226006031E0,4.112738037E1,5.832321167E0
5.397241250E-1,5.076158524E0,3.864017487E1,5.288078308E0
5.497241250E-1,2.305653572E0,4.078844070E1,3.801406860E0
5.597241250E-1,3.075026274E0,3.978446198E1,4.915527344E0
5.697241250E-1,1.847175956E0,3.943854523E1,2.722290039E0
5.797241250E-1,3.540004253E0,3.887689972E1,2.925659180E0
5.897241250E-1,1.544389725E-1,4.043314362E1,1.894844055E0
5.997241250E-1,1.386766434E0,3.912745285E1,2.095375061E0
6.097241250E-1,4.002593040E0,3.959315491E1,1.071701050E0
6.197241250E-1,1.077949882E0,4.058529282E1,1.296989441E0
6.297241250E-1,4.461849213E0,4.049851227E1,2.001228333E0
6.397241250E-1,1.538212895E0,4.075360489E1,2.235076904E0
6.497241250E-1,3.844765425E0,4.051233673E1,3.533363342E0
6.597241250E-1,2.769954205E0,3.887680817E1,3.680328369E0
6.697241250E-1,3.227635622E0,3.893477249E1,7.095863342E0
6.797241250E-1,4.301128387E0,3.928530884E1,9.749504089E0
6.897241250E-1,2.766246319E0,3.921563721E1,6.616844177E0
6.997241250E-1,2.458977222E0,3.891615295E1,6.612670898E0
7.097241250E-1,1.532396078E-1,3.943602753E1,4.227828979E0
7.197241250E-1,1.072383404E0,4.065941620E1,6.248458862E0
7.297241250E-1,1.539720297E-1,4.014990997E1,2.671936035E0
7.397241250E-1,1.536876202E0,4.048194885E1,3.785835266E0
7.497241250E-1,-1.230982780E0,4.056880188E1,2.477874756E0
7.597241250E-1,4.637133479E-1,4.114011383E1,-4.271163940E-1
7.697241250E-1,-4.603375196E-1,4.200823975E1,-6.149139404E-1
7.797241250E-1,-7.639080286E-1,4.050168610E1,-2.462196350E0
7.897241250E-1,-7.627729177E-1,4.092075348E1,-4.014663696E0
7.997241250E-1,-1.375517130E0,4.000843048E1,-5.257453918E0
8.097241250E-1,-1.065235853E0,3.997835541E1,-7.570854187E0
8.197241250E-1,1.667894125E-1,4.026868439E1,-9.091217041E0
8.297241250E-1,3.246356249E-1,3.833617401E1,-1.030303955E1
8.397241250E-1,4.821155071E-1,3.742162323E1,-1.245523071E1
8.497241250E-1,7.911151052E-1,3.682970810E1,-1.290496826E1
8.597241250E-1,7.924517989E-1,3.710136414E1,-1.445573425E1
8.697241250E-1,4.846148491E-1,3.796725464E1,-1.540200806E1
8.797241250E-1,-7.428144217E-1,3.631317902E1,-1.634196472E1
8.897241250E-1,1.105360746E0,3.602320862E1,-1.784028625E1
8.997241250E-1,2.333604813E0,3.795589066E1,-1.798687744E1
9.097241250E-1,2.341533184E0,3.365322876E1,-1.979402161E1
9.197241250E-1,2.648665190E0,3.467818451E1,-2.057208252E1
9.297241250E-1,2.652025223E0,3.434398651E1,-2.319912720E1
9.397241250E-1,4.495155334E0,3.412119293E1,-2.021015930E1
9.497241250E-1,4.191182137E0,3.290945435E1,-2.206086731E1
9.597241250E-1,5.883004189E0,3.308486176E1,-2.186605835E1
9.697241250E-1,7.270512581E0,3.292140198E1,-2.430587769E1
9.797241250E-1,6.655946732E0,3.246752548E1,-2.447068787E1
9.897241250E-1,7.424779892E0,3.248383331E1,-2.414221191E1
9.997241250E-1,8.046825409E0,3.008829880E1,-2.719429016E1
1.009724125E0,8.816609383E0,2.965774536E1,-2.717016602E1
1.019724125E0,8.509230614E0,2.993862534E1,-2.780010986E1
1.029724125E0,8.048354149E0,2.934430313E1,-2.764993286E1
1.039724125E0,9.124337196E0,2.937222672E1,-2.684967041E1
1.049724125E0,1.235461044E1,3.000394058E1,-2.724092102E1
1.059724125E0,1.081958199E1,2.704167557E1,-2.662574768E1
1.069724125E0,1.128211689E1,2.804811859E1,-2.879260254E1
1.079724125E0,1.312928391E1,2.849519730E1,-3.029946899E1
1.089724125E0,1.081864834E1,2.922501755E1,-2.850822449E1
1.099724125E0,1.374365711E1,2.721491623E1,-2.779313660E1
1.109724125E0,1.358944702E1,2.736230469E1,-2.764390564E1
1.119724125E0,1.220333767E1,2.837546921E1,-2.753535461E1
1.129724125E0,1.281759357E1,2.955713654E1,-2.799806213E1
1.139724125E0,1.481412983E1,2.977658844E1,-2.516517639E1
1.149724125E0,1.250544453E1,3.120407867E1,-2.601295471E1
1.159724125E0,1.373601246E1,3.093488312E1,-2.551493835E1
1.169724125E0,1.096513367E1,3.048306274E1,-2.341192627E1
1.179724125E0,1.065322208E1,3.270574188E1,-2.236206055E1
1.189724125E0,9.571151733E0,3.550870514E1,-2.118333435E1
1.199724125E0,9.106602669E0,3.597635651E1,-1.903359985E1
1.209724125E0,8.951869965E0,3.613069153E1,-1.842018127E1
1.219724125E0,8.951869965E0,3.613069153E1,-1.842018127E1
1.229724125E0,9.715209961E0,3.766741562E1,-1.501416016E1
1.239724125E0,9.715209961E0,3.766741562E1,-1.501416016E1
1.249724125E0,8.788722992E0,3.856797791E1,-1.303570557E1
1.259724125E0,6.481785774E0,3.809072876E1,-1.308755493E1
1.269724125E0,7.709425926E0,3.771582031E1,-9.802627563E0
1.279724125E0,8.472828865E0,3.983059692E1,-7.177131653E0
1.289724125E0,8.007869720E0,3.972482681E1,-3.937423706E0
1.299724125E0,8.007869720E0,3.972482681E1,-3.937423706E0
1.309724125E0,8.926289558E0,4.110257721E1,-1.454299927E0
1.319724125E0,8.926289558E0,4.110257721E1,-1.454299927E0
1.329724125E0,7.694658279E0,3.964918518E1,1.162887573E0
1.339724125E0,7.694658279E0,3.964918518E1,1.162887573E0
1.349724125E0,7.230897903E0,4.054053497E1,2.069618225E0
1.359724125E0,6.611617088E0,4.116252518E1,4.832771301E0
1.369724125E0,7.227593422E0,4.058454132E1,5.009552002E0
1.379724125E0,7.382198334E0,3.927409363E1,5.957160950E0
1.389724125E0,7.682151794E0,4.155243683E1,1.011687469E1
1.399724125E0,7.687004089E0,3.975110245E1,7.971153259E0
1.409724125E0,8.300097466E0,4.065879059E1,8.904479980E0
1.419724125E0,8.456707001E0,3.975582886E1,7.525955200E0
1.429724125E0,8.300499916E0,4.036397552E1,8.907905579E0
1.439724125E0,8.146544456E0,4.007376862E1,9.371726990E0
1.449724125E0,6.608183861E0,4.005042267E1,9.333732605E0
1.459724125E0,8.298760414E0,4.038713837E1,1.045523834E1
1.469724125E0,6.457213402E0,3.957575226E1,7.323539734E0
1.479724125E0,8.763536453E0,3.962698364E1,8.463661194E0
1.489724125E0,9.072096825E0,4.135655212E1,5.510780334E0
1.499724125E0,8.152184486E0,3.869613266E1,5.983009338E0
1.509724125E0,7.997176170E0,4.030139923E1,5.031974792E0
1.519724125E0,5.693078041E0,3.949691010E1,2.817276001E0
1.529724125E0,6.306828499E0,3.967218399E1,4.068626404E0
1.539724125E0,8.306880951E0,4.056845856E1,2.869880676E0
1.549724125E0,9.076720238E0,3.984771729E1,3.206901550E0
1.559724125E0,7.691298485E0,3.998337936E1,3.789924622E0
1.569724125E0,7.538624763E0,4.025502014E1,2.390106201E0
1.579724125E0,6.459438324E0,4.157230759E1,2.812309265E0
1.589724125E0,6.459492683E0,4.128211975E1,3.125190735E0
1.599724125E0,7.537233353E0,4.027355194E1,3.627975464E0
1.609724125E0,7.537892342E0,3.954113770E1,3.945999146E0
1.619724125E0,6.455666542E0,4.133307648E1,6.529327393E0
1.629724125E0,8.305123329E0,3.885514069E1,6.604026794E0
1.639724125E0,8.767582893E0,3.841528320E1,6.311088562E0
1.649724125E0,5.841163635E0,4.145725250E1,5.584014893E0
1.659724125E0,5.690239906E0,3.982415009E1,4.980117798E0
1.669724125E0,4.304945946E0,4.111592484E1,4.002113342E0
1.679724125E0,6.305684090E0,4.113469315E1,3.277839661E0
1.689724125E0,6.307854652E0,4.067161560E1,1.890380859E0
1.699724125E0,5.997929573E0,4.156530380E1,2.800910950E0
1.709724125E0,5.538069725E0,4.110217285E1,1.866241455E0
1.719724125E0,4.159743309E0,4.041972351E1,-2.957832336E0
1.729724125E0,3.083238602E0,4.039874649E1,-3.293899536E0
1.739724125E0,4.315502167E0,4.126481628E1,-5.749504089E0
1.749724125E0,4.932091236E0,4.111284637E1,-6.660995483E0
1.759724125E0,5.090788841E0,4.018208694E1,-9.896331787E0
1.769724125E0,5.706920624E0,4.061512375E1,-1.112413025E1
1.779724125E0,5.247746468E0,3.927449036E1,-1.158432007E1
1.789724125E0,5.861790657E0,3.973531723E1,-1.095532227E1
1.799724125E0,4.789287567E0,3.966106796E1,-1.485025024E1
1.809724125E0,5.561232567E0,3.789920044E1,-1.512017822E1
1.819724125E0,6.023445129E0,3.876518250E1,-1.682112122E1
1.829724125E0,6.333159447E0,3.715066528E1,-1.663995361E1
1.839724125E0,5.567338943E0,3.680479431E1,-1.928599548E1
1.849724125E0,7.106184959E0,3.609804535E1,-1.877523804E1
1.859724125E0,8.183907509E0,3.610280609E1,-1.952230835E1
1.869724125E0,1.002945518E1,3.686091614E1,-1.994947815E1
1.879724125E0,1.002953720E1,3.642564392E1,-1.948014832E1
1.889724125E0,9.110586166E0,3.418659973E1,-2.040565491E1
1.899724125E0,1.249685669E1,3.348933411E1,-2.108717346E1
1.909724125E0,1.203853416E1,3.315045166E1,-2.357089233E1
1.919724125E0,1.173015690E1,3.228680420E1,-2.186613464E1
1.929724125E0,1.373124313E1,3.230094147E1,-2.289988708E1
1.939724125E0,1.234788132E1,3.255390549E1,-2.433010864E1
1.949724125E0,1.327361774E1,3.195279503E1,-2.600251770E1
1.959724125E0,1.465529346E1,3.143281174E1,-2.271208191E1
1.969724125E0,1.235364914E1,2.958255768E1,-2.584320068E1
1.979724125E0,1.604373741E1,2.908601761E1,-2.326942444E1
1.989724125E0,1.650407219E1,3.070061874E1,-2.420526123E1
1.999724125E0,1.696679878E1,3.069141006E1,-2.527699280E1
2.009724125E0,1.727816010E1,2.862076950E1,-2.601908875E1
2.019724125E0,1.727527618E1,3.010644150E1,-2.526254272E1
2.029724125E0,1.804606819E1,2.893884277E1,-2.522984314E1
2.039724125E0,1.866317940E1,2.877992630E1,-2.660554504E1
2.049724125E0,1.897085190E1,2.878459549E1,-2.659794617E1
2.059724125E0,1.743216133E1,2.775254440E1,-2.507661438E1
2.069724125E0,1.881236458E1,3.043618774E1,-2.445429993E1
2.079724125E0,1.881236458E1,3.043618774E1,-2.445429993E1
2.089724125E0,1.896360016E1,3.134150696E1,-2.322291565E1
2.099724125E0,1.896360016E1,3.134150696E1,-2.322291565E1
2.109724125E0,1.773495293E1,2.970364761E1,-2.307974243E1
2.119724125E0,1.711596680E1,3.061119080E1,-2.093894958E1
2.129724125E0,1.726767731E1,3.266799164E1,-2.157804871E1
2.139724125E0,1.603334618E1,3.356619263E1,-1.945245361E1
2.149724125E0,1.357138348E1,3.295773315E1,-1.826852417E1
2.159724125E0,1.525879192E1,3.536280441E1,-1.686152649E1
2.169724125E0,1.463721275E1,3.804157257E1,-1.458653259E1
2.179724125E0,1.463721275E1,3.804157257E1,-1.458653259E1
2.189724125E0,1.279172039E1,3.699327850E1,-1.384648132E1
2.199724125E0,1.232725430E1,3.702565002E1,-1.122741699E1
2.209724125E0,1.309361458E1,3.910105133E1,-1.123239136E1
2.219724125E0,1.278420353E1,3.911954498E1,-9.692657471E0
2.229724125E0,1.170281029E1,4.017675781E1,-6.946037292E0
2.239724125E0,1.416389370E1,3.992855835E1,-6.262886047E0
2.249724125E0,1.231664371E1,3.991675568E1,-5.225349426E0
2.259724125E0,1.231308270E1,4.039836121E1,-2.600021362E0
2.269724125E0,1.246353054E1,4.087998581E1,-1.256179810E-1
2.279724125E0,1.077298260E1,4.039817810E1,-1.090682983E0
2.289724125E0,1.092597580E1,4.026700592E1,-1.567687988E-1
2.299724125E0,1.046096230E1,4.045141602E1,2.770050049E0
2.309724125E0,1.046007347E1,4.147632980E1,2.293861389E0
2.319724125E0,1.076801968E1,4.003007126E1,3.865913391E0
2.329724125E0,9.075640678E0,3.913846588E1,5.072265625E0
2.339724125E0,1.076628017E1,4.005323410E1,5.413246155E0
2.349724125E0,9.842339516E0,4.034099579E1,5.851234436E0
2.359724125E0,1.045744610E1,3.977459717E1,6.801681519E0
2.369724125E0,1.214707851E1,4.142640686E1,7.134101868E0
2.379724125E0,1.091639042E1,4.140773010E1,7.103706360E0
2.389724125E0,1.245494366E1,4.041542816E1,8.236824036E0
2.399724125E0,1.045591736E1,4.051858902E1,7.257316589E0
2.409724125E0,1.214940357E1,3.922453690E1,7.778717041E0
2.419724125E0,1.076687527E1,3.874276733E1,6.511795044E0
2.429724125E0,1.092115116E1,3.917343140E1,5.582054138E0
2.439724125E0,1.091751671E1,4.095855713E1,6.644645691E0
2.449724125E0,1.092214966E1,4.031796265E1,3.247360229E0
2.459724125E0,1.046135521E1,3.928835678E1,3.866874695E0
2.469724125E0,9.230391502E0,4.072060776E1,2.272026062E0
2.479724125E0,1.077016258E1,3.971208954E1,2.322006226E0
2.489724125E0,8.001140594E0,3.952497864E1,2.410064697E0
2.499724125E0,1.046235371E1,4.043288422E1,1.532180786E0
2.509724125E0,9.845360756E0,4.087967300E1,2.440246582E0
2.519724125E0,1.092559147E1,3.954848862E1,1.089653015E0
2.529724125E0,1.092646122E1,3.953690720E1,3.159866333E-1
2.539724125E0,9.537954330E0,4.130564880E1,1.653846741E0
2.549724125E0,1.092348576E1,4.058961487E1,1.696601868E0
2.559724125E0,8.770787239E0,3.981988525E1,1.651969910E0
2.569724125E0,1.045947838E1,4.003698349E1,4.631980896E0
2.579724125E0,1.061355114E1,4.061505890E1,3.700538635E0
2.589724125E0,1.153516769E1,3.977935791E1,6.054611206E0
2.599724125E0,1.138327217E1,3.960645294E1,4.505187988E0
2.609724125E0,1.030365562E1,4.136364746E1,4.767509460E0
2.619724125E0,1.076801968E1,4.003007126E1,3.865913391E0
2.629724125E0,8.306478500E0,4.086327744E1,2.866462708E0
2.639724125E0,6.768712044E0,4.227927780E1,4.903488159E-1
2.649724125E0,8.154079437E0,4.243379974E1,-4.055709839E-1
2.659724125E0,7.541582108E0,4.021564484E1,-2.403564453E-1
2.669724125E0,8.464781761E0,4.109557343E1,-1.465698242E0
2.679724125E0,7.390483856E0,4.133467102E1,-4.126182556E0
2.689724125E0,6.624974251E0,4.026102448E1,-6.144729614E0
2.699724125E0,8.470558167E0,4.174228287E1,-7.508857727E0
2.709724125E0,9.242623329E0,4.026828384E1,-8.246414185E0
2.719724125E0,7.245263100E0,3.890198517E1,-8.899322510E0
2.729724125E0,7.092617035E0,3.902853012E1,-1.014270020E1
2.739724125E0,9.710980415E0,3.801319122E1,-1.161344910E1
2.749724125E0,8.942549706E0,4.045188141E1,-1.537516785E1
2.759724125E0,8.328780174E0,3.854012680E1,-1.443971252E1
2.769724125E0,8.025731087E0,3.702662277E1,-1.675119019E1
2.779724125E0,8.027470589E0,3.700345993E1,-1.829852295E1
2.789724125E0,1.079715252E1,3.645816040E1,-1.806854248E1
2.799724125E0,1.079668522E1,3.617492294E1,-1.729144287E1
