,,Time (s),Illuminance (lx)
_bike,0,1.622886550275e+18,0.0
_dance,0,1.6228842734500001e+18,0.0
_dance,1,1.622884380300948e+18,0.0
_dance,2,1.6228843804668726e+18,4.0
_dance,3,1.6228843808540278e+18,2.0
_dance,4,1.6228843809093379e+18,2.0
_dance,5,1.6228843809646472e+18,3.0
_dance,6,1.6228843810199537e+18,4.0
_dance,7,1.6228843811858767e+18,5.0
_dance,8,1.622884381241184e+18,6.0
_dance,9,1.6228843812964905e+18,15.0
_dance,10,1.6228843813517962e+18,22.0
_dance,11,1.6228843814071014e+18,29.0
_dance,12,1.6228843814960794e+18,36.0
_dance,13,1.622884381993831e+18,43.0
_dance,14,1.62288438205433e+18,40.0
_dance,15,1.6228843821096323e+18,36.0
_dance,16,1.622884382220235e+18,33.0
_dance,17,1.6228843823308357e+18,40.0
_dance,18,1.622884382552035e+18,37.0
_dance,19,1.6228843826125286e+18,32.0
_dance,20,1.6228843835526405e+18,34.0
_dance,21,1.6228843840555553e+18,32.0
_dance,22,1.6228843850509993e+18,27.0
_dance,23,1.6228843851063048e+18,16.0
_dance,24,1.6228843851616087e+18,1.0
_dance,25,1.6228843852169144e+18,0.0
_dance,26,1.6228843852722176e+18,0.0
_dance,27,1.6228843858805924e+18,0.0
_dance,28,1.622884385991207e+18,0.0
_dance,29,1.6228845320541978e+18,0.0
_dance,30,1.6228845327731438e+18,0.0
_dance,31,1.6228845329390554e+18,0.0
_dance,32,1.622884532994357e+18,8.0
_dance,33,1.6228845330496566e+18,18.0
_dance,34,1.6228845331049577e+18,28.0
_dance,35,1.6228845331602598e+18,33.0
_dance,36,1.6228845336579773e+18,30.0
_dance,37,1.6228845338238715e+18,27.0
_dance,38,1.6228845339344673e+18,25.0
_dance,39,1.622884534542792e+18,28.0
_dance,40,1.6228845345980943e+18,36.0
_dance,41,1.6228845348193098e+18,33.0
_dance,42,1.622884535317026e+18,31.0
_dance,43,1.622884535980656e+18,28.0
_dance,44,1.6228845360359555e+18,25.0
_dance,45,1.6228845360912556e+18,21.0
_dance,46,1.6228845361465562e+18,16.0
_dance,47,1.622884536201859e+18,2.0
_dance,48,1.6228845362571645e+18,0.0
_desk,0,1.622882186791e+18,27.0
_run,0,1.622884903222e+18,0.0
_run,1,1.6228851798530017e+18,0.0
_run,2,1.6228851799083023e+18,0.0
_run,3,1.6228851799636065e+18,1.0
_run,4,1.6228851800189087e+18,1.0
_run,5,1.622885180129515e+18,2.0
_run,6,1.622885180240121e+18,3.0
_run,7,1.6228851804060344e+18,34.0
_run,8,1.6228851804613366e+18,58.0
_run,9,1.6228851805166418e+18,65.0
_run,10,1.622885180571946e+18,71.0
_run,11,1.6228851806272474e+18,660.0
_run,12,1.6228851808588485e+18,7219.0
_run,13,1.6228851809193472e+18,8062.0
_run,14,1.6228851810852526e+18,6749.0
_run,15,1.622885181140556e+18,6085.0
_run,16,1.6228851811958592e+18,5532.0
_run,17,1.6228851814170767e+18,4812.0
_run,18,1.6228851815829834e+18,4474.0
_run,19,1.622885181748893e+18,5136.0
_run,20,1.622885181970105e+18,5772.0
_run,21,1.6228851820807058e+18,4988.0
_run,22,1.622885182136009e+18,4071.0
_run,23,1.6228851821913124e+18,3376.0
_run,24,1.622885182246613e+18,2411.0
_run,25,1.6228851823019139e+18,683.0
_run,26,1.6228851824678198e+18,57.0
_run,27,1.6228851826389225e+18,0.0
_run,28,1.6228851829759396e+18,0.0
_run,29,1.6228851830312438e+18,10.0
_run,30,1.6228851830865508e+18,30.0
_run,31,1.6228851831971607e+18,24.0
_run,32,1.6228851832524664e+18,20.0
_run,33,1.6228851833077727e+18,15.0
_run,34,1.6228851833630774e+18,5.0
_run,35,1.622885183418383e+18,3.0
_run,36,1.6228851835289964e+18,0.0
_run,37,1.6228851835843016e+18,0.0
_run,38,1.6228851836396083e+18,1.0
_run,39,1.6228851836949146e+18,5.0
_run,40,1.622885183750222e+18,3.0
_run,41,1.6228851838055252e+18,2.0
_run,42,1.6228851838608302e+18,4.0
_run,43,1.622885183916133e+18,5.0
_run,44,1.6228851839714353e+18,4.0
