,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),lux_Illuminance (lx),loc_Latitude (°),loc_Longitude (°),loc_Velocity (m/s),mag_Magnetic field x (µT),mag_Magnetic field y (µT),mag_Magnetic field z (µT),labelbike,labeldance,labeldesk,labelrun,labelsit,labelwalki,labelwalko
2021-06-05 08:36:26.816535552,0.036546856466040396,-0.4139879701191919,9.933075933747476,0.0009250860244418607,0.0010196983016546512,0.0008597974043162791,,52.3343139,4.866964,0.0,-42.48055482913044,-29.51052790086957,-53.94461756217391,0,0,1,0,0,0,0
2021-06-05 08:36:27.066535552,0.038458404516919203,-0.41060042261111107,9.926204103444444,0.0011778775605969388,0.000994671944505102,0.0007955883367857144,,,,,-42.0421383668,-29.635504456800003,-54.17934845039999,0,0,1,0,0,0,0
2021-06-05 08:36:27.316535552,0.040394140614818184,-0.4130926914919191,9.926905853565655,0.0011111355269750002,0.000943147996434,0.000502314765452,,,,,-42.35617355320001,-29.55641998280001,-54.1014089964,0,0,1,0,0,0,0
2021-06-05 08:36:27.566535552,0.037950274920636365,-0.4123183928383838,9.926228186111112,0.0011017872804061225,0.0009403217337622449,0.0006325378044734694,,,,,-42.4427981556,-29.204039612000003,-54.113832702399996,0,0,1,0,0,0,0
2021-06-05 08:36:27.816535552,0.03497407051048485,-0.409511572179798,9.931890285464648,0.0012430977812510203,0.0012338127114040816,0.0007955883249979591,,,,,-42.51580001840001,-29.500013122400002,-54.508420714799996,0,0,1,0,0,0,0
2021-06-05 08:36:28.066535552,0.03899073480395959,-0.4121732130808082,9.923155293353537,0.0010259144566610002,0.001209463914273,0.0006514516728240001,,,,,-42.3992295832,-29.435753479200002,-54.2710226436,0,0,1,0,0,0,0
2021-06-05 08:36:28.316535552,0.03555479374816162,-0.41708515208585856,9.930559437686869,0.0011452674599163265,0.0009511917287734695,0.000599927675232653,,,,,-42.534779662400005,-29.539680786399998,-53.988425598400006,0,0,1,0,0,0,0
2021-06-05 08:36:28.566535552,0.03402496418136735,-0.41321194536938777,9.92797439927551,0.001601156755256,0.0008046637021480001,0.0006940622162300001,,,,,-42.264772796799996,-29.3404019156,-53.550673522,0,0,1,0,0,0,0
2021-06-05 08:36:28.816535552,0.03654685887428283,-0.4129233134525252,9.923881087606063,0.0018518198000500002,0.0011033723314887757,0.0006325377949285714,,,,,-42.714039916400004,-29.2595153808,-53.612312317199994,0,0,1,0,0,0,0
2021-06-05 08:36:29.066535552,0.0382406344320505,-0.41253616202121207,9.933971202787879,0.0013667987752290001,0.001039021693303,0.0006940621952940001,,,,,-42.45427368240001,-29.672632445599998,-54.282030335200005,0,0,1,0,0,0,0
2021-06-05 08:36:29.316535552,0.03557899022363637,-0.41193124561818184,9.923953817323232,0.0012974479325163265,0.0009294517346806122,0.0005564475432163266,,,,,-42.5222228996,-29.6875509628,-54.0297335812,0,0,1,0,0,0,0
2021-06-05 08:36:29.566535552,0.0399102092991717,-0.4142783290242423,9.923373000676769,0.0014822385533663264,0.0007120510753469389,0.0008390684783326532,,,,,-42.559680479600004,-29.5651809692,-53.697792663200005,0,0,1,0,0,0,0
2021-06-05 08:36:29.816535552,0.03577256563909091,-0.4157785288636363,9.918872419020202,0.0012070092581010002,0.001156200699044,0.0010775570570780001,,,,,-42.7014135748,-29.333047791200002,-53.80924408,0,0,1,0,0,0,0
