"Time (s)","Illuminance (lx)"
0.000000000E0,2.286000061E2
4.435354400E-2,1.951999969E2
2.443108880E-1,1.850000000E2
4.443095340E-1,1.661999969E2
6.443292220E-1,1.886999969E2
8.443368260E-1,2.216999969E2
1.044330315E0,2.403999939E2
1.244309378E0,2.651000061E2
1.444330992E0,2.718999939E2
1.644336201E0,2.523000031E2
1.844330472E0,2.271999969E2
2.044317190E0,2.253000031E2
2.244311669E0,2.303999939E2
2.444329534E0,2.356000061E2
2.644334169E0,2.346999969E2
2.844313128E0,2.320000000E2
3.044329274E0,2.341999969E2
3.244310211E0,2.390000000E2
3.444333701E0,2.416000061E2
3.644310003E0,2.436000061E2
3.844330263E0,2.465000000E2
4.044334794E0,2.413999939E2
4.244329742E0,2.380000000E2
4.444315367E0,2.551999969E2
4.644329430E0,2.875000000E2
4.844328961E0,2.913999939E2
5.044332867E0,1.966999969E2
5.244309742E0,1.125999985E2
5.444330315E0,1.668999939E2
5.644334274E0,2.306999969E2
5.844333076E0,2.193999939E2
6.044310836E0,1.993999939E2
6.244330419E0,1.971999969E2
6.444330263E0,2.125000000E2
6.644334222E0,2.130000000E2
6.844310367E0,2.061000061E2
7.044330524E0,1.986000061E2
7.244329742E0,1.965000000E2
7.444335472E0,1.940000000E2
7.644310576E0,1.915000000E2
7.844329482E0,1.861999969E2
8.044332347E0,1.893000031E2
8.244330524E0,1.878000031E2
8.444309586E0,1.918999939E2
8.644330263E0,1.971999969E2
8.844331097E0,1.976999969E2
9.044333440E0,2.028999939E2
9.244309951E0,2.073000031E2
9.444332399E0,2.093000031E2
9.644332919E0,2.138999939E2
9.844333388E0,2.136999969E2
1.004430906E1,2.133999939E2
1.024433032E1,2.131999969E2
1.044433365E1,2.155000000E2
1.064433526E1,2.186999969E2
1.084430865E1,2.225000000E2
1.104433052E1,1.973000031E2
1.124432927E1,1.286000061E2
1.144433104E1,1.241999969E2
1.164431130E1,1.516000061E2
1.184433151E1,1.608999939E2
1.204433167E1,1.363000031E2
1.224433104E1,8.859999847E1
1.244430375E1,6.459999847E1
1.264433032E1,5.750000000E1
1.284433339E1,7.100000000E1
1.304433375E1,1.245999985E2
1.324431047E1,2.320000000E2
1.344432969E1,2.318999939E2
1.364433026E1,2.178000031E2
1.384433266E1,2.121999969E2
1.404430948E1,2.133999939E2
1.424432896E1,2.291000061E2
1.444433110E1,2.488000031E2
1.464433370E1,2.641000061E2
1.484431948E1,2.687999878E2
1.504432948E1,2.720000000E2
1.524432948E1,2.735000000E2
1.544433214E1,2.775000000E2
1.564431740E1,2.777999878E2
1.584433104E1,2.760000000E2
1.604433469E1,2.602000122E2
1.624432953E1,2.368000031E2
1.644430907E1,2.200000000E2
1.664433136E1,2.131000061E2
1.684432875E1,1.903999939E2
1.704433308E1,1.758999939E2
1.724432120E1,1.773000031E2
1.744433000E1,1.830000000E2
1.764433287E1,1.843000031E2
1.784433344E1,1.838999939E2
1.804432047E1,1.801000061E2
1.824433058E1,1.808000031E2
1.844433209E1,1.808999939E2
1.864433318E1,1.803000031E2
1.884430964E1,1.798999939E2
1.904433256E1,1.813999939E2
1.924433078E1,1.823999939E2
1.944433443E1,1.833999939E2
1.964431860E1,1.838000031E2
1.984432875E1,1.836000061E2
2.004433401E1,1.841999969E2
2.024432974E1,1.841999969E2
2.044430979E1,1.848999939E2
2.064433026E1,1.858999939E2
2.084433683E1,1.883000031E2
2.104433240E1,1.885000000E2
2.114433318E1,1.886000061E2
2.134433370E1,1.883000031E2
2.154431318E1,1.883000031E2
2.174430974E1,1.878000031E2
2.194433188E1,1.806999969E2
2.214433453E1,1.818000031E2
2.234432104E1,1.871000061E2
2.254431906E1,1.953000031E2
2.274432985E1,1.901000061E2
2.294433500E1,1.863000031E2
2.314432282E1,1.878999939E2
2.334431693E1,1.873999939E2
2.354433172E1,1.891999969E2
2.374433000E1,1.911999969E2
2.394432969E1,1.926999969E2
2.414431016E1,1.886000061E2
2.434433261E1,1.981999969E2
2.454433235E1,2.053000031E2
2.474434177E1,2.076000061E2
