Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
1.6226220353025457e+18,28.7067228,115.9058547,24.4380573,0.0,0.0,42.5,5.456315517
1.6226220395748178e+18,28.7067204,115.9058616,52.3024097,0.4399999976,110.4000015,22.20373535,41.23510361
1.6226220399565862e+18,28.70672904,115.9058283,35.880049,0.1899999976,242.5,8.179191589,9.166032791
1.6226220409576223e+18,28.70679966,115.9058064,59.61016959,0.0,0.0,10.71863747,13.31023216
1.6226220419583644e+18,28.70679854,115.9058095,61.30424895,0.0,0.0,9.830276489,11.59781647
1.622622042957318e+18,28.70678707,115.9058252,65.00509722,0.0,0.0,8.343667984,9.174780846
1.62262204395928e+18,28.70676163,115.9058471,70.2365278,0.0,0.0,7.75633049,7.916380405
1.6226220449571016e+18,28.70676532,115.9058435,70.15940065,0.0,0.0,7.960260868,7.52660656
1.622622045958731e+18,28.70675611,115.905861,71.42513027,0.0,0.0,9.258153915,7.970524311
1.622622046956224e+18,28.70675785,115.905861,71.64028402,0.0,0.0,8.115491867,7.460059643
1.622622047961571e+18,28.70674937,115.9058654,72.54063768,0.0,0.0,7.706256866,7.231703281
1.6226220489619973e+18,28.70673995,115.905876,74.0171419,0.0,0.0,7.221952915,6.700885773
1.6226220499619005e+18,28.70673423,115.9058849,75.15363489,0.0,0.0,6.860067844,6.394386768
1.622622050956418e+18,28.70673295,115.9058878,75.37536307,0.0,0.0,6.622014523,6.082772255
1.6226220519639862e+18,28.70672721,115.9058957,75.94929793,0.0,0.0,6.273652077,5.741497993
1.6226220529592125e+18,28.70672579,115.9058943,75.93947172,0.0,0.0,6.09960413,5.691413403
1.6226220539645105e+18,28.70672517,115.9058961,76.01948146,0.0,0.0,6.062363625,5.81992054
1.622622054962065e+18,28.70672445,115.9058961,76.61445017,0.0,0.0,6.046207905,5.923650742
1.6226220559622413e+18,28.70672497,115.9058929,76.69240325,0.0,0.0,5.72418499,5.630027294
1.6226220569617777e+18,28.70672713,115.9058951,76.91743921,0.0,0.0,5.537275314,5.479147911
1.6226220579612746e+18,28.70673037,115.9058957,77.31435803,0.0,0.0,5.240841389,5.131556988
1.622622058957141e+18,28.70673129,115.9058927,77.36679877,0.0,0.0,5.325497627,5.314102173
1.6226220599630141e+18,28.7067315,115.905891,77.25852835,0.0,0.0,5.243835449,5.204291821
1.6226220609586657e+18,28.70673264,115.9058935,77.47159743,0.0,0.0,5.283854008,5.203426361
1.622622061961615e+18,28.70673472,115.9058941,77.6432934,0.0,0.0,5.249656677,5.018362522
1.6226220629573263e+18,28.7067342,115.9058976,77.7605298,0.0,0.0,5.08573246,4.791106701
1.622622063960943e+18,28.70673327,115.9058961,78.16525589,0.0,0.0,5.042580128,4.739758015
1.6226220649592463e+18,28.7067339,115.9059,78.28798753,0.0,0.0,5.066378593,4.807435036
1.6226220659607204e+18,28.70673139,115.9058993,78.42024593,0.0,0.0,5.124055862,4.904844284
1.6226220669579812e+18,28.70672999,115.9058983,78.38630959,0.0,0.0,5.0578475,4.843458652
1.6226220679607726e+18,28.70672796,115.9059008,78.17206296,0.0,0.0,5.030050755,4.825798035
1.622622068961023e+18,28.70672972,115.9059042,78.0976556,0.0,0.0,5.064725876,4.929327488
1.6226220699601928e+18,28.7067303,115.9059048,78.32586596,0.0,0.0,5.183227539,5.108407497
1.6226220709625948e+18,28.706732,115.9059023,78.55195247,0.0,0.0,5.226068974,5.176521301
1.6226220719594557e+18,28.70673425,115.9059029,78.70509401,0.0,0.0,5.319618225,5.319752216
1.622622072965128e+18,28.70673475,115.9059013,78.65065679,0.0,0.0,5.298590183,5.310094833
