"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.437854900E-2,-9.520883560E-1,-4.913577735E-1,-9.577342868E-1
5.944381000E-2,-1.021863103E0,-5.334357023E-1,-9.710500836E-1
6.449766400E-2,-1.325463176E0,-8.604715466E-1,-8.075321317E-1
6.954433100E-2,-1.714817047E0,-1.315871716E0,-6.237742305E-1
7.459438300E-2,-2.078072309E0,-1.691909671E0,-4.629194140E-1
7.969771600E-2,-2.430141926E0,-1.846372962E0,-3.105867505E-1
8.473568500E-2,-2.730013371E0,-1.737716079E0,-1.651782691E-1
8.980714300E-2,-2.932413578E0,-1.477259040E0,-4.427085444E-2
9.482407000E-2,-3.018167257E0,-1.231715798E0,3.242811933E-2
9.988453900E-2,-3.014438629E0,-1.124656916E0,7.290814072E-2
1.049424040E-1,-3.022428274E0,-1.218400002E0,1.187144667E-1
1.100266740E-1,-3.175293684E0,-1.505488515E0,2.151208073E-1
1.150573510E-1,-3.474632502E0,-1.865015030E0,3.738450706E-1
1.201258930E-1,-3.831495762E0,-2.123874187E0,5.767777562E-1
1.251543310E-1,-4.153205395E0,-2.151571035E0,7.839714885E-1
1.302388100E-1,-4.436032772E0,-1.996042371E0,9.325757623E-1
1.353104240E-1,-4.737502575E0,-1.876200318E0,9.890347719E-1
1.403823510E-1,-5.126323223E0,-1.990183473E0,9.789147377E-1
1.454269350E-1,-5.654161930E0,-2.359829903E0,9.528158307E-1
1.504754240E-1,-6.211827278E0,-2.859971046E0,9.453589320E-1
1.555643830E-1,-6.590528488E0,-3.352655411E0,9.794474244E-1
1.606041220E-1,-6.743926525E0,-3.728693485E0,1.055081248E0
1.656667790E-1,-6.783873558E0,-3.780358791E0,1.102485418E0
1.706920910E-1,-6.717294693E0,-3.371830225E0,1.027916908E0
1.757486540E-1,-6.534069538E0,-2.698051214E0,8.473547101E-1
1.808238100E-1,-6.323147297E0,-2.049305677E0,6.113988161E-1
1.858662580E-1,-6.183064938E0,-1.629059076E0,3.642576933E-1
1.909168830E-1,-6.201707363E0,-1.367004275E0,1.831628978E-1
1.959825600E-1,-6.321016788E0,-1.178452611E0,1.053986698E-1
2.011237580E-1,-6.449913979E0,-1.039435863E0,1.378892064E-1
2.060971430E-1,-6.496785164E0,-7.028125525E-1,2.310997546E-1
2.112119350E-1,-6.356170654E0,-8.975344896E-2,3.083313704E-1
2.162278720E-1,-6.083463192E0,5.233057141E-1,3.386913836E-1
2.213535490E-1,-5.884791374E0,7.145205140E-1,3.093966246E-1
2.263281850E-1,-5.828332424E0,3.805603981E-1,2.417524010E-1
2.314269350E-1,-5.818744659E0,-4.423556626E-1,7.983235270E-2
2.364562580E-1,-5.743111134E0,-1.493770599E0,-2.173761725E-1
2.415337060E-1,-5.540178299E0,-2.278870106E0,-5.108562708E-1
2.465865700E-1,-5.221132278E0,-2.657571077E0,-7.047342658E-1
2.516622470E-1,-4.827517509E0,-2.818425894E0,-7.952815890E-1
2.567009970E-1,-4.399281502E0,-2.870091200E0,-7.665195465E-1
2.617557890E-1,-3.955599070E0,-2.916429996E0,-6.450794339E-1
2.668158410E-1,-3.513514519E0,-3.076219559E0,-4.932794273E-1
2.718659450E-1,-3.055451393E0,-3.270630360E0,-3.670457006E-1
2.769257370E-1,-2.586735487E0,-3.496466160E0,-3.446751535E-1
2.819706330E-1,-2.171815395E0,-3.622699738E0,-4.373531044E-1
2.870458930E-1,-1.831996083E0,-3.489542007E0,-5.609236360E-1
2.921303720E-1,-1.496970654E0,-3.154516459E0,-6.631889343E-1
2.971628200E-1,-1.143835783E0,-2.685267925E0,-7.686500549E-1
3.022964140E-1,-7.843093872E-1,-2.148907900E0,-8.693174124E-1
3.072809970E-1,-4.221198559E-1,-1.693507552E0,-9.454838037E-1
3.124119870E-1,-8.762708306E-2,-1.423463225E0,-9.939532876E-1
3.173941220E-1,1.893414259E-1,-1.249825358E0,-9.742459059E-1
3.225316220E-1,3.906762302E-1,-1.091101050E0,-8.671869636E-1
3.275107370E-1,5.595205426E-1,-8.775158525E-1,-6.994078755E-1
3.326209450E-1,7.544637918E-1,-6.234504580E-1,-4.836920500E-1
3.376262060E-1,9.696469903E-1,-4.130609334E-1,-2.205719650E-1
3.427006330E-1,1.174177647E0,-2.745766342E-1,3.455865011E-2
3.477416220E-1,1.343021870E0,-1.808334738E-1,2.145881802E-1
3.528091740E-1,1.496952415E0,-1.083955541E-1,2.880913615E-1
3.578595390E-1,1.638632417E0,-1.305447146E-2,2.838303149E-1
3.629279240E-1,1.758474588E0,1.398108453E-1,2.337629199E-1
3.679751120E-1,1.866598964E0,3.198403716E-1,1.575965881E-1
3.730237580E-1,1.975255728E0,5.190446377E-1,6.864708662E-2
3.781375600E-1,2.101489305E0,7.555330992E-1,-4.000979662E-2
3.832434450E-1,2.259148121E0,1.051676512E0,-1.763635278E-1
3.882082890E-1,2.451961040E0,1.392560720E0,-3.515993953E-1
3.932546430E-1,2.673003197E0,1.714270353E0,-5.571952462E-1
3.983119870E-1,2.915350676E0,1.952356815E0,-7.840963602E-1
4.033844350E-1,3.152904272E0,2.102026224E0,-1.006203771E0
4.084290180E-1,3.361696005E0,2.179257870E0,-1.209669113E0
4.135018830E-1,3.537997007E0,2.191508293E0,-1.381176472E0
4.185495390E-1,3.675948858E0,2.168605328E0,-1.516464949E0
4.236338620E-1,3.772887707E0,2.143038988E0,-1.606479764E0
4.286598510E-1,3.791529894E0,2.144104004E0,-1.645361781E0
4.337637580E-1,3.664230824E0,2.143571615E0,-1.609142900E0
4.387654760E-1,3.243451595E0,2.090308428E0,-1.505279660E0
4.438914140E-1,2.415209293E0,1.888973594E0,-1.349218607E0
4.488820390E-1,1.399480820E0,1.503880858E0,-1.123915434E0
4.540024040E-1,6.543290019E-1,1.057002783E0,-8.245763779E-1
