"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.321001000E-2,1.467657685E0,2.211748362E0,3.706492782E-1
6.826146900E-2,1.444221973E0,2.216009378E0,3.509418964E-1
7.335047900E-2,1.389893413E0,2.099363089E0,4.287061393E-1
7.838303100E-2,1.300943971E0,1.866603017E0,4.974156320E-1
8.345313500E-2,1.208266020E0,1.593363047E0,5.767777562E-1
8.850990600E-2,1.101207018E0,1.337167144E0,6.753146648E-1
9.356558300E-2,9.802996516E-1,1.092156529E0,7.647967935E-1
9.860574000E-2,8.567290902E-1,8.652552962E-1,8.372346759E-1
1.036650630E-1,7.198426723E-1,6.676489115E-1,8.755841851E-1
1.087450100E-1,5.675100088E-1,4.966741204E-1,8.809104562E-1
1.138003230E-1,4.098509848E-1,3.470045924E-1,8.590725660E-1
1.188441770E-1,2.564530075E-1,2.175750881E-1,8.116683364E-1
1.239030830E-1,1.147729754E-1,1.201034561E-1,7.466873527E-1
1.289828230E-1,9.844533168E-3,7.110133767E-2,6.689230204E-1
1.340209480E-1,-6.685444713E-2,7.216660678E-2,5.821040869E-1
1.390963130E-1,-1.249113157E-1,9.347187728E-2,4.835672081E-1
1.441287600E-1,-1.781744659E-1,1.067876741E-1,3.679861426E-1
1.492237600E-1,-2.420902848E-1,1.089181975E-1,2.353608161E-1
1.542633960E-1,-3.379640281E-1,1.174403057E-1,9.474603832E-2
1.593165210E-1,-4.972209334E-1,1.451371610E-1,-3.574874252E-2
1.643694900E-1,-7.283830047E-1,1.840192825E-1,-1.539929956E-1
1.694470940E-1,-1.025058985E0,1.909434944E-1,-2.615846097E-1
1.744824580E-1,-1.367008567E0,1.286255717E-1,-3.686436117E-1
1.796191770E-1,-1.729198098E0,-3.999731503E-3,-4.847573042E-1
1.846216250E-1,-2.089257240E0,-2.186503261E-1,-6.104584336E-1
1.897275630E-1,-2.434402704E0,-5.281093717E-1,-7.425510883E-1
1.947456880E-1,-2.744927168E0,-8.791137338E-1,-8.847637773E-1
1.998119900E-1,-3.063973665E0,-1.221595883E0,-1.008334279E0
2.048642290E-1,-3.414445162E0,-1.522000194E0,-1.079706907E0
