"Time (s)","Illuminance (lx)"
0.000000000E0,0.000000000E0
1.068509478E2,0.000000000E0
1.070168725E2,4.000000000E0
1.074040277E2,2.000000000E0
1.074593376E2,2.000000000E0
1.075146470E2,3.000000000E0
1.075699536E2,4.000000000E0
1.077358768E2,5.000000000E0
1.077911839E2,6.000000000E0
1.078464905E2,1.500000000E1
1.079017962E2,2.200000000E1
1.079571014E2,2.900000000E1
1.080460793E2,3.600000000E1
1.085438308E2,4.300000000E1
1.086043301E2,4.000000000E1
1.086596321E2,3.600000000E1
1.087702350E2,3.300000000E1
1.088808358E2,4.000000000E1
1.091020350E2,3.700000000E1
1.091625286E2,3.200000000E1
1.101026403E2,3.400000000E1
1.106055552E2,3.200000000E1
1.116009993E2,2.700000000E1
1.116563046E2,1.600000000E1
1.117116087E2,1.000000000E0
1.117669144E2,0.000000000E0
1.118222175E2,0.000000000E0
1.124305922E2,0.000000000E0
1.125412068E2,0.000000000E0
2.586041978E2,0.000000000E0
2.593231437E2,0.000000000E0
2.594890554E2,0.000000000E0
2.595443571E2,8.000000000E0
2.595996565E2,1.800000000E1
2.596549577E2,2.800000000E1
2.597102596E2,3.300000000E1
2.602079772E2,3.000000000E1
2.603738713E2,2.700000000E1
2.604844672E2,2.500000000E1
2.610927919E2,2.800000000E1
2.611480944E2,3.600000000E1
2.613693098E2,3.300000000E1
2.618670260E2,3.100000000E1
2.625306562E2,2.800000000E1
2.625859555E2,2.500000000E1
2.626412556E2,2.100000000E1
2.626965560E2,1.600000000E1
2.627518590E2,2.000000000E0
2.628071644E2,0.000000000E0
