"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.081971470E-1,5.233423380E1,4.868297600E0,1.672934829E0,0.000000000E0,0.000000000E0,1.846999931E1,3.056463957E0
3.724035268E0,5.233402422E1,4.868632060E0,-4.160049178E1,0.000000000E0,0.000000000E0,1.822400093E1,4.800000000E1
4.724035008E0,5.233400231E1,4.868460620E0,-3.522040219E1,0.000000000E0,0.000000000E0,1.393600082E1,4.800000000E1
5.724035372E0,5.233400547E1,4.868533790E0,-4.201945866E1,0.000000000E0,0.000000000E0,1.072000027E1,3.200000000E1
6.724034747E0,5.233390714E1,4.868556560E0,-2.094789821E1,7.510000229E0,1.700000000E2,9.648000717E0,3.200000000E1
7.724033654E0,5.233391504E1,4.868591040E0,2.882288458E1,4.699999809E0,1.688999939E2,1.072000027E1,3.200000000E1
8.724034539E0,5.233382660E1,4.868549730E0,3.932706999E1,5.099999905E0,1.813000031E2,9.648000717E0,2.400000000E1
9.724035059E0,5.233377224E1,4.868521400E0,3.598518042E1,3.509999990E0,1.758000031E2,8.576000214E0,2.400000000E1
1.072403496E1,5.233373021E1,4.868513560E0,3.706098349E1,5.389999866E0,1.881000061E2,7.504000187E0,2.400000000E1
1.172403532E1,5.233371665E1,4.868520880E0,2.425219174E1,1.169999957E0,1.741000061E2,7.504000187E0,1.600000000E1
1.272403501E1,5.233368790E1,4.868526900E0,3.304744281E1,3.410000086E0,1.698000031E2,7.504000187E0,1.600000000E1
1.372403454E1,5.233364038E1,4.868520960E0,3.291578075E1,4.159999847E0,1.706999969E2,7.504000187E0,1.600000000E1
1.472403522E1,5.233359032E1,4.868519230E0,3.753826791E1,4.530000210E0,1.713000031E2,7.504000187E0,1.600000000E1
1.572403522E1,5.233353761E1,4.868514750E0,3.827805934E1,4.730000019E0,1.853999939E2,7.504000187E0,1.200000000E1
1.672403428E1,5.233347232E1,4.868504310E0,3.727899909E1,4.960000038E0,1.763000031E2,6.432000160E0,1.200000000E1
1.772403496E1,5.233339023E1,4.868499820E0,3.645368569E1,6.099999905E0,1.796000061E2,8.576000214E0,1.200000000E1
1.872403532E1,5.233331946E1,4.868493860E0,3.636953729E1,5.860000134E0,1.865000000E2,8.576000214E0,1.200000000E1
1.972403501E1,5.233328056E1,4.868536260E0,3.786993405E1,4.510000229E0,1.371000061E2,1.072000027E1,1.600000000E1
2.072403506E1,5.233326763E1,4.868597400E0,3.543287807E1,4.269999981E0,1.004000015E2,9.648000717E0,1.200000000E1
2.172403522E1,5.233323501E1,4.868608240E0,3.140738671E1,3.579999924E0,1.850000000E2,9.648000717E0,1.600000000E1
2.272403449E1,5.233317615E1,4.868591980E0,3.120764858E1,3.630000114E0,1.805000000E2,8.576000214E0,1.200000000E1
2.372403490E1,5.233315296E1,4.868608530E0,2.744847014E1,3.289999962E0,9.819999695E1,9.648000717E0,1.600000000E1
2.472403423E1,5.233312749E1,4.868611710E0,2.772266708E1,2.950000048E0,1.771999969E2,1.072000027E1,1.600000000E1
2.572403449E1,5.233309186E1,4.868606010E0,3.200447403E1,2.769999981E0,1.730000000E2,1.179199982E1,1.600000000E1
2.672403454E1,5.233304826E1,4.868595780E0,3.109382333E1,2.819999933E0,1.695000000E2,1.179199982E1,1.600000000E1
2.772403402E1,5.233298917E1,4.868570500E0,2.823117689E1,2.980000019E0,1.760000000E2,1.286400032E1,1.600000000E1
2.872403454E1,5.233292303E1,4.868553770E0,2.786040775E1,3.069999933E0,1.751000061E2,1.286400032E1,1.600000000E1
2.972403511E1,5.233285956E1,4.868543130E0,2.917812241E1,2.660000086E0,1.766999969E2,1.286400032E1,1.600000000E1
3.072403443E1,5.233280725E1,4.868530570E0,2.692456261E1,2.539999962E0,1.725000000E2,1.286400032E1,1.600000000E1
3.172403464E1,5.233275362E1,4.868521130E0,2.490818536E1,2.390000105E0,1.743000031E2,1.286400032E1,1.600000000E1
3.272403485E1,5.233272513E1,4.868528380E0,2.563800781E1,2.259999990E0,1.748999939E2,1.286400032E1,1.600000000E1
3.372403428E1,5.233269070E1,4.868540210E0,2.516830060E1,2.180000067E0,1.751000061E2,1.179199982E1,1.600000000E1
3.472403418E1,5.233266183E1,4.868552730E0,2.388683403E1,2.069999933E0,1.736999969E2,1.179199982E1,1.600000000E1
3.572403516E1,5.233263658E1,4.868553120E0,2.237440858E1,2.049999952E0,1.748999939E2,1.179199982E1,1.600000000E1
3.672403417E1,5.233261048E1,4.868555840E0,2.233604333E1,2.279999971E0,1.650000000E2,1.072000027E1,1.200000000E1
3.772403506E1,5.233257585E1,4.868556030E0,2.158861922E1,2.380000114E0,1.635000000E2,9.648000717E0,1.200000000E1
3.872403506E1,5.233253784E1,4.868563440E0,2.048621402E1,2.240000010E0,1.623999939E2,8.576000214E0,1.200000000E1
