"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.644061090E-1,5.233428880E1,4.866955800E0,4.737224140E1,0.000000000E0,0.000000000E0,1.640299988E1,1.603927612E0
1.018440611E1,5.233428030E1,4.866927400E0,4.757221777E1,0.000000000E0,0.000000000E0,1.799300003E1,1.468335986E0
3.020740611E1,5.233429940E1,4.866967200E0,4.737226283E1,0.000000000E0,0.000000000E0,1.468700027E1,1.662097216E0
5.020640611E1,5.233429390E1,4.866952800E0,4.737224686E1,0.000000000E0,0.000000000E0,6.000000000E1,1.333333373E0
7.125440611E1,5.233429060E1,4.866945500E0,4.757224261E1,0.000000000E0,0.000000000E0,1.729500008E1,1.536098719E0
9.124440611E1,5.233430500E1,4.866965200E0,4.757227415E1,0.000000000E0,0.000000000E0,1.556000042E1,1.606801748E0
1.112544061E2,5.233427910E1,4.866933100E0,4.737221476E1,0.000000000E0,0.000000000E0,1.756999969E1,1.432907581E0
1.322954061E2,5.233428680E1,4.866945800E0,4.737223286E1,0.000000000E0,0.000000000E0,1.496599960E1,1.794134617E0
1.515244061E2,5.233427070E1,4.866943400E0,4.737220884E1,0.000000000E0,0.000000000E0,1.744700050E1,1.432568669E0
1.615504061E2,5.233429870E1,4.866966700E0,4.737226156E1,0.000000000E0,0.000000000E0,1.678400040E1,1.473495007E0
1.815614061E2,5.233425300E1,4.866927000E0,4.737217455E1,0.000000000E0,0.000000000E0,6.000000000E1,1.891688943E0
1.825492443E2,5.233459964E1,4.864915790E0,-1.827365320E1,0.000000000E0,0.000000000E0,2.401280060E2,9.600000000E1
1.835492443E2,5.233445392E1,4.865367860E0,-1.512040121E1,0.000000000E0,0.000000000E0,2.379840088E2,9.600000000E1
1.845492440E2,5.233443303E1,4.865411270E0,-1.519120654E1,0.000000000E0,0.000000000E0,2.401280060E2,9.600000000E1
1.855492441E2,5.233441855E1,4.865455020E0,-1.519864816E1,0.000000000E0,0.000000000E0,2.422720032E2,9.600000000E1
1.865492442E2,5.233440616E1,4.865499780E0,-1.520529280E1,0.000000000E0,0.000000000E0,2.454880066E2,9.600000000E1
1.875492443E2,5.233439882E1,4.865511720E0,-1.555661466E1,0.000000000E0,0.000000000E0,2.626400146E2,9.600000000E1
2.061394061E2,5.233426920E1,4.866964700E0,4.737221892E1,0.000000000E0,0.000000000E0,1.753899956E1,5.574611187E0
2.245492434E2,5.233424622E1,4.866426200E0,-1.742196767E1,0.000000000E0,0.000000000E0,2.604960022E2,1.280000000E2
2.255492434E2,5.233422845E1,4.866377240E0,-1.816451335E1,0.000000000E0,0.000000000E0,2.412000122E2,1.280000000E2
2.265492443E2,5.233421072E1,4.866342490E0,-1.699994636E1,0.000000000E0,0.000000000E0,2.304800110E2,1.280000000E2
2.275492440E2,5.233417057E1,4.866323650E0,-1.205720356E1,0.000000000E0,0.000000000E0,2.336959991E2,1.280000000E2
2.285492443E2,5.233412328E1,4.866310440E0,-8.308437314E0,0.000000000E0,0.000000000E0,2.294080048E2,1.280000000E2
2.295492439E2,5.233393525E1,4.866435280E0,-6.061926295E0,0.000000000E0,0.000000000E0,2.347680054E2,1.280000000E2
2.305492441E2,5.233398744E1,4.866351510E0,-1.163660784E1,0.000000000E0,0.000000000E0,2.294080048E2,1.280000000E2
2.315492442E2,5.233403450E1,4.866836700E0,3.710293580E0,0.000000000E0,0.000000000E0,2.422720032E2,1.280000000E2
2.325492440E2,5.233406166E1,4.866901200E0,5.970927776E0,0.000000000E0,0.000000000E0,2.272640076E2,1.280000000E2
2.335492442E2,5.233406887E1,4.866950990E0,7.841388770E0,0.000000000E0,0.000000000E0,2.208320007E2,9.600000000E1
2.345492444E2,5.233407648E1,4.866981360E0,7.840196149E0,0.000000000E0,0.000000000E0,2.165440063E2,9.600000000E1
2.355492444E2,5.233408443E1,4.867004160E0,7.841807293E0,0.000000000E0,0.000000000E0,2.144000092E2,9.600000000E1
2.365492440E2,5.233409194E1,4.867031710E0,8.462744266E0,0.000000000E0,0.000000000E0,2.144000092E2,9.600000000E1
2.375492440E2,5.233409574E1,4.867090870E0,1.504530299E1,0.000000000E0,0.000000000E0,2.508480072E2,1.280000000E2
2.561584061E2,5.233427970E1,4.866960100E0,4.737223106E1,0.000000000E0,0.000000000E0,3.690000153E1,1.333333373E0
2.595492439E2,5.233405474E1,4.867178530E0,2.152069830E1,0.000000000E0,0.000000000E0,2.647839966E2,1.280000000E2
2.605492439E2,5.233404376E1,4.867155590E0,2.057712724E1,0.000000000E0,0.000000000E0,2.508480072E2,1.280000000E2
2.615492441E2,5.233403782E1,4.867138760E0,2.037374012E1,0.000000000E0,0.000000000E0,2.390559998E2,9.600000000E1
2.625492443E2,5.233402162E1,4.867144440E0,2.258227770E1,0.000000000E0,0.000000000E0,2.347680054E2,9.600000000E1
2.635492440E2,5.233400996E1,4.867137490E0,2.206864648E1,0.000000000E0,0.000000000E0,2.369120026E2,9.600000000E1
2.645492444E2,5.233399741E1,4.867136300E0,2.242543967E1,0.000000000E0,0.000000000E0,2.058240051E2,9.600000000E1
2.655492442E2,5.233399468E1,4.867151900E0,2.220352092E1,0.000000000E0,0.000000000E0,1.908160095E2,9.600000000E1
