"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.573998140E-1,5.233431390E1,4.866964000E0,4.757228598E1,0.000000000E0,0.000000000E0,1.469299984E1,1.547803521E0
1.023839981E1,5.233430160E1,4.866955400E0,4.737225918E1,0.000000000E0,0.000000000E0,1.530799961E1,1.573974371E0
3.022439981E1,5.233430380E1,4.866974000E0,4.757227749E1,0.000000000E0,0.000000000E0,1.463799953E1,4.941951752E0
3.520823741E1,5.233454120E1,4.868501050E0,1.086090536E2,1.700000018E-1,3.532999878E2,9.219200134E1,9.600000000E1
3.620823778E1,5.233453164E1,4.868432630E0,1.035089033E2,5.000000000E-1,3.530000000E2,9.540800476E1,9.600000000E1
3.720823731E1,5.233452077E1,4.868349770E0,9.738103298E1,3.199999928E-1,3.527999878E2,8.576000214E1,9.600000000E1
3.820823695E1,5.233451039E1,4.868250890E0,9.077366198E1,5.500000119E-1,3.525000000E2,8.040000153E1,6.400000000E1
3.920823799E1,5.233450563E1,4.868158500E0,8.869859021E1,9.900000095E-1,3.522000122E2,8.576000214E1,9.600000000E1
4.020823773E1,5.233449724E1,4.868073760E0,8.306522913E1,7.500000000E-1,3.518999939E2,8.576000214E1,9.600000000E1
4.120823788E1,5.233448997E1,4.868023770E0,8.170258043E1,4.000000060E-1,3.517000122E2,8.468800354E1,9.600000000E1
4.220823726E1,5.233448366E1,4.867987850E0,7.907535373E1,2.199999988E-1,3.513999939E2,7.718400574E1,6.400000000E1
4.320823721E1,5.233448290E1,4.867958450E0,7.750044570E1,5.000000000E-1,3.511000061E2,8.254399872E1,6.400000000E1
4.420823700E1,5.233448075E1,4.867924620E0,7.681920994E1,0.000000000E0,0.000000000E0,8.576000214E1,9.600000000E1
4.520823747E1,5.233448379E1,4.867911280E0,7.756456791E1,2.700000107E-1,3.506000061E2,8.040000153E1,6.400000000E1
4.620823757E1,5.233448162E1,4.867878760E0,7.559738316E1,0.000000000E0,0.000000000E0,7.396800232E1,6.400000000E1
4.720823783E1,5.233448210E1,4.867888930E0,7.976108595E1,0.000000000E0,0.000000000E0,6.646400452E1,6.400000000E1
4.820823783E1,5.233448784E1,4.867925630E0,8.249756522E1,7.099999785E-1,3.497999878E2,6.431999969E1,6.400000000E1
