"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.276109800E-1,5.233427470E1,4.866919900E0,4.737220102E1,0.000000000E0,0.000000000E0,7.290000153E1,1.333333373E0
1.090461098E1,5.233424180E1,4.866900800E0,4.737214381E1,0.000000000E0,0.000000000E0,7.290000153E1,1.851454496E0
3.020761098E1,5.233433140E1,4.866968500E0,4.757231318E1,0.000000000E0,0.000000000E0,1.750799942E1,1.333333373E0
5.026661098E1,5.233428280E1,4.866925100E0,4.737221539E1,0.000000000E0,0.000000000E0,6.840000153E1,1.333333373E0
7.129061098E1,5.233430000E1,4.866929200E0,4.737224193E1,0.000000000E0,0.000000000E0,6.409999847E1,1.333333373E0
9.129761098E1,5.233428850E1,4.866927300E0,4.757222925E1,0.000000000E0,0.000000000E0,1.947200012E1,1.333333373E0
1.118596110E2,5.233428320E1,4.866917700E0,4.737221172E1,0.000000000E0,0.000000000E0,6.840000153E1,1.333333373E0
1.323596110E2,5.233429790E1,4.866933200E0,4.757224585E1,0.000000000E0,0.000000000E0,2.000499916E1,1.333333373E0
1.520726110E2,5.233430570E1,4.866937200E0,4.757225911E1,0.000000000E0,0.000000000E0,6.409999847E1,1.333333373E0
1.624306110E2,5.233430130E1,4.866930500E0,4.757224909E1,0.000000000E0,0.000000000E0,6.000000000E1,1.333333373E0
1.816666110E2,5.233429270E1,4.866941800E0,4.757224345E1,0.000000000E0,0.000000000E0,1.898999977E1,1.365527034E0
2.026886110E2,5.233431070E1,4.866983700E0,4.757229275E1,0.000000000E0,0.000000000E0,1.633699989E1,1.333333373E0
2.227266110E2,5.233426510E1,4.866974900E0,4.757222356E1,0.000000000E0,0.000000000E0,1.971899986E1,1.365986347E0
2.427636110E2,5.233429930E1,4.866963100E0,4.737226035E1,0.000000000E0,0.000000000E0,1.799600029E1,1.349700212E0
2.551796110E2,5.233425940E1,4.866981700E0,4.757221943E1,0.000000000E0,0.000000000E0,2.040299988E1,1.333333373E0
2.651886110E2,5.233429310E1,4.866959400E0,4.737224951E1,0.000000000E0,0.000000000E0,1.903700066E1,1.354692340E0
2.852056110E2,5.233428720E1,4.866946000E0,4.737223354E1,0.000000000E0,0.000000000E0,2.014299965E1,1.463666558E0
