"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.785328940E-1,5.233432720E1,4.866957300E0,4.757230086E1,0.000000000E0,0.000000000E0,5.240000153E1,1.900301337E0
6.509532894E0,5.233429530E1,4.866946100E0,4.757224957E1,0.000000000E0,0.000000000E0,1.499199963E1,1.333333373E0
3.022853289E1,5.233425020E1,4.866919100E0,4.737216609E1,0.000000000E0,0.000000000E0,1.711899948E1,1.333333373E0
5.021653289E1,5.233429540E1,4.866951900E0,4.757225303E1,0.000000000E0,0.000000000E0,1.808300018E1,1.449668407E0
7.135953289E1,5.233427780E1,4.866937700E0,4.737221557E1,0.000000000E0,0.000000000E0,1.564099979E1,1.606752038E0
9.134153289E1,5.233434560E1,4.866959400E0,4.757232795E1,0.000000000E0,0.000000000E0,1.553600025E1,1.333333373E0
1.041713711E2,5.233403140E1,4.866351600E0,3.668163033E1,0.000000000E0,0.000000000E0,1.629440002E2,9.600000000E1
1.051713701E2,5.233403131E1,4.866352000E0,3.668144732E1,0.000000000E0,0.000000000E0,1.490080109E2,9.600000000E1
1.061713706E2,5.233403129E1,4.866352090E0,3.668144735E1,0.000000000E0,0.000000000E0,1.393600006E2,9.600000000E1
1.071713712E2,5.233403129E1,4.866352110E0,3.668150839E1,0.000000000E0,0.000000000E0,1.597279968E2,9.600000000E1
1.081713702E2,5.233403124E1,4.866352360E0,3.667870085E1,0.000000000E0,0.000000000E0,1.822400055E2,9.600000000E1
1.091713704E2,5.233403127E1,4.866352260E0,3.667876187E1,0.000000000E0,0.000000000E0,2.058240051E2,9.600000000E1
1.101713708E2,5.233403127E1,4.866352240E0,3.667851772E1,0.000000000E0,0.000000000E0,2.304800110E2,1.280000000E2
1.111713709E2,5.233403155E1,4.866357110E0,3.675444863E1,0.000000000E0,0.000000000E0,2.551360016E2,1.280000000E2
1.121713711E2,5.233403154E1,4.866357040E0,3.675872104E1,0.000000000E0,0.000000000E0,2.336959991E2,9.600000000E1
1.131713710E2,5.233403169E1,4.866356170E0,3.675005376E1,0.000000000E0,0.000000000E0,2.176160126E2,9.600000000E1
1.141713710E2,5.233403265E1,4.866349770E0,3.667998309E1,0.000000000E0,0.000000000E0,2.079680023E2,9.600000000E1
1.151713711E2,5.233403265E1,4.866349770E0,3.667998309E1,0.000000000E0,0.000000000E0,2.390559998E2,9.600000000E1
1.264365329E2,5.233429570E1,4.866970500E0,4.547226562E1,0.000000000E0,0.000000000E0,4.250000000E1,1.333333373E0
1.271713710E2,5.233401435E1,4.866429810E0,3.681208322E1,0.000000000E0,0.000000000E0,1.725920105E2,9.600000000E1
1.281713711E2,5.233403118E1,4.866378260E0,3.625177466E1,0.000000000E0,0.000000000E0,1.168479996E2,6.400000000E1
