"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
6.690495500E-2,-3.834285021E0,-4.060691833E0,4.734732819E1
7.690495500E-2,-5.683530807E0,-3.611732483E0,4.961759949E1
8.690495500E-2,-6.761418343E0,-2.745948792E0,4.942599487E1
9.690495500E-2,-6.452921867E0,-1.594421387E0,4.725363159E1
1.069049550E-1,-5.686158180E0,1.861572266E-1,4.725209045E1
1.169049550E-1,-6.308305740E0,4.030303955E0,4.858497620E1
1.269049550E-1,-6.919795036E0,3.824913025E0,4.532209015E1
1.369049550E-1,-1.030883026E1,6.295715332E0,4.629253387E1
1.469049550E-1,-7.695027351E0,7.367267609E0,4.634513855E1
1.569049550E-1,-8.621559143E0,9.426254272E0,4.691730499E1
1.669049550E-1,-8.469105721E0,1.031535721E1,4.706556702E1
1.769049550E-1,-1.016059685E1,1.114865494E1,4.531143188E1
1.869049550E-1,-7.546794891E0,1.222020340E1,4.536403656E1
1.969049550E-1,-9.395765305E0,1.396804428E1,4.576210022E1
2.069049550E-1,-7.854868889E0,1.251035309E1,4.535301971E1
2.169049550E-1,-9.395572662E0,1.570221329E1,4.342055511E1
2.269049550E-1,-1.016843319E1,1.863409042E1,4.305785370E1
2.369049550E-1,-1.109411430E1,2.169482040E1,4.160649872E1
2.469049550E-1,-1.016911125E1,2.037983322E1,4.148997498E1
2.569049550E-1,-8.786766052E0,2.274549484E1,4.056838226E1
2.669049550E-1,-6.169868469E0,2.305220413E1,3.877274323E1
2.769049550E-1,-7.555857658E0,2.435324097E1,3.841368103E1
2.869049550E-1,-7.867941856E0,2.657823944E1,3.961826324E1
2.969049550E-1,-6.482576370E0,2.673276138E1,3.872234344E1
3.069049550E-1,-7.251307487E0,2.801765823E1,3.667640686E1
3.169049550E-1,-3.560853720E0,2.925296021E1,3.675389862E1
3.269049550E-1,-5.252729416E0,2.936774063E1,3.624618530E1
3.369049550E-1,-3.560506105E0,2.924832535E1,3.644442749E1
3.469049550E-1,-3.714698553E0,3.113219833E1,3.440684509E1
3.569049550E-1,-3.098787069E0,2.997616196E1,3.536413574E1
3.669049550E-1,-3.098787069E0,2.997616196E1,3.536413574E1
3.769049550E-1,-1.562531710E0,3.104063797E1,3.600907898E1
3.869049550E-1,-1.562531710E0,3.104063797E1,3.600907898E1
3.969049550E-1,-2.021879435E0,3.245213318E1,3.226696777E1
4.069049550E-1,-2.021879435E0,3.245213318E1,3.226696777E1
4.169049550E-1,-3.255149603E0,3.232310486E1,3.471400452E1
4.269049550E-1,-3.255149603E0,3.232310486E1,3.471400452E1
4.369049550E-1,-2.793339968E0,3.073408890E1,3.644630432E1
4.469049550E-1,-2.793339968E0,3.073408890E1,3.644630432E1
4.569049550E-1,-4.330363274E0,3.098239899E1,3.485755157E1
4.669049550E-1,-4.330363274E0,3.098239899E1,3.485755157E1
4.769049550E-1,-3.867051363E0,2.879448318E1,3.597776794E1
4.869049550E-1,-4.482486725E0,2.835218048E1,3.658663940E1
4.969049550E-1,-4.480875969E0,2.717291260E1,3.660033417E1
5.069049550E-1,-5.558855057E0,2.760573959E1,3.703279877E1
5.169049550E-1,-4.943748474E0,2.703934097E1,3.798324585E1
5.269049550E-1,-4.944169998E0,2.559767914E1,4.016663361E1
5.369049550E-1,-3.711622000E0,2.588106537E1,3.818207550E1
5.469049550E-1,-5.249708176E0,2.440679169E1,3.970853424E1
5.569049550E-1,-6.325553894E0,2.365340424E1,3.969049835E1
5.669049550E-1,-5.401502609E0,2.278527451E1,3.987830353E1
5.769049550E-1,-5.554305077E0,2.190079880E1,4.003950500E1
5.869049550E-1,-5.402445793E0,2.135055923E1,4.252587891E1
5.969049550E-1,-4.632606506E0,2.062982178E1,4.286290741E1
6.069049550E-1,-6.014860153E0,1.869712448E1,4.316043854E1
6.169049550E-1,-3.553199530E0,1.815178680E1,4.369227600E1
6.269049550E-1,-4.478394508E0,1.773261642E1,4.615035248E1
6.369049550E-1,-4.014058113E0,1.654413223E1,4.509230804E1
6.469049550E-1,-3.089256525E0,1.537654877E1,4.497406769E1
6.569049550E-1,-3.550718546E0,1.421112061E1,4.636897278E1
6.669049550E-1,-2.782059908E0,1.422974396E1,4.685216522E1
6.769049550E-1,-3.552385092E0,1.293076706E1,4.947904205E1
6.869049550E-1,-3.239457369E0,1.083927536E1,4.734433746E1
6.969049550E-1,-1.551856756E0,1.222870255E1,4.984645844E1
7.069049550E-1,-1.236933708E0,9.676456451E0,4.647903442E1
7.169049550E-1,-6.213423014E-1,8.379962921E0,4.790223694E1
7.269049550E-1,-1.389515400E0,7.631244659E0,4.789179993E1
7.369049550E-1,1.481677294E-1,6.650520325E0,4.979857635E1
7.469049550E-1,3.054003716E-1,4.291992188E0,4.967504120E1
7.569049550E-1,-1.230891228E0,2.504371643E0,4.996704865E1
7.669049550E-1,3.070025444E-1,2.244480133E0,5.078213501E1
7.769049550E-1,1.080018878E0,3.236236572E-1,4.974026489E1
7.869049550E-1,2.620824099E0,-1.567031860E0,4.995523834E1
7.969049550E-1,1.084505081E0,-3.209564209E0,5.009081268E1
8.069049550E-1,1.548613310E0,-4.105552673E0,4.887461853E1
