"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.021631000E-2,1.536497974E1,4.716982269E1,1.399581909E0
6.021631000E-2,1.536329556E1,4.965261459E1,-1.768569946E-1
7.021631000E-2,1.506089878E1,4.653845596E1,-1.076904297E0
8.021631000E-2,1.459547043E1,4.889926147E1,-4.967651367E-1
9.021631000E-2,1.413152695E1,4.892468643E1,1.658103943E0
1.002163100E-1,1.505620098E1,4.660099792E1,3.100898743E0
1.102163100E-1,1.536376286E1,4.718603516E1,2.482711792E0
1.202163100E-1,1.566781902E1,4.796249390E1,4.802749634E0
1.302163100E-1,1.505329800E1,4.635018921E1,6.044250488E0
1.402163100E-1,1.612824821E1,4.726025009E1,6.679504395E0
1.502163100E-1,1.735689354E1,4.614829254E1,9.972999573E0
1.602163100E-1,1.889618874E1,4.398830032E1,1.189347076E1
1.702163100E-1,1.889195061E1,4.621565247E1,1.295092773E1
1.802163100E-1,1.966206360E1,4.404398346E1,1.485240173E1
1.902163100E-1,2.104629707E1,4.102962494E1,1.894561005E1
2.002163100E-1,1.981239319E1,4.148792267E1,2.123107910E1
2.102163100E-1,2.104160118E1,4.109216690E1,2.312341309E1
2.202163100E-1,2.273388672E1,3.880099487E1,2.597780609E1
2.302163100E-1,2.119585800E1,3.703653717E1,2.781714630E1
2.402163100E-1,2.073301315E1,3.675787735E1,2.935650635E1
2.502163100E-1,2.396426392E1,3.404782486E1,3.225402832E1
2.602163100E-1,2.288802338E1,3.445749664E1,3.113916016E1
2.702163100E-1,2.504255486E1,3.288721085E1,3.244904327E1
2.802163100E-1,2.581308937E1,3.215720749E1,3.216714478E1
2.902163100E-1,2.550732231E1,3.125881577E1,3.155088043E1
3.002163100E-1,2.689309120E1,3.111851883E1,3.065838623E1
3.102163100E-1,2.750827217E1,3.199841690E1,2.973491669E1
3.202163100E-1,2.827758980E1,3.128462601E1,3.053614044E1
3.302163100E-1,2.720092010E1,3.213420868E1,2.926140594E1
3.402163100E-1,2.720092010E1,3.213420868E1,2.926140594E1
3.502163100E-1,2.581428909E1,3.315432358E1,2.983415985E1
3.602163100E-1,2.581428909E1,3.315432358E1,2.983415985E1
3.702163100E-1,2.688725090E1,3.539338684E1,3.060874176E1
3.802163100E-1,2.873759651E1,3.464034271E1,2.772296143E1
3.902163100E-1,2.642790413E1,3.680487823E1,2.686662292E1
4.002163100E-1,2.642790413E1,3.680487823E1,2.686662292E1
4.102163100E-1,2.457817268E1,4.073374557E1,2.522747040E1
4.202163100E-1,2.457817268E1,4.073374557E1,2.522747040E1
4.302163100E-1,2.288707352E1,4.040398407E1,2.457016754E1
4.402163100E-1,2.119035339E1,4.318833923E1,2.511478424E1
4.502163100E-1,2.180735779E1,4.360979462E1,2.311330414E1
4.602163100E-1,2.072898293E1,4.520568848E1,2.244894409E1
4.702163100E-1,2.042110062E1,4.448018646E1,2.353304291E1
4.802163100E-1,1.888242912E1,4.518461990E1,2.286754608E1
4.902163100E-1,1.949698639E1,4.477026367E1,2.412575531E1
5.002163100E-1,1.964750671E1,4.669818115E1,2.472622681E1
5.102163100E-1,2.026414299E1,4.263796997E1,2.865769196E1
5.202163100E-1,1.857079124E1,4.320655823E1,2.891852570E1
5.302163100E-1,1.856969261E1,4.351064301E1,2.953402710E1
5.402163100E-1,1.903110123E1,4.221644211E1,3.126290131E1
5.502163100E-1,1.856957436E1,4.322277451E1,3.000164795E1
5.602163100E-1,1.811060333E1,4.448454285E1,2.610651398E1
5.702163100E-1,1.610969925E1,4.533633423E1,2.589211273E1
5.802163100E-1,1.534038067E1,4.605012512E1,2.509088898E1
5.902163100E-1,1.287523270E1,5.127317047E1,2.187380219E1
6.002163100E-1,1.056867886E1,5.151443863E1,2.057552338E1
6.102163100E-1,9.796688080E0,5.443473434E1,1.943914795E1
6.202163100E-1,1.087534428E1,5.500596619E1,1.713789368E1
6.302163100E-1,1.303499126E1,5.481480408E1,1.208660126E1
6.402163100E-1,1.319302940E1,5.461645508E1,8.533248901E0
6.502163100E-1,1.227193546E1,5.544520950E1,5.714981079E0
6.602163100E-1,1.458148098E1,5.588771057E1,3.445838928E0
6.702163100E-1,1.627432823E1,5.706255341E1,1.462402344E0
6.802163100E-1,1.504988384E1,5.522401047E1,-1.951583862E0
6.902163100E-1,1.628387642E1,5.519867706E1,-4.861114502E0
7.002163100E-1,1.613006973E1,5.505125046E1,-4.708465576E0
7.102163100E-1,1.736146164E1,5.592890167E1,-6.390411377E0
7.202163100E-1,1.736488724E1,5.342294693E1,-6.361305237E0
7.302163100E-1,1.690220833E1,5.502354431E1,-7.319938660E0
7.402163100E-1,1.721288300E1,5.383041000E1,-8.536506653E0
7.502163100E-1,1.936489296E1,5.547764587E1,-8.966346741E0
7.602163100E-1,2.013426399E1,5.447367096E1,-7.852241516E0
7.702163100E-1,1.890390587E1,5.546369553E1,-9.441947937E0
