"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
6.020377100E-2,-7.799390793E0,-2.091044617E1,2.668361664E1
7.020377100E-2,-7.492936134E0,-2.088956451E1,2.777434540E1
8.020377100E-2,-7.954343796E0,-1.959536743E1,2.604547119E1
9.020377100E-2,-5.496473312E0,-1.936659241E1,2.904448700E1
1.002037710E-1,-9.800733566E0,-2.048699188E1,2.740275574E1
1.102037710E-1,-7.492185593E0,-2.118901825E1,2.746830750E1
1.202037710E-1,-8.259626389E0,-2.122385406E1,2.590197754E1
1.302037710E-1,-6.109702110E0,-1.954882812E1,2.732893372E1
1.402037710E-1,-8.565943718E0,-2.197019958E1,2.559346771E1
1.502037710E-1,-8.570796013E0,-2.016886139E1,2.773918915E1
1.602037710E-1,-7.954608917E0,-2.002600861E1,2.682427216E1
1.702037710E-1,-9.493701935E0,-2.076323700E1,2.834217072E1
1.802037710E-1,-8.412501335E0,-2.080480194E1,2.450043488E1
1.902037710E-1,-8.416235924E0,-2.032089233E1,2.728050232E1
2.002037710E-1,-6.569334030E0,-2.030445862E1,2.655242920E1
2.102037710E-1,-8.415228844E0,-2.105793762E1,2.728906250E1
2.202037710E-1,-6.261221886E0,-2.262126923E1,2.906315613E1
2.302037710E-1,-7.954260826E0,-2.003064728E1,2.651481628E1
2.402037710E-1,-9.335874557E0,-2.168241882E1,2.588051605E1
2.502037710E-1,-9.031224251E0,-1.946661377E1,2.586243439E1
2.602037710E-1,-7.495874405E0,-1.911371613E1,2.821800995E1
2.702037710E-1,-8.725528717E0,-2.001451874E1,2.835260773E1
2.802037710E-1,-8.723789215E0,-2.003768158E1,2.680527496E1
2.902037710E-1,-6.261633873E0,-2.044487762E1,2.671647644E1
3.002037710E-1,-8.414762497E0,-2.077469635E1,2.651197815E1
3.102037710E-1,-8.415110588E0,-2.077005768E1,2.682143402E1
3.202037710E-1,-7.950644493E0,-2.080243683E1,2.420237732E1
3.302037710E-1,-7.030155182E0,-2.118896484E1,2.701550293E1
3.402037710E-1,-7.181812286E0,-2.078612518E1,2.453083038E1
3.502037710E-1,-7.646451950E0,-2.075144196E1,2.730464172E1
3.602037710E-1,-8.721426964E0,-2.151641083E1,2.651293945E1
3.702037710E-1,-8.721426964E0,-2.151641083E1,2.651293945E1
3.802037710E-1,-9.492082596E0,-2.107427979E1,2.726246643E1
3.902037710E-1,-9.492082596E0,-2.107427979E1,2.726246643E1
4.002037710E-1,-9.486936569E0,-2.259005737E1,2.449438477E1
4.102037710E-1,-8.725007057E0,-2.002146912E1,2.788841248E1
4.202037710E-1,-8.414981842E0,-1.961395264E1,2.526040649E1
4.302037710E-1,-6.878360748E0,-1.956744385E1,2.684573364E1
4.402037710E-1,-7.496497154E0,-1.765815735E1,2.696301270E1
4.502037710E-1,-7.183066368E0,-2.149306488E1,2.655093384E1
4.602037710E-1,-7.493613243E0,-1.914382935E1,2.620646667E1
4.702037710E-1,-8.725473404E0,-2.030471039E1,2.866550446E1
4.802037710E-1,-8.418250084E0,-1.884680176E1,2.726338196E1
4.902037710E-1,-7.802083015E0,-2.044042969E1,2.853527832E1
5.002037710E-1,-8.568049431E0,-2.092906952E1,2.620041656E1
5.102037710E-1,-7.493943214E0,-2.015251923E1,2.776578522E1
5.202037710E-1,-6.876868248E0,-2.103459167E1,2.732705688E1
5.302037710E-1,-7.954260826E0,-2.003064728E1,2.651481628E1
5.402037710E-1,-6.721741676E0,-2.235198212E1,2.781046295E1
5.502037710E-1,-7.491507530E0,-2.018494415E1,2.559952545E1
5.602037710E-1,-7.491059303E0,-2.163819122E1,2.700923920E1
5.702037710E-1,-9.029465675E0,-2.050311279E1,2.556494904E1
5.802037710E-1,-8.412015915E0,-2.153490448E1,2.497320557E1
5.902037710E-1,-7.951440811E0,-2.209438324E1,2.653878021E1
6.002037710E-1,-8.418186188E0,-1.826874542E1,2.648287201E1
6.102037710E-1,-7.493475914E0,-1.986929321E1,2.698869324E1
6.202037710E-1,-7.184558868E0,-2.002591705E1,2.606960297E1
6.302037710E-1,-8.261438370E0,-1.989717865E1,2.588657379E1
6.402037710E-1,-7.182682037E0,-2.077454376E1,2.530449677E1
6.502037710E-1,-7.032435417E0,-2.014551544E1,2.777718353E1
6.602037710E-1,-8.568305969E0,-2.049147797E1,2.588581848E1
6.702037710E-1,-7.800397873E0,-2.017340088E1,2.667505646E1
6.802037710E-1,-6.875403404E0,-1.960682678E1,2.421527100E1
6.902037710E-1,-6.106680870E0,-2.175996399E1,2.735461426E1
7.002037710E-1,-8.264184952E0,-1.913697052E1,2.742534637E1
7.102037710E-1,-8.566950798E0,-2.123315430E1,2.558490753E1
7.202037710E-1,-8.571198463E0,-1.987405396E1,2.773576355E1
7.302037710E-1,-8.570850372E0,-1.987868500E1,2.742630768E1
7.402037710E-1,-8.571198463E0,-1.987405396E1,2.773576355E1
7.502037710E-1,-9.341385841E0,-1.914868164E1,2.770820618E1
7.602037710E-1,-8.415366173E0,-2.033247375E1,2.650683594E1
7.702037710E-1,-8.259818077E0,-2.020819855E1,2.480686188E1
7.802037710E-1,-9.337347984E0,-2.122861481E1,2.664904785E1
7.902037710E-1,-8.568049431E0,-2.092906952E1,2.620041656E1
8.002037710E-1,-6.875147820E0,-2.004441071E1,2.452986908E1
8.102037710E-1,-8.415110588E0,-2.077005768E1,2.682143402E1
8.202037710E-1,-7.796644211E0,-2.167065430E1,2.514484406E1
8.302037710E-1,-9.956300735E0,-1.959792328E1,2.785288239E1
8.402037710E-1,-8.263398170E0,-1.871326447E1,2.618233490E1
8.502037710E-1,-9.337073326E0,-2.267954254E1,2.821350098E1
8.602037710E-1,-9.186515808E0,-2.002847290E1,2.787701416E1
8.702037710E-1,-9.028862000E0,-2.094533539E1,2.557009125E1
8.802037710E-1,-9.494499207E0,-1.930536652E1,2.724192810E1
8.902037710E-1,-7.182004929E0,-2.252029419E1,2.687237549E1
9.002037710E-1,-8.569578171E0,-2.018507385E1,2.665605927E1
9.102037710E-1,-6.723353386E0,-2.117271423E1,2.779676819E1
9.202037710E-1,-8.570328712E0,-1.988563538E1,2.696209717E1
9.302037710E-1,-9.340094566E0,-2.046840668E1,2.818782043E1
9.402037710E-1,-9.953728676E0,-2.035581970E1,2.646884155E1
9.502037710E-1,-7.494464874E0,-2.014556885E1,2.822998810E1
9.602037710E-1,-9.796631813E0,-2.198887634E1,2.556307220E1
9.702037710E-1,-9.490745544E0,-2.080261993E1,2.571171570E1
9.802037710E-1,-9.182414055E0,-2.153035736E1,2.603733063E1
9.902037710E-1,-1.026174736E1,-2.035585022E1,2.677070618E1
1.000203771E0,-8.720154762E0,-2.182281494E1,2.574269104E1
1.010203771E0,-7.031620026E0,-1.986692047E1,2.669063568E1
1.020203771E0,-6.571613312E0,-1.926100922E1,2.731411743E1
1.030203771E0,-8.569578171E0,-2.018507385E1,2.665605927E1
1.040203771E0,-9.489738464E0,-2.153966522E1,2.572027588E1
1.050203771E0,-7.185291290E0,-2.073979950E1,2.762549591E1
1.060203771E0,-7.494812965E0,-2.014093781E1,2.853945160E1
1.070203771E0,-9.030949593E0,-2.091754150E1,2.742688751E1
1.080203771E0,-9.031415939E0,-2.120078278E1,2.820397949E1
1.090203771E0,-8.568049431E0,-2.092906952E1,2.620041656E1
1.100203771E0,-8.415110588E0,-2.077005768E1,2.682143402E1
1.110203771E0,-9.187834740E0,-1.856365204E1,2.724096680E1
1.120203771E0,-1.010955906E1,-1.989739990E1,2.769776917E1
1.130203771E0,-7.952988625E0,-2.033705139E1,2.574456787E1
1.140203771E0,-9.953591347E0,-2.108128357E1,2.725106812E1
1.150203771E0,-7.800745964E0,-2.016876984E1,2.698451996E1
1.160203771E0,-9.491019249E0,-2.210150909E1,2.758391571E1
1.170203771E0,-7.801753044E0,-1.943172455E1,2.697595978E1
1.180203771E0,-1.010652828E1,-2.124028778E1,2.663005066E1
