"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.296011600E-2,-1.911652088E0,9.857590199E-1,-1.535391688E0
6.803407500E-2,-1.882357240E0,9.122558832E-1,-1.531663299E0
7.309496000E-2,-1.791277170E0,6.848221421E-1,-1.595046520E0
7.813339800E-2,-1.719904661E0,3.157083094E-1,-1.632330656E0
8.321209600E-2,-1.710317254E0,-5.873180926E-2,-1.632863402E0
8.826996000E-2,-1.729491830E0,-3.831045628E-1,-1.621678114E0
9.332735600E-2,-1.753460407E0,-6.685951352E-1,-1.595579147E0
9.838522100E-2,-1.769439220E0,-8.811152577E-1,-1.552435994E0
1.034457410E-1,-1.788081527E0,-1.032382607E0,-1.517282248E0
1.085007410E-1,-1.798201442E0,-1.216673136E0,-1.486922264E0
1.135588660E-1,-1.795538306E0,-1.415877461E0,-1.458692789E0
1.186155330E-1,-1.788614035E0,-1.612418652E0,-1.424604416E0
1.236494910E-1,-1.797668815E0,-1.819079638E0,-1.363884211E0
1.287077730E-1,-1.810984612E0,-2.041719675E0,-1.276000142E0
1.337665230E-1,-1.806723595E0,-2.241456509E0,-1.173734784E0
1.388216790E-1,-1.782755017E0,-2.398583174E0,-1.056023240E0
1.438824080E-1,-1.740144610E0,-2.536001921E0,-9.612147212E-1
1.489535540E-1,-1.685283542E0,-2.613233805E0,-8.914399147E-1
1.539992310E-1,-1.598997116E0,-2.612700939E0,-8.024904728E-1
1.590558460E-1,-1.483948708E0,-2.592993736E0,-6.741262078E-1
1.641500120E-1,-1.338007689E0,-2.546122074E0,-5.404356718E-1
1.692095960E-1,-1.149456024E0,-2.479542971E0,-4.259198308E-1
1.742669390E-1,-9.374684691E-1,-2.452911377E0,-3.215239942E-1
1.793243870E-1,-7.265462875E-1,-2.465694666E0,-2.171281427E-1
1.843826160E-1,-5.182873011E-1,-2.490728378E0,-1.255154908E-1
1.894029810E-1,-3.041693866E-1,-2.512033463E0,-3.337021172E-2
1.944965230E-1,-7.993137836E-2,-2.522686243E0,4.492665455E-2
1.995568870E-1,1.597529054E-1,-2.503511429E0,9.339614958E-2
2.046150640E-1,3.983719051E-1,-2.412964106E0,1.546488106E-1
2.096724600E-1,6.295341849E-1,-2.284600019E0,2.451962084E-1
2.147299080E-1,8.660226464E-1,-2.162627220E0,3.245582879E-1
2.197911580E-1,1.076944709E0,-2.077938795E0,3.772888482E-1
2.248398040E-1,1.258572221E0,-2.016686201E0,4.012572765E-1
2.299048560E-1,1.429547071E0,-1.873940706E0,3.868762255E-1
2.349631370E-1,1.556313396E0,-1.636386991E0,3.495920002E-1
2.400213660E-1,1.596260667E0,-1.318938494E0,3.075140715E-1
2.450804810E-1,1.509974360E0,-9.210626483E-1,2.760888040E-1
2.501013660E-1,1.315563798E0,-4.587382376E-1,2.643709183E-1
2.551947000E-1,1.068955302E0,-4.062232375E-2,2.819477618E-1
2.602153250E-1,8.196837306E-1,2.246282995E-1,3.341456652E-1
2.653102730E-1,5.730751753E-1,3.252956867E-1,4.198994040E-1
2.703662100E-1,3.451087475E-1,2.816198766E-1,5.301541686E-1
2.753911060E-1,1.528286934E-1,8.188297600E-2,6.388110518E-1
2.804473560E-1,-4.297672771E-3,-2.696540058E-1,7.027269006E-1
2.855063660E-1,-1.481082588E-1,-7.735236287E-1,6.803563237E-1
2.906003770E-1,-3.105609417E-1,-1.353026867E0,5.578510165E-1
2.956213660E-1,-4.756768048E-1,-1.877136588E0,3.623751700E-1
3.007151160E-1,-6.061714888E-1,-2.259566307E0,1.535835564E-1
3.057379810E-1,-6.945883632E-1,-2.513631344E0,-2.538073622E-2
3.107962100E-1,-7.638305426E-1,-2.689932585E0,-1.745176166E-1
3.158906370E-1,-8.186916113E-1,-2.811372519E0,-2.986208498E-1
3.209516270E-1,-8.586390018E-1,-2.879016876E0,-3.854398131E-1
3.259696480E-1,-8.730200529E-1,-2.866233587E0,-4.493556321E-1
3.310638140E-1,-8.597042561E-1,-2.791132689E0,-4.962272346E-1
3.360868350E-1,-8.213547468E-1,-2.697389364E0,-5.154019594E-1
3.411448040E-1,-7.632978559E-1,-2.569025278E0,-5.111408830E-1
3.462388140E-1,-7.116325498E-1,-2.423084021E0,-4.845093191E-1
3.512602730E-1,-6.967188716E-1,-2.212162018E0,-4.530840814E-1
3.563185540E-1,-6.999146938E-1,-1.893648148E0,-4.413661361E-1
3.613752730E-1,-6.578367949E-1,-1.405757546E0,-4.781177640E-1
3.664720960E-1,-4.847315550E-1,-7.474246621E-1,-5.691977739E-1
3.714915230E-1,-1.790008992E-1,-1.505600195E-2,-6.687998772E-1
3.765500120E-1,1.869171262E-1,6.517989635E-1,-7.417704463E-1
3.816076690E-1,5.379214883E-1,1.171114922E0,-7.715978026E-1
3.866656890E-1,8.266078830E-1,1.519456148E0,-7.178019881E-1
3.917254810E-1,1.073216319E0,1.720790982E0,-5.532187819E-1
3.967818870E-1,1.293193340E0,1.841165662E0,-2.916966379E-1
4.018397520E-1,1.460972190E0,2.019064665E0,2.628454566E-2
4.068975120E-1,1.521692276E0,2.250759363E0,3.314825296E-1
4.119577210E-1,1.416763902E0,2.401494265E0,5.413394570E-1
4.170169390E-1,1.150980592E0,2.340241671E0,5.887436867E-1
4.220892830E-1,8.489784598E-1,1.937039495E0,4.156383574E-1
4.271338140E-1,5.986415148E-1,1.185495973E0,3.587191552E-2
4.322258980E-1,3.674792647E-1,2.368788272E-1,-3.742545545E-1
4.372462620E-1,1.906455457E-1,-5.876351595E-1,-4.887703657E-1
4.423053250E-1,2.018308192E-1,-8.848437071E-1,-2.394986898E-1
4.473625640E-1,4.878540635E-1,-6.696604490E-1,1.541161686E-1
4.524199080E-1,1.000778437E0,-2.222497463E-1,4.832825661E-1
4.575123560E-1,1.659111261E0,2.874788344E-1,6.787584424E-1
4.625711060E-1,2.375500917E0,8.451442719E-1,7.501311302E-1
4.675962620E-1,3.063128471E0,1.441691995E0,7.661100626E-1
4.726761580E-1,3.669795990E0,2.017999411E0,7.975353599E-1
4.777094910E-1,4.149697304E0,2.506955385E0,8.625164032E-1
4.827691790E-1,4.455960751E0,2.881395340E0,9.615859389E-1
4.878620440E-1,4.583259583E0,3.147711277E0,1.079297543E0
4.928845960E-1,4.555562496E0,3.331469536E0,1.176769137E0
4.979422520E-1,4.381924629E0,3.433734655E0,1.216183901E0
5.030403770E-1,4.035714149E0,3.430006266E0,1.165583849E0
5.080845440E-1,3.537703276E0,3.313359737E0,1.051600695E0
5.131554810E-1,2.946482182E0,3.084328413E0,9.232364297E-1
5.181748040E-1,2.370174408E0,2.779130220E0,8.550595641E-1
5.232357410E-1,1.931818724E0,2.373797655E0,8.651795983E-1
5.282917310E-1,1.669763923E0,1.883776307E0,9.424111843E-1
5.333498560E-1,1.551519752E0,1.379906654E0,1.085689068E0
5.384072000E-1,1.565368056E0,8.845590353E-1,1.279567003E0
5.434658460E-1,1.664970279E0,3.726999164E-1,1.474510312E0
5.485243870E-1,1.809313416E0,-1.386265606E-1,1.628973484E0
5.535798560E-1,1.960580826E0,-5.657972693E-1,1.725379944E0
5.586395440E-1,2.084684134E0,-8.432983756E-1,1.741891503E0
5.636967830E-1,2.159252405E0,-9.871089458E-1,1.640158772E0
5.687547000E-1,2.141143084E0,-1.065405846E0,1.437226057E0
5.738137620E-1,2.030888081E0,-1.087776303E0,1.203933358E0
5.788724080E-1,1.864174485E0,-1.031849980E0,9.908806682E-1
5.839291270E-1,1.693199754E0,-8.869741559E-1,8.188405633E-1
5.889870440E-1,1.563770175E0,-6.733888388E-1,7.027269006E-1
5.940446480E-1,1.501452327E0,-4.257150888E-1,6.345499754E-1
5.991029290E-1,1.504648089E0,-1.727149934E-1,6.052552462E-1
6.041623040E-1,1.554182768E0,5.365349352E-2,5.866131783E-1
6.092217830E-1,1.623957515E0,1.905398518E-1,5.487963557E-1
6.142766270E-1,1.680949092E0,2.262261957E-1,4.822172821E-1
6.193358460E-1,1.703852296E0,2.198346108E-1,4.172362387E-1
6.243946480E-1,1.695862889E0,2.251609266E-1,3.895393908E-1
6.294520440E-1,1.660709143E0,2.736304104E-1,4.033877850E-1
6.345122000E-1,1.594130158E0,3.540577888E-1,4.246930778E-1
6.395677730E-1,1.481212378E0,4.344851971E-1,4.193667769E-1
6.446255850E-1,1.327814341E0,5.244999528E-1,3.959309757E-1
6.497013140E-1,1.165894270E0,6.272979379E-1,3.772888482E-1
6.547447000E-1,1.029540539E0,7.306284308E-1,3.810172677E-1
6.597999600E-1,9.587005377E-1,8.350242972E-1,4.039204419E-1
6.648938140E-1,9.629616737E-1,9.431484938E-1,4.209646583E-1
6.699157940E-1,1.026344776E0,1.058197021E0,4.060509801E-1
6.749955850E-1,1.131273270E0,1.173778176E0,3.858109415E-1
6.800342310E-1,1.257506847E0,1.262194991E0,3.815498948E-1
6.850911580E-1,1.381077409E0,1.304805517E0,3.927351832E-1
