"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.928416666E-3,-2.606080627E-1,1.033001862E0,6.213578796E0
1.888141666E-2,-3.490740967E-1,1.216819611E0,6.303242340E0
2.883441667E-2,-5.692662048E-1,1.375639343E0,6.392307129E0
3.878741667E-2,-7.141648865E-1,1.394200745E0,6.593039703E0
4.874041667E-2,-8.033793640E-1,1.413660278E0,6.846163330E0
5.869341667E-2,-9.463320923E-1,1.473535767E0,7.158264313E0
6.864641667E-2,-1.145867157E0,1.525627441E0,7.661368103E0
7.859941667E-2,-1.374890900E0,1.513352966E0,8.163873138E0
8.855241667E-2,-1.627116394E0,1.553918610E0,8.708590393E0
9.850541666E-2,-1.701212311E0,1.580114136E0,9.387428741E0
1.084584167E-1,-1.824555817E0,1.549427948E0,1.002180954E1
1.184114167E-1,-2.141446838E0,1.517244873E0,1.045500870E1
1.283644167E-1,-2.432591400E0,1.668280792E0,1.069915100E1
1.383174167E-1,-2.490970001E0,2.014361115E0,1.075872711E1
1.482704167E-1,-2.439028015E0,2.330653381E0,1.066307602E1
1.582234167E-1,-2.268981628E0,2.563868408E0,1.057910065E1
1.681754167E-1,-2.068249054E0,2.912493439E0,1.064705933E1
1.781284167E-1,-1.951641541E0,3.099754028E0,1.111079498E1
1.880814167E-1,-1.874701538E0,2.920576630E0,1.191028244E1
1.980344167E-1,-1.681154022E0,2.755170593E0,1.275542496E1
2.079874167E-1,-1.245260468E0,2.767145691E0,1.325044556E1
2.179404167E-1,-8.482859802E-1,2.779569855E0,1.345013031E1
2.278934167E-1,-5.689668274E-1,2.777474213E0,1.369097946E1
2.378464167E-1,-4.349954224E-1,2.813549194E0,1.402867722E1
2.477994167E-1,-3.736230469E-1,2.714604950E0,1.445124847E1
2.577524167E-1,-2.387535095E-1,2.387984161E0,1.499177444E1
2.677054167E-1,-4.086502075E-2,1.853146362E0,1.534129761E1
2.776584167E-1,1.660047913E-1,1.281934204E0,1.538186325E1
2.876114167E-1,3.275189209E-1,7.131170654E-1,1.507290573E1
2.975644167E-1,4.689747620E-1,2.115101624E-1,1.448627563E1
3.075174167E-1,5.873785400E-1,1.495390320E-1,1.363200211E1
3.174704167E-1,6.388714600E-1,5.387297058E-1,1.279524216E1
3.274234167E-1,6.132746887E-1,1.054407349E0,1.216744766E1
3.373764167E-1,3.683839417E-1,1.533860321E0,1.172302185E1
3.473294167E-1,6.930587769E-2,1.848356323E0,1.169068909E1
3.572824167E-1,-2.842588806E-1,1.829794922E0,1.190339676E1
3.672354167E-1,-5.882766724E-1,1.591191101E0,1.205832458E1
3.771874167E-1,-7.625143433E-1,1.294058990E0,1.211311066E1
3.871404167E-1,-8.590635681E-1,1.005908203E0,1.189261917E1
3.970934167E-1,-9.199868774E-1,6.617738342E-1,1.143996048E1
4.070464167E-1,-9.734257507E-1,5.034031677E-1,1.100646194E1
4.169994167E-1,-9.979747009E-1,4.501139832E-1,1.042641815E1
4.269524167E-1,-9.705816650E-1,3.603007507E-1,9.801018677E0
4.369054167E-1,-7.816744995E-1,3.124003601E-1,9.116941223E0
4.468584167E-1,-5.315446472E-1,3.294648743E-1,8.356971588E0
4.568114167E-1,-3.038681030E-1,2.661465454E-1,7.723189545E0
4.667644167E-1,-4.101470947E-2,1.339714050E-1,7.085066528E0
4.767174167E-1,2.526745605E-1,3.008743286E-2,6.536607056E0
4.866704167E-1,4.620890808E-1,-5.957611084E-2,6.070027313E0
4.966234167E-1,5.432203674E-1,-9.699829102E-2,5.745053101E0
5.065764167E-1,5.092410278E-1,-2.095642090E-3,5.625451813E0
5.165294167E-1,5.025050354E-1,4.834945679E-2,5.684279480E0
5.264824167E-1,4.751119995E-1,7.005432129E-2,5.766308899E0
5.364354167E-1,4.487667847E-1,1.805245972E-1,5.658083954E0
5.463884167E-1,4.267625427E-1,3.177891541E-1,5.484295349E0
5.563414167E-1,3.841012573E-1,4.646337891E-1,5.382057953E0
5.662944167E-1,2.802172852E-1,6.539900208E-1,5.381608887E0
5.762464167E-1,2.291734314E-1,8.205935669E-1,5.584586792E0
5.861994167E-1,1.594184875E-1,1.002465363E0,5.715414734E0
5.961524167E-1,1.396595764E-1,1.246907043E0,5.797294464E0
6.061054167E-1,1.709445190E-1,1.541195068E0,5.760171661E0
6.160584167E-1,1.981878662E-1,1.771416321E0,5.744903412E0
6.260114167E-1,8.637039185E-2,1.895657959E0,5.979465637E0
6.359644167E-1,-2.285746765E-1,1.926643524E0,6.572083282E0
6.459174167E-1,-4.917274475E-1,1.789378967E0,7.405550079E0
6.558704167E-1,-6.658154297E-1,1.639839935E0,8.039032745E0
6.658234167E-1,-6.851252747E-1,1.587598572E0,8.443341980E0
6.757764167E-1,-7.050338745E-1,1.493294678E0,8.755592651E0
6.857294167E-1,-8.904981995E-1,1.296903076E0,8.995693359E0
6.956824167E-1,-1.095871124E0,1.213975525E0,9.091045074E0
7.056354167E-1,-1.370400238E0,1.383572845E0,9.273216248E0
7.155884167E-1,-1.717827759E0,1.678309937E0,9.629475403E0
7.255414167E-1,-2.023342438E0,1.792672119E0,1.023391846E1
7.354944167E-1,-2.216590576E0,1.573976898E0,1.100481537E1
7.454474167E-1,-2.416125641E0,1.098266144E0,1.189142166E1
7.554004167E-1,-2.588866425E0,5.851332092E-1,1.293175827E1
7.653534167E-1,-2.585573273E0,6.990463257E-2,1.380713791E1
7.753054167E-1,-2.452649689E0,-3.128494263E-1,1.434676575E1
7.852584167E-1,-2.252815247E0,-4.730163574E-1,1.462099548E1
7.952114167E-1,-2.010020142E0,-4.710704041E-1,1.470751556E1
8.051644167E-1,-1.796863403E0,-4.664300537E-1,1.484328323E1
8.151174167E-1,-1.529369659E0,-4.400848389E-1,1.487067627E1
8.250704167E-1,-1.345851288E0,-4.514611816E-1,1.459285400E1
8.350234167E-1,-1.390608215E0,-4.236190796E-1,1.400787048E1
8.449764167E-1,-1.534908142E0,-3.592529297E-1,1.316557205E1
8.549294167E-1,-1.678609314E0,-1.170565796E-1,1.227327759E1
8.648824167E-1,-1.814376984E0,3.186872864E-1,1.147992737E1
8.748354167E-1,-2.060764618E0,8.416996765E-1,1.093745544E1
8.847884167E-1,-2.349963226E0,1.336570587E0,1.055829391E1
8.947414167E-1,-2.634820862E0,1.730102234E0,1.026430527E1
9.046944167E-1,-2.921025696E0,2.010020142E0,1.010159363E1
9.146474167E-1,-3.121608582E0,2.297871552E0,1.010548553E1
9.246004167E-1,-3.141217804E0,2.450404358E0,1.009036697E1
9.345534167E-1,-2.966680756E0,2.265239410E0,1.008946884E1
9.445064167E-1,-2.727478180E0,1.872755585E0,1.004875351E1
9.544594167E-1,-2.385140076E0,1.473086700E0,9.868528290E0
9.644114167E-1,-2.003733215E0,1.109343109E0,9.474697266E0
9.743644167E-1,-1.488205261E0,6.725514221E-1,9.024882660E0
9.843174167E-1,-1.031205597E0,3.508703613E-1,8.504714355E0
9.942704167E-1,-5.478607178E-1,2.492317200E-1,8.050409088E0
1.004223417E0,-1.350192261E-1,3.001258850E-1,7.683522034E0
1.014176417E0,1.975891113E-2,2.875520325E-1,7.188950500E0
1.024129417E0,2.694396973E-2,3.685336304E-1,6.735693054E0
1.034082417E0,1.109193420E-1,6.771917725E-1,6.241869965E0
1.044035417E0,2.540217590E-1,9.969268799E-1,5.777834930E0
1.053988417E0,2.417472839E-1,1.246757355E0,5.522915039E0
1.063941417E0,6.197113037E-2,1.475930786E0,5.406457214E0
1.073894417E0,-1.704954529E-1,1.776505737E0,5.441634064E0
1.083847417E0,-3.086581421E-1,2.120191040E0,5.644013214E0
1.093800417E0,-4.863386536E-1,2.427801361E0,6.057004395E0
1.103753417E0,-7.045848083E-1,2.558479614E0,6.625522156E0
1.113706417E0,-9.469308472E-1,2.542313232E0,7.213948517E0
1.123659417E0,-1.159488831E0,2.567161560E0,7.788304138E0
1.133612417E0,-1.425635376E0,2.779270477E0,8.519683228E0
1.143565417E0,-1.678160248E0,2.875819702E0,9.503287811E0
1.153517417E0,-1.926194458E0,2.871778107E0,1.038480469E1
1.163470417E0,-1.959724731E0,2.845582581E0,1.103924377E1
1.173423417E0,-1.814526672E0,2.781066742E0,1.159354111E1
1.183376417E0,-1.641486511E0,2.495760040E0,1.197434921E1
1.193329417E0,-1.389410706E0,2.156715088E0,1.212149323E1
1.203282417E0,-9.475296021E-1,2.084116058E0,1.235740265E1
1.213235417E0,-5.852828979E-1,2.291135559E0,1.269809418E1
1.223188417E0,-2.770738220E-1,2.496658173E0,1.310075684E1
1.233141417E0,-1.028361511E-1,2.532882843E0,1.351479584E1
1.243094417E0,-5.149291992E-2,2.412832489E0,1.388841888E1
1.253047417E0,3.667373657E-2,2.315684509E0,1.422731415E1
1.263000417E0,3.767665100E-1,2.256258087E0,1.409663589E1
1.272953417E0,7.044351196E-1,2.224524078E0,1.368020187E1
1.282906417E0,7.932005310E-1,2.116149445E0,1.352557343E1
1.292859417E0,7.635621643E-1,2.152523804E0,1.373813141E1
1.302812417E0,4.373904419E-1,2.082918549E0,1.413869843E1
1.312765417E0,3.742218018E-3,1.678309937E0,1.483639755E1
1.322718417E0,-2.454895020E-1,1.154998169E0,1.525432846E1
1.332670417E0,-2.335144043E-1,6.023474121E-1,1.530013321E1
1.342623417E0,-1.068777466E-1,7.768844604E-2,1.507470200E1
1.352576417E0,-1.571731567E-2,-1.481918335E-1,1.417941376E1
1.362529417E0,1.106199646E-1,4.535568237E-2,1.293684769E1
1.372482417E0,1.143621826E-1,5.046006775E-1,1.173275162E1
1.382435417E0,5.837860107E-2,1.000369720E0,1.054437286E1
1.392388417E0,5.089416504E-3,1.518442383E0,9.506880341E0
1.402341417E0,-1.032852173E-2,2.012265472E0,8.579558716E0
1.412294417E0,-5.897735596E-2,2.444416809E0,7.812553711E0
1.422247417E0,-1.654060364E-1,2.826721802E0,7.381450195E0
1.432200417E0,-3.385958862E-1,3.098855896E0,7.356601868E0
1.442153417E0,-5.559439087E-1,3.128045197E0,7.826624451E0
1.452106417E0,-7.713459778E-1,2.786455536E0,8.511450348E0
1.462059417E0,-9.654922485E-1,2.238894196E0,9.079369354E0
1.472012417E0,-1.109193420E0,1.637594604E0,9.557325439E0
1.481965417E0,-1.135538635E0,1.101559296E0,9.657018127E0
1.491918417E0,-1.038091278E0,7.039860535E-1,9.314829712E0
1.501870417E0,-8.538244629E-1,5.656736755E-1,8.673413544E0
1.511823417E0,-5.444178772E-1,5.857319641E-1,7.852221222E0
1.521776417E0,-3.600013733E-1,6.345304871E-1,7.092401276E0
1.531729417E0,-1.981878662E-1,7.021897888E-1,6.455176392E0
1.541682417E0,-4.550537109E-2,9.300160217E-1,6.105952606E0
1.551635417E0,5.074447632E-2,1.188678131E0,5.847440186E0
1.561588417E0,-6.137237549E-3,1.401535492E0,5.480403442E0
1.571541417E0,-5.194198608E-2,1.724863129E0,5.236410828E0
1.581494417E0,3.278182983E-2,1.992955627E0,5.111271057E0
1.591447542E0,3.562591553E-2,2.130519562E0,5.087919617E0
1.601400542E0,3.008743286E-2,2.181114349E0,5.262606354E0
1.611353542E0,8.397537231E-2,2.139650574E0,5.657335510E0
1.621306542E0,1.181044006E-1,2.072140961E0,5.973478088E0
1.631259542E0,1.199006653E-1,2.071841583E0,6.220165100E0
1.641212542E0,1.357676697E-1,2.123933258E0,6.481820984E0
1.651165542E0,1.799258423E-1,2.222129059E0,6.766977997E0
1.661118542E0,1.814227295E-1,2.329904938E0,7.172484741E0
1.671070542E0,1.990859985E-1,2.378104706E0,7.420069885E0
1.681023542E0,1.962419128E-1,2.445764008E0,7.495213623E0
1.690976542E0,1.076261902E-1,2.654130707E0,7.676486664E0
1.700929542E0,-9.265731812E-2,2.982398071E0,8.194559326E0
1.710882542E0,-2.314187622E-1,3.178789673E0,8.856482849E0
1.720835542E0,-2.577639771E-1,3.228486328E0,9.340576172E0
1.730788542E0,-1.974394226E-1,3.202440491E0,9.623487854E0
1.740741542E0,-2.118095398E-1,2.933898926E0,9.844129028E0
1.750694542E0,-3.397933960E-1,2.747536469E0,9.936786346E0
1.760647542E0,-6.408174133E-1,2.800376587E0,1.016251694E1
1.770600542E0,-1.044527893E0,2.860551453E0,1.064661026E1
1.780553542E0,-1.527573395E0,2.799029388E0,1.129551086E1
1.790506542E0,-1.935175781E0,2.704126740E0,1.201296890E1
1.800459542E0,-2.217339020E0,2.716401215E0,1.253672974E1
1.810412542E0,-2.419119415E0,2.739004211E0,1.263986526E1
1.820365542E0,-2.445614319E0,2.888842621E0,1.246712448E1
1.830318542E0,-2.340532837E0,3.182980957E0,1.243224701E1
1.840271542E0,-2.405348053E0,3.234773254E0,1.282877243E1
1.850223542E0,-2.395618286E0,2.898422699E0,1.347842148E1
1.860176542E0,-2.194736023E0,2.431244202E0,1.419378387E1
1.870129542E0,-1.957629089E0,1.938319244E0,1.458192673E1
1.880082542E0,-1.753004608E0,1.608405304E0,1.444615906E1
1.890035542E0,-1.645228729E0,1.474882965E0,1.372525818E1
1.899988542E0,-1.635798340E0,1.647623749E0,1.254451355E1
1.909941542E0,-1.627565460E0,2.199076996E0,1.167646866E1
1.919894542E0,-1.620530090E0,2.842439117E0,1.137334900E1
1.929847542E0,-1.579964447E0,3.190914459E0,1.140538239E1
1.939800542E0,-1.696721649E0,3.137026520E0,1.137843842E1
1.949753542E0,-2.020797729E0,2.957849121E0,1.122410934E1
1.959706542E0,-2.382745056E0,2.892435150E0,1.099194214E1
1.969659542E0,-2.671943665E0,2.887196045E0,1.067564987E1
1.979612542E0,-2.718796234E0,2.838247833E0,1.013572266E1
1.989565542E0,-2.665357361E0,2.925067291E0,9.328451385E0
1.999518542E0,-2.531835022E0,3.052901459E0,8.540040894E0
2.009471542E0,-2.299967194E0,2.999163208E0,8.112978973E0
2.019424542E0,-2.007475433E0,2.743195496E0,8.089178467E0
2.029377542E0,-1.641935577E0,2.195484467E0,8.309819641E0
2.039330542E0,-1.344354401E0,1.694626007E0,8.335566101E0
2.049282542E0,-1.022823029E0,1.513203278E0,8.086933136E0
2.059235542E0,-7.997868347E-1,1.730251923E0,7.425159302E0
2.069188542E0,-7.026388550E-1,2.207160187E0,6.758894806E0
2.079141542E0,-7.448510742E-1,2.811453552E0,6.342311096E0
2.089094542E0,-9.093589783E-1,3.352877655E0,6.111491089E0
2.099047542E0,-8.461903381E-1,3.598666534E0,6.143524475E0
2.109000542E0,-6.007008362E-1,3.472029877E0,6.539900208E0
2.118953542E0,-3.472778320E-1,3.173999634E0,7.001390533E0
2.128906542E0,-1.716929626E-1,2.952610016E0,7.324718170E0
2.138859542E0,-6.765930176E-2,2.917882233E0,7.446115723E0
2.148812542E0,1.076261902E-1,3.025508423E0,7.592361603E0
2.158765542E0,9.220825195E-2,3.275488586E0,7.703879700E0
2.168718542E0,-8.128097534E-2,3.657045135E0,7.894882507E0
2.178671542E0,6.137237549E-3,4.011058960E0,8.268655243E0
2.188624542E0,1.353186035E-1,4.244723053E0,8.424181824E0
2.198577542E0,2.793191528E-1,4.480482788E0,8.279881897E0
2.208530542E0,5.513035583E-1,4.652325439E0,8.181237030E0
2.218483542E0,7.846682739E-1,4.770280151E0,8.257428589E0
2.228436542E0,9.752220154E-1,4.824916534E0,8.494236145E0
2.238389542E0,1.128353577E0,4.729564819E0,8.985364838E0
2.248341542E0,1.204395447E0,4.531526642E0,9.422755280E0
2.258294542E0,1.184187469E0,4.346661072E0,9.950857086E0
2.268247542E0,1.132844238E0,4.220772858E0,1.064421524E1
2.278200542E0,1.140628052E0,4.091292114E0,1.123937759E1
2.288153542E0,1.197360077E0,4.085454254E0,1.158770325E1
2.298106542E0,1.381177826E0,4.158053284E0,1.181957108E1
2.308059542E0,1.527124329E0,4.080514526E0,1.189815765E1
2.318012542E0,1.344653778E0,3.774101715E0,1.190848618E1
2.327965542E0,1.100661163E0,3.396287384E0,1.220591766E1
2.337918542E0,1.181942139E0,3.197800140E0,1.272054749E1
2.347871542E0,1.359323273E0,3.041225739E0,1.288490570E1
2.357824542E0,1.744172974E0,2.694846039E0,1.257310410E1
2.367777542E0,2.129621429E0,2.324216766E0,1.189815765E1
2.377730542E0,2.533331909E0,2.144889679E0,1.113743958E1
2.387683542E0,2.933599548E0,2.184108124E0,1.032702484E1
2.397636542E0,3.203039246E0,2.318378906E0,9.510323181E0
2.407589542E0,3.051554260E0,2.505489807E0,8.771609344E0
2.417542542E0,2.485880585E0,2.827320557E0,8.145461426E0
2.427495542E0,1.799557800E0,3.234324188E0,7.625742188E0
2.437448542E0,1.165177002E0,3.580404510E0,7.476652222E0
2.447400542E0,5.842350769E-1,3.749702454E0,7.697892151E0
2.457353542E0,1.496887207E-1,3.663032684E0,7.919132080E0
2.467306542E0,-2.341131592E-1,3.429368591E0,7.942034454E0
2.477259542E0,-4.954696655E-1,3.121758270E0,7.829318848E0
2.487212542E0,-6.297404480E-1,2.855162659E0,7.554939423E0
2.497165542E0,-6.448590088E-1,2.782713318E0,7.137158203E0
2.507118542E0,-7.161108398E-1,3.010689240E0,6.629414062E0
2.517071542E0,-8.551716614E-1,3.409909058E0,6.153403931E0
2.527024542E0,-8.839118958E-1,3.610042877E0,6.312972107E0
2.536977542E0,-8.391549683E-1,3.577859802E0,7.173831940E0
2.546930542E0,-8.225395203E-1,3.261717224E0,8.068671112E0
2.556883542E0,-6.759942627E-1,2.802172852E0,8.873397675E0
2.566836542E0,-3.649411011E-1,2.318079529E0,9.452992401E0
2.576789542E0,9.954299927E-2,1.856738892E0,9.415570221E0
2.586742542E0,6.059399414E-1,1.763782196E0,8.860524445E0
2.596696208E0,8.554710388E-1,2.108365631E0,7.987839203E0
2.606649208E0,8.622070313E-1,2.635718994E0,7.426057434E0
2.616602208E0,7.905061340E-1,3.195255432E0,7.060068512E0
2.626555208E0,7.123686218E-1,3.708837433E0,7.005881195E0
2.636508208E0,6.804849243E-1,3.986959076E0,7.082222443E0
2.646461208E0,7.461982727E-1,3.958218842E0,7.139852600E0
2.656414208E0,8.936416626E-1,3.708538055E0,7.250771942E0
2.666367208E0,9.373507690E-1,3.407963104E0,7.603288879E0
2.676319208E0,8.722361755E-1,3.193608856E0,7.946525116E0
2.686272208E0,7.993377686E-1,2.993774414E0,8.115074615E0
2.696225208E0,8.437953186E-1,2.917133789E0,8.206235046E0
2.706178208E0,9.627978516E-1,2.966082001E0,8.158184967E0
2.716131208E0,1.038540344E0,3.069067841E0,7.885751495E0
2.726084208E0,9.412426758E-1,3.193459167E0,7.518415375E0
2.736037208E0,8.732839966E-1,3.301235046E0,7.252418518E0
2.745990208E0,8.846603394E-1,3.402873688E0,6.949298859E0
2.755943208E0,7.598199463E-1,3.187172241E0,6.652166748E0
2.765896208E0,4.179309082E-1,2.949316864E0,6.603667603E0
2.775849208E0,-1.773811340E-1,3.055595856E0,7.022945709E0
2.785802208E0,-9.132508850E-1,3.295846252E0,7.940387878E0
2.795755208E0,-1.490749969E0,3.348686371E0,9.205407257E0
2.805708208E0,-1.626367950E0,3.090323639E0,1.025068359E1
2.815661208E0,-1.317410431E0,2.620301056E0,1.088147186E1
2.825614208E0,-1.106798401E0,2.178869019E0,1.073926758E1
2.835567208E0,-1.224753113E0,2.031126251E0,1.041159897E1
2.845520208E0,-1.466799774E0,2.188898163E0,1.080198715E1
