"event","experiment time","system time","system time text"
"START",0.000000000E0,1624012441.983,"2021-06-18 12:34:01.983 UTC+02:00"
"PAUSE",1.324465135E1,1624012455.228,"2021-06-18 12:34:15.228 UTC+02:00"
"START",1.324465135E1,1624012493.774,"2021-06-18 12:34:53.774 UTC+02:00"
"PAUSE",7.235101763E1,1624012552.881,"2021-06-18 12:35:52.881 UTC+02:00"
"START",7.235101763E1,1624012582.424,"2021-06-18 12:36:22.424 UTC+02:00"
"PAUSE",1.168198703E2,1624012626.893,"2021-06-18 12:37:06.893 UTC+02:00"
"START",1.168198703E2,1624012674.122,"2021-06-18 12:37:54.122 UTC+02:00"
"PAUSE",1.501903386E2,1624012707.493,"2021-06-18 12:38:27.493 UTC+02:00"
"START",1.501903386E2,1624012749.234,"2021-06-18 12:39:09.234 UTC+02:00"
"PAUSE",1.876538397E2,1624012786.697,"2021-06-18 12:39:46.697 UTC+02:00"
"START",1.876538397E2,1624012820.842,"2021-06-18 12:40:20.842 UTC+02:00"
"PAUSE",2.454410313E2,1624012878.629,"2021-06-18 12:41:18.629 UTC+02:00"
"START",2.454410313E2,1624012923.503,"2021-06-18 12:42:03.503 UTC+02:00"
"PAUSE",2.897227462E2,1624012967.785,"2021-06-18 12:42:47.785 UTC+02:00"
"START",2.897227462E2,1624013008.599,"2021-06-18 12:43:28.599 UTC+02:00"
"PAUSE",3.315775712E2,1624013050.454,"2021-06-18 12:44:10.454 UTC+02:00"
