"event","experiment time","system time","system time text"
"START",0.000000000E0,1624011355.513,"2021-06-18 12:15:55.513 UTC+02:00"
"PAUSE",2.253730592E2,1624011580.886,"2021-06-18 12:19:40.886 UTC+02:00"
"START",2.253730592E2,1624011660.111,"2021-06-18 12:21:00.111 UTC+02:00"
"PAUSE",2.704149908E2,1624011705.153,"2021-06-18 12:21:45.153 UTC+02:00"
"START",2.704149908E2,1624011760.842,"2021-06-18 12:22:40.842 UTC+02:00"
"PAUSE",2.783272367E2,1624011768.754,"2021-06-18 12:22:48.754 UTC+02:00"
"START",2.783272367E2,1624011772.862,"2021-06-18 12:22:52.862 UTC+02:00"
"PAUSE",3.707366945E2,1624011865.271,"2021-06-18 12:24:25.271 UTC+02:00"
"START",3.707366945E2,1624011949.030,"2021-06-18 12:25:49.030 UTC+02:00"
"PAUSE",4.108657733E2,1624011989.159,"2021-06-18 12:26:29.159 UTC+02:00"
"START",4.108657733E2,1624012021.092,"2021-06-18 12:27:01.092 UTC+02:00"
"PAUSE",4.980750035E2,1624012108.301,"2021-06-18 12:28:28.301 UTC+02:00"
"START",4.980750035E2,1624012250.596,"2021-06-18 12:30:50.596 UTC+02:00"
"PAUSE",5.985847212E2,1624012351.106,"2021-06-18 12:32:31.106 UTC+02:00"
