"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.195416667E-3,7.401656508E-1,-3.866072744E-2,7.246591896E-2
1.514841667E-2,9.196366072E-1,1.016598940E-1,7.962289453E-2
2.510141667E-2,1.059447050E0,2.148831487E-1,9.490722418E-2
3.505441666E-2,1.146047473E0,2.927659750E-1,1.050144508E-1
4.500741667E-2,1.169470072E0,3.480811119E-1,1.138788685E-1
5.496041667E-2,1.155142784E0,3.865331709E-1,1.160386950E-1
6.491241667E-2,1.115130424E0,3.883566558E-1,1.203368604E-1
7.486541667E-2,1.053012490E0,3.812457621E-1,1.235936433E-1
8.481841667E-2,9.673228860E-1,3.287466168E-1,1.234940365E-1
9.477141667E-2,8.795900941E-1,2.378055155E-1,1.190715879E-1
1.047244167E-1,8.149059415E-1,1.309761703E-1,1.073238403E-1
1.146774167E-1,7.841597199E-1,5.533563904E-3,9.811276197E-2
1.246304167E-1,7.471859455E-1,-1.315697581E-1,1.206355765E-1
1.345834167E-1,6.921572685E-1,-2.387761027E-1,1.681402326E-1
1.445364167E-1,5.841843486E-1,-2.833717465E-1,2.263515145E-1
1.544894167E-1,3.980041146E-1,-2.656851709E-1,3.092099428E-1
1.644424167E-1,1.352109611E-1,-1.865596175E-1,4.219338894E-1
1.743954167E-1,-1.657475531E-1,-1.234807894E-1,5.504705906E-1
1.843484167E-1,-3.955672681E-1,-1.324542761E-1,6.465096474E-1
1.943014167E-1,-5.054360032E-1,-2.205378115E-1,6.743479371E-1
2.042544167E-1,-5.540292859E-1,-3.256463408E-1,6.705724001E-1
2.142074167E-1,-6.066637039E-1,-3.535487950E-1,6.782279611E-1
2.241604167E-1,-6.618062258E-1,-3.176404238E-1,7.009240985E-1
2.341134167E-1,-7.025475502E-1,-2.752471566E-1,7.269969583E-1
2.440664167E-1,-7.291006446E-1,-2.384809554E-1,7.507154346E-1
2.540194167E-1,-7.157124281E-1,-2.515831590E-1,7.600277066E-1
2.639724167E-1,-6.173680425E-1,-3.359801471E-1,7.098692060E-1
2.739254167E-1,-4.298165441E-1,-4.236207902E-1,5.928807855E-1
2.838774167E-1,-1.914143562E-1,-4.623072147E-1,4.285731018E-1
2.938304167E-1,7.473850250E-2,-4.448672235E-1,2.204579562E-1
3.037834167E-1,3.269139528E-1,-3.410285115E-1,-4.145069513E-3
3.137364167E-1,5.339811444E-1,-1.689371914E-1,-1.839236170E-1
3.236894167E-1,6.429515481E-1,5.938252807E-2,-2.670733631E-1
3.336424167E-1,6.611329317E-1,3.374256194E-1,-2.537485063E-1
3.435954167E-1,6.134495735E-1,5.871672630E-1,-1.779221892E-1
3.535484167E-1,5.524901152E-1,7.410990596E-1,-8.912494034E-2
3.635014167E-1,5.007468462E-1,7.979335189E-1,-1.414355077E-2
3.734544167E-1,4.526940882E-1,7.501028776E-1,2.750163153E-2
3.834074167E-1,3.943833709E-1,6.237430573E-1,4.220967367E-2
3.933604167E-1,3.242751360E-1,4.486103654E-1,3.859656304E-2
4.033134167E-1,2.483389378E-1,2.147482634E-1,1.543494128E-2
4.132664167E-1,1.584404707E-1,-6.334647536E-2,-1.250854321E-2
4.232194167E-1,5.359593779E-2,-3.495810628E-1,-3.438258171E-2
4.331724167E-1,-5.457047746E-2,-6.101260781E-1,-6.385738403E-2
4.431254167E-1,-1.359468251E-1,-7.972550988E-1,-9.571384639E-2
4.530784167E-1,-1.619656384E-1,-9.340568781E-1,-1.291732639E-1
4.630314167E-1,-1.266792417E-1,-1.009338856E0,-1.974691600E-1
4.729844167E-1,-5.026410520E-2,-1.021263957E0,-2.953022420E-1
4.829364167E-1,5.996891111E-2,-9.544512033E-1,-4.130869508E-1
